table_name,col_pos,column_name,data_type,column_comment,name_style,col_family,fp_flag,scope_db,scope_pattern,scope_scanned_at
ods_a168_RedPacket_Order,1,__source_pk,varchar,源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5,普通列名,（未标记）,—,ods_mariadb_2b,v1.0.1 候选表全列输出（关键词只作标记不作过滤）,2026-08-23 09:06:36
ods_a168_RedPacket_Order,2,dt,date,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天,普通列名,★ 时间候选列,—,ods_mariadb_2b,v1.0.1 候选表全列输出（关键词只作标记不作过滤）,2026-08-23 09:06:36
ods_a168_RedPacket_Order,3,id,varchar,source_type=bigint(20); ,普通列名,（未标记）,—,ods_mariadb_2b,v1.0.1 候选表全列输出（关键词只作标记不作过滤）,2026-08-23 09:06:36
ods_a168_RedPacket_Order,4,mid,varchar,source_type=int(11); ,普通列名,（未标记）,—,ods_mariadb_2b,v1.0.1 候选表全列输出（关键词只作标记不作过滤）,2026-08-23 09:06:36
ods_a168_RedPacket_Order,5,gameid,varchar,source_type=int(11); 遊戲,普通列名,（未标记）,—,ods_mariadb_2b,v1.0.1 候选表全列输出（关键词只作标记不作过滤）,2026-08-23 09:06:36
ods_a168_RedPacket_Order,6,currency,varchar,source_type=int(11); ,普通列名,（未标记）,—,ods_mariadb_2b,v1.0.1 候选表全列输出（关键词只作标记不作过滤）,2026-08-23 09:06:36
ods_a168_RedPacket_Order,7,rate,varchar,"source_type=decimal(8,4); ",普通列名,（未标记）,—,ods_mariadb_2b,v1.0.1 候选表全列输出（关键词只作标记不作过滤）,2026-08-23 09:06:36
ods_a168_RedPacket_Order,8,money,varchar,"source_type=decimal(16,4); 中獎金額",普通列名,金额,—,ods_mariadb_2b,v1.0.1 候选表全列输出（关键词只作标记不作过滤）,2026-08-23 09:06:36
ods_a168_RedPacket_Order,9,status,varchar,"source_type=enum(''Y'',''N''); Y:已領取,N:未領取",普通列名,（未标记）,—,ods_mariadb_2b,v1.0.1 候选表全列输出（关键词只作标记不作过滤）,2026-08-23 09:06:36
ods_a168_RedPacket_Order,10,lv1percent,varchar,"source_type=decimal(16,4); ",普通列名,（未标记）,—,ods_mariadb_2b,v1.0.1 候选表全列输出（关键词只作标记不作过滤）,2026-08-23 09:06:36
ods_a168_RedPacket_Order,11,lv2percent,varchar,"source_type=decimal(16,4); ",普通列名,（未标记）,—,ods_mariadb_2b,v1.0.1 候选表全列输出（关键词只作标记不作过滤）,2026-08-23 09:06:36
ods_a168_RedPacket_Order,12,lv3percent,varchar,"source_type=decimal(16,4); ",普通列名,（未标记）,—,ods_mariadb_2b,v1.0.1 候选表全列输出（关键词只作标记不作过滤）,2026-08-23 09:06:36
ods_a168_RedPacket_Order,13,lv4percent,varchar,"source_type=decimal(16,4); ",普通列名,（未标记）,—,ods_mariadb_2b,v1.0.1 候选表全列输出（关键词只作标记不作过滤）,2026-08-23 09:06:36
ods_a168_RedPacket_Order,14,lv5percent,varchar,"source_type=decimal(16,4); ",普通列名,（未标记）,—,ods_mariadb_2b,v1.0.1 候选表全列输出（关键词只作标记不作过滤）,2026-08-23 09:06:36
ods_a168_RedPacket_Order,15,addtime,varchar,source_type=datetime; gs寫單時間,普通列名,★ 时间候选列,—,ods_mariadb_2b,v1.0.1 候选表全列输出（关键词只作标记不作过滤）,2026-08-23 09:06:36
ods_a168_RedPacket_Order,16,receivetime,varchar,source_type=datetime; 領取時間,普通列名,★ 时间候选列,—,ods_mariadb_2b,v1.0.1 候选表全列输出（关键词只作标记不作过滤）,2026-08-23 09:06:36
ods_a168_RedPacket_Order,17,source_db,varchar,来源库,普通列名,（未标记）,—,ods_mariadb_2b,v1.0.1 候选表全列输出（关键词只作标记不作过滤）,2026-08-23 09:06:36
ods_a168_RedPacket_Order,18,source_table,varchar,来源表,普通列名,（未标记）,—,ods_mariadb_2b,v1.0.1 候选表全列输出（关键词只作标记不作过滤）,2026-08-23 09:06:36
ods_a168_RedPacket_Order,19,ods_table_name,varchar,ODS表名,普通列名,（未标记）,—,ods_mariadb_2b,v1.0.1 候选表全列输出（关键词只作标记不作过滤）,2026-08-23 09:06:36
ods_a168_RedPacket_Order,20,sync_time,datetime,同步时间,普通列名,★ 时间候选列,—,ods_mariadb_2b,v1.0.1 候选表全列输出（关键词只作标记不作过滤）,2026-08-23 09:06:36
ods_a168_SMR_log,1,__source_pk,varchar,源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5,普通列名,（未标记）,—,ods_mariadb_2b,v1.0.1 候选表全列输出（关键词只作标记不作过滤）,2026-08-23 09:06:36
ods_a168_SMR_log,2,dt,date,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天,普通列名,★ 时间候选列,—,ods_mariadb_2b,v1.0.1 候选表全列输出（关键词只作标记不作过滤）,2026-08-23 09:06:36
ods_a168_SMR_log,3,sn,varchar,source_type=int(11); ,普通列名,（未标记）,—,ods_mariadb_2b,v1.0.1 候选表全列输出（关键词只作标记不作过滤）,2026-08-23 09:06:36
ods_a168_SMR_log,4,bet02,varchar,source_type=int(11); ,★ 编码式列名（语义须读 COLUMN_COMMENT）,（未标记）,—,ods_mariadb_2b,v1.0.1 候选表全列输出（关键词只作标记不作过滤）,2026-08-23 09:06:36
ods_a168_SMR_log,5,bet03,varchar,"source_type=decimal(12,0); ",★ 编码式列名（语义须读 COLUMN_COMMENT）,（未标记）,—,ods_mariadb_2b,v1.0.1 候选表全列输出（关键词只作标记不作过滤）,2026-08-23 09:06:36
ods_a168_SMR_log,6,bet04,varchar,source_type=int(11); ,★ 编码式列名（语义须读 COLUMN_COMMENT）,（未标记）,—,ods_mariadb_2b,v1.0.1 候选表全列输出（关键词只作标记不作过滤）,2026-08-23 09:06:36
ods_a168_SMR_log,7,bet22,varchar,source_type=int(11); ,★ 编码式列名（语义须读 COLUMN_COMMENT）,（未标记）,—,ods_mariadb_2b,v1.0.1 候选表全列输出（关键词只作标记不作过滤）,2026-08-23 09:06:36
ods_a168_SMR_log,8,category,varchar,source_type=int(11); ,普通列名,（未标记）,—,ods_mariadb_2b,v1.0.1 候选表全列输出（关键词只作标记不作过滤）,2026-08-23 09:06:36
ods_a168_SMR_log,9,receivetime,varchar,source_type=datetime; ,普通列名,★ 时间候选列,—,ods_mariadb_2b,v1.0.1 候选表全列输出（关键词只作标记不作过滤）,2026-08-23 09:06:36
ods_a168_SMR_log,10,source_db,varchar,来源库,普通列名,（未标记）,—,ods_mariadb_2b,v1.0.1 候选表全列输出（关键词只作标记不作过滤）,2026-08-23 09:06:36
ods_a168_SMR_log,11,source_table,varchar,来源表,普通列名,（未标记）,—,ods_mariadb_2b,v1.0.1 候选表全列输出（关键词只作标记不作过滤）,2026-08-23 09:06:36
