bet09_family,n_bet09_in_family,n_rows,n_pnl_zero,pct_pnl_zero,n_exact_refund,n_payout_zero_stake_pos,pct_player_win,mu0_pct,verdict_family
F1_庄闲主注,2,91043907,8633478,9.482763,8633478,41197497,45.267095,-1.593812,★ 零输赢者 100% 系原额退还 —— 形态一致（★ 惟机制仍须上游确认）
F3_对子族,4,12182691,100,0.000821,100,11276022,7.441451,-9.980930,★ 零输赢者 100% 系原额退还 —— 形态一致（★ 惟机制仍须上游确认）
F6_幸运族,3,12175676,103,0.000846,103,11509716,5.468748,-22.438564,★ 零输赢者 100% 系原额退还 —— 形态一致（★ 惟机制仍须上游确认）
F2_和局,1,9642347,75,0.000778,75,8728993,9.471543,-13.232791,★ 零输赢者 100% 系原额退还 —— 形态一致（★ 惟机制仍须上游确认）
F5_龙宝族,2,383697,6899,1.798033,6899,267129,28.582189,-8.250356,★ 零输赢者 100% 系原额退还 —— 形态一致（★ 惟机制仍须上游确认）
F4_例牌族,2,117114,2127,1.816179,2127,95820,16.366105,-15.309513,★ 零输赢者 100% 系原额退还 —— 形态一致（★ 惟机制仍须上游确认）
F7_大小,2,103708,2,0.001929,2,44668,56.927142,-4.792781,★ 零输赢者 100% 系原额退还 —— 形态一致（★ 惟机制仍须上游确认）
F8_其他与新上线,7,7,7,100.000000,7,0,0.000000,0.000000,★ 零输赢者 100% 系原额退还 —— 形态一致（★ 惟机制仍须上游确认）
