db_name,table_name,h_src,table_type,scope_db,scope_pattern,scope_scanned_at
ods_mariadb_2b,ods_a168_game_callwebapi,（未命中五源）,BASE TABLE,ods_mariadb_2b,表名正则五族（见本条 CASE）,2026-08-23 08:56:06
ods_mariadb_2b,ods_a168_game_demoipsetting,（未命中五源）,BASE TABLE,ods_mariadb_2b,表名正则五族（见本条 CASE）,2026-08-23 08:56:06
ods_mariadb_2b,ods_a168_game_info,（未命中五源）,BASE TABLE,ods_mariadb_2b,表名正则五族（见本条 CASE）,2026-08-23 08:56:06
ods_mariadb_2b,ods_a168_game_info_verify,（未命中五源）,BASE TABLE,ods_mariadb_2b,表名正则五族（见本条 CASE）,2026-08-23 08:56:06
ods_mariadb_2b,ods_a168_game_log,（未命中五源）,BASE TABLE,ods_mariadb_2b,表名正则五族（见本条 CASE）,2026-08-23 08:56:06
ods_mariadb_2b,ods_a168_game_parame,（未命中五源）,BASE TABLE,ods_mariadb_2b,表名正则五族（见本条 CASE）,2026-08-23 08:56:06
ods_mariadb_2b,ods_a168_game_result,（未命中五源）,BASE TABLE,ods_mariadb_2b,表名正则五族（见本条 CASE）,2026-08-23 08:56:06
ods_mariadb_2b,ods_a168_game_statistics,（未命中五源）,BASE TABLE,ods_mariadb_2b,表名正则五族（见本条 CASE）,2026-08-23 08:56:06
ods_mariadb_2b,ods_a168_game_tip,（未命中五源）,BASE TABLE,ods_mariadb_2b,表名正则五族（见本条 CASE）,2026-08-23 08:56:06
ods_mariadb_2b,ods_a168_game_transfer,（未命中五源）,BASE TABLE,ods_mariadb_2b,表名正则五族（见本条 CASE）,2026-08-23 08:56:06
ods_mariadb_2b,ods_a168_game_type,（未命中五源）,BASE TABLE,ods_mariadb_2b,表名正则五族（见本条 CASE）,2026-08-23 08:56:06
ods_mariadb_2b,ods_a168_in_out_m,（未命中五源）,BASE TABLE,ods_mariadb_2b,表名正则五族（见本条 CASE）,2026-08-23 08:56:06
ods_mariadb_2b,ods_a168_in_out_m_chip,（未命中五源）,BASE TABLE,ods_mariadb_2b,表名正则五族（见本条 CASE）,2026-08-23 08:56:06
