bet09,commission,n_rows,n_both_null,n_null_asym,n_value_diff,pct_value_diff,d_min,d_max,max_abs_diff,sum_abs_diff,n_both_zero,n_b41_zero_vb_pos,d_sign_uniform,b41_sum,vb_sum,verdict_stratum
Banker,2,5,0,0,2,40.00000000,-10.00000000,0E-8,10.00000000,20.00000000,3,2,UNIFORM_NEG（bet41 ≤ validbet 恒成立）,0.00,20.00,◐ 单向差异（bet41 ≤ validbet）——须逐笔追成因
Tie,1,464368,0,0,1,0.00021530,-5.00000000,0E-8,5.00000000,5.00000000,2,1,UNIFORM_NEG（bet41 ≤ validbet 恒成立）,226238194.00,226238199.00,◐ 单向差异（bet41 ≤ validbet）——须逐笔追成因
Super6,1,346675,0,0,1,0.00028850,-5.00000000,0E-8,5.00000000,5.00000000,0,1,UNIFORM_NEG（bet41 ≤ validbet 恒成立）,35084000.00,35084005.00,◐ 单向差异（bet41 ≤ validbet）——须逐笔追成因
BPair,1,331954,0,0,1,0.00030120,-80.00000000,0E-8,80.00000000,80.00000000,1,1,UNIFORM_NEG（bet41 ≤ validbet 恒成立）,225355343.00,225355423.00,◐ 单向差异（bet41 ≤ validbet）——须逐笔追成因
Lucky7,1,299679,0,0,1,0.00033370,-10.00000000,0E-8,10.00000000,10.00000000,0,1,UNIFORM_NEG（bet41 ≤ validbet 恒成立）,28598246.00,28598256.00,◐ 单向差异（bet41 ≤ validbet）——须逐笔追成因
BankerDragonBonus,0,161140,0,0,1,0.00062060,-10.00000000,0E-8,10.00000000,10.00000000,2891,1,UNIFORM_NEG（bet41 ≤ validbet 恒成立）,18022860.00,18022870.00,◐ 单向差异（bet41 ≤ validbet）——须逐笔追成因
AnyPair,0,141591,0,0,1,0.00070630,-10.00000000,0E-8,10.00000000,10.00000000,1,1,UNIFORM_NEG（bet41 ≤ validbet 恒成立）,528315778.00,528315788.00,◐ 单向差异（bet41 ≤ validbet）——须逐笔追成因
PlayerDragonBonus,0,136519,0,0,1,0.00073250,-10.00000000,0E-8,10.00000000,10.00000000,2391,1,UNIFORM_NEG（bet41 ≤ validbet 恒成立）,23950273.00,23950283.00,◐ 单向差异（bet41 ≤ validbet）——须逐笔追成因
Big,0,67483,0,0,1,0.00148190,-10.00000000,0E-8,10.00000000,10.00000000,0,1,UNIFORM_NEG（bet41 ≤ validbet 恒成立）,94874113.67,94874123.67,◐ 单向差异（bet41 ≤ validbet）——须逐笔追成因
PlayerNatural,0,45963,0,0,1,0.00217570,-10.00000000,0E-8,10.00000000,10.00000000,813,1,UNIFORM_NEG（bet41 ≤ validbet 恒成立）,27585688.00,27585698.00,◐ 单向差异（bet41 ≤ validbet）——须逐笔追成因
Small,0,21434,0,0,1,0.00466550,-10.00000000,0E-8,10.00000000,10.00000000,0,1,UNIFORM_NEG（bet41 ≤ validbet 恒成立）,15050445.00,15050455.00,◐ 单向差异（bet41 ≤ validbet）——须逐笔追成因
Banker,-100,5,0,0,1,20.00000000,-10.00000000,0E-8,10.00000000,10.00000000,3,1,UNIFORM_NEG（bet41 ≤ validbet 恒成立）,10.00,20.00,◐ 单向差异（bet41 ≤ validbet）——须逐笔追成因
Banker,100,2,0,0,1,50.00000000,-10.00000000,0E-8,10.00000000,10.00000000,1,1,UNIFORM_NEG（bet41 ≤ validbet 恒成立）,0.00,10.00,◐ 单向差异（bet41 ≤ validbet）——须逐笔追成因
Banker,999,2,0,0,1,50.00000000,-10.00000000,0E-8,10.00000000,10.00000000,1,1,UNIFORM_NEG（bet41 ≤ validbet 恒成立）,0.00,10.00,◐ 单向差异（bet41 ≤ validbet）——须逐笔追成因
Bear8,0,1,0,0,1,100.00000000,-10.00000000,-10.00000000,10.00000000,10.00000000,0,1,UNIFORM_NEG（bet41 ≤ validbet 恒成立）,0.00,10.00,◐ 单向差异（bet41 ≤ validbet）——须逐笔追成因
Lucky7TwoCard,0,1,0,0,1,100.00000000,-10.00000000,-10.00000000,10.00000000,10.00000000,0,1,UNIFORM_NEG（bet41 ≤ validbet 恒成立）,0.00,10.00,◐ 单向差异（bet41 ≤ validbet）——须逐笔追成因
SmallTiger,0,1,0,0,1,100.00000000,-10.00000000,-10.00000000,10.00000000,10.00000000,0,1,UNIFORM_NEG（bet41 ≤ validbet 恒成立）,0.00,10.00,◐ 单向差异（bet41 ≤ validbet）——须逐笔追成因
SuperTie4,0,1,0,0,1,100.00000000,-10.00000000,-10.00000000,10.00000000,10.00000000,0,1,UNIFORM_NEG（bet41 ≤ validbet 恒成立）,0.00,10.00,◐ 单向差异（bet41 ≤ validbet）——须逐笔追成因
SuperTie5,0,1,0,0,1,100.00000000,-10.00000000,-10.00000000,10.00000000,10.00000000,0,1,UNIFORM_NEG（bet41 ≤ validbet 恒成立）,0.00,10.00,◐ 单向差异（bet41 ≤ validbet）——须逐笔追成因
