table_name,col_pos,column_name,data_type,column_comment,col_family,scope_db,scope_pattern,scope_scanned_at
ods_a168_agent_partner_gamelist,6,status,varchar,source_type=int(11); 開關,状态变更,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
ods_a168_agent_permissionrole,5,status,varchar,source_type=int(11); 0:禁用;1啟用,状态变更,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
ods_a168_agents_LoginPass,17,operator,varchar,source_type=varchar(25); ,状态变更,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
ods_a168_aggregate_setting,7,status,varchar,source_type=tinyint(1); 啟停用,状态变更,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
ods_a168_aggregate_transaction,14,status,varchar,"source_type=tinyint(1); 呼叫狀態 0:未處理,1:成功,2:失敗,3:回滾,4:處理中",状态变更,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
ods_a168_alarmMessage,9,status,varchar,source_type=int(11); ,状态变更,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
ods_a168_alertMessage,8,operator,varchar,source_type=varchar(40); 操作者,状态变更,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
ods_a168_alertMessage,9,status,varchar,source_type=tinyint(1); 0:未處理1:已處理,状态变更,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
ods_a168_bet_limit_default,19,status,varchar,source_type=int(11); ,状态变更,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
ods_a168_betchange_log,6,old_bet01,varchar,source_type=bigint(20); ,状态变更,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
