bet09_value,commission_value,n_rows,n_both_null,n_null_asym,n_value_diff,max_abs_diff,b41_sum,vb_sum,verdict_stratum
Banker,0,42661541,0,0,351,330000.00000000,278769205291.00,278769695574.00,◐ 本层有数值差
Player,0,40808807,0,0,286,1000000.00000000,275692785988.00,275694463528.00,◐ 本层有数值差
Tie,0,9177979,0,0,53,25000.00000000,6089590481.00,6089621347.00,◐ 本层有数值差
Banker,1,4160552,0,0,49,3000.00000000,14820149050.00,14820155432.00,◐ 本层有数值差
Player,1,3412976,0,0,42,2500.00000000,12419003325.50,12419007873.50,◐ 本层有数值差
BPair,0,5576633,0,0,35,1000.00000000,4413113160.00,4413116038.00,◐ 本层有数值差
PPair,0,5446427,0,0,33,1000.00000000,4420319561.00,4420322629.00,◐ 本层有数值差
Super6,0,4297983,0,0,33,15000.00000000,2711694694.00,2711711976.00,◐ 本层有数值差
Lucky7,0,4078585,0,0,28,2000.00000000,1843163095.00,1843166008.00,◐ 本层有数值差
SuperLucky7,0,2920626,0,0,26,5000.00000000,395957799.00,395964387.00,◐ 本层有数值差
PerfectPair,0,321776,0,0,2,20.00000000,813463380.00,813463410.00,◐ 本层有数值差
BankerNatural,0,51772,0,0,2,20.00000000,19875029.00,19875059.00,◐ 本层有数值差
Banker,2,5,0,0,2,10.00000000,0.00,20.00,◐ 本层有数值差
Banker,-1,5,0,0,2,10.00000000,0.00,20.00,◐ 本层有数值差
Tie,1,464368,0,0,1,5.00000000,226238194.00,226238199.00,◐ 本层有数值差
Super6,1,346675,0,0,1,5.00000000,35084000.00,35084005.00,◐ 本层有数值差
BPair,1,331954,0,0,1,80.00000000,225355343.00,225355423.00,◐ 本层有数值差
Lucky7,1,299679,0,0,1,10.00000000,28598246.00,28598256.00,◐ 本层有数值差
BankerDragonBonus,0,161140,0,0,1,10.00000000,18022860.00,18022870.00,◐ 本层有数值差
AnyPair,0,141591,0,0,1,10.00000000,528315778.00,528315788.00,◐ 本层有数值差
PlayerDragonBonus,0,136519,0,0,1,10.00000000,23950273.00,23950283.00,◐ 本层有数值差
Big,0,67483,0,0,1,10.00000000,94874113.67,94874123.67,◐ 本层有数值差
PlayerNatural,0,45963,0,0,1,10.00000000,27585688.00,27585698.00,◐ 本层有数值差
Small,0,21434,0,0,1,10.00000000,15050445.00,15050455.00,◐ 本层有数值差
Banker,-100,5,0,0,1,10.00000000,10.00,20.00,◐ 本层有数值差
Banker,999,2,0,0,1,10.00000000,0.00,10.00,◐ 本层有数值差
Banker,100,2,0,0,1,10.00000000,0.00,10.00,◐ 本层有数值差
SuperTie9,0,1,0,0,1,10.00000000,0.00,10.00,◐ 本层有数值差
SmallTiger,0,1,0,0,1,10.00000000,0.00,10.00,◐ 本层有数值差
SuperTie4,0,1,0,0,1,10.00000000,0.00,10.00,◐ 本层有数值差
SuperTie8,0,1,0,0,1,10.00000000,0.00,10.00,◐ 本层有数值差
Bear8,0,1,0,0,1,10.00000000,0.00,10.00,◐ 本层有数值差
Lucky7TwoCard,0,1,0,0,1,10.00000000,0.00,10.00,◐ 本层有数值差
SuperTie5,0,1,0,0,1,10.00000000,0.00,10.00,◐ 本层有数值差
PPair,1,317814,0,0,0,0E-8,224931646.00,224931646.00,✅ 本层相同
SuperLucky7,1,232128,0,0,0,0E-8,10397112.00,10397112.00,✅ 本层相同
BankerDragonBonus,1,45829,0,0,0,0E-8,4594070.00,4594070.00,✅ 本层相同
PlayerDragonBonus,1,40209,0,0,0,0E-8,4735868.00,4735868.00,✅ 本层相同
PerfectPair,1,34009,0,0,0,0E-8,128382501.00,128382501.00,✅ 本层相同
Big,1,13239,0,0,0,0E-8,4989884.00,4989884.00,✅ 本层相同
AnyPair,1,12487,0,0,0,0E-8,16970561.00,16970561.00,✅ 本层相同
BankerNatural,1,10402,0,0,0,0E-8,1846884.00,1846884.00,✅ 本层相同
PlayerNatural,1,8977,0,0,0,0E-8,2103804.00,2103804.00,✅ 本层相同
Tip_1_,0,5564,0,0,0,0E-8,0.00,0.00,✅ 本层相同
Small,1,1552,0,0,0,0E-8,145900.00,145900.00,✅ 本层相同
Player,2,3,0,0,0,0E-8,0.00,0.00,✅ 本层相同
Player,-1,3,0,0,0,0E-8,0.00,0.00,✅ 本层相同
Player,-100,3,0,0,0,0E-8,0.00,0.00,✅ 本层相同
Player,999,1,0,0,0,0E-8,0.00,0.00,✅ 本层相同
Banker,-999,1,0,0,0,0E-8,10.00,10.00,✅ 本层相同
Player,100,1,0,0,0,0E-8,0.00,0.00,✅ 本层相同
