bet09_value,commission_value,n_rows,n_both_null,n_null_asym,n_value_diff,pct_value_diff,max_abs_diff,d_min,d_max,sum_abs_diff,n_both_zero,n_b41_zero_vb_pos,n_b41_pos_vb_zero,d_sign_uniform,b41_sum,vb_sum,verdict_stratum
PPair,1,317814,0,0,0,0E-8,0E-8,0E-8,0E-8,0E-8,1,0,0,NO_DIFFERENCE,224931646.00,224931646.00,IDENTICAL_NONZERO
SuperLucky7,1,232128,0,0,0,0E-8,0E-8,0E-8,0E-8,0E-8,1,0,0,NO_DIFFERENCE,10397112.00,10397112.00,IDENTICAL_NONZERO
BankerDragonBonus,1,45829,0,0,0,0E-8,0E-8,0E-8,0E-8,0E-8,849,0,0,NO_DIFFERENCE,4594070.00,4594070.00,IDENTICAL_NONZERO
PlayerDragonBonus,1,40209,0,0,0,0E-8,0E-8,0E-8,0E-8,0E-8,766,0,0,NO_DIFFERENCE,4735868.00,4735868.00,IDENTICAL_NONZERO
PerfectPair,1,34009,0,0,0,0E-8,0E-8,0E-8,0E-8,0E-8,0,0,0,NO_DIFFERENCE,128382501.00,128382501.00,IDENTICAL_NONZERO
Big,1,13239,0,0,0,0E-8,0E-8,0E-8,0E-8,0E-8,0,0,0,NO_DIFFERENCE,4989884.00,4989884.00,IDENTICAL_NONZERO
AnyPair,1,12487,0,0,0,0E-8,0E-8,0E-8,0E-8,0E-8,0,0,0,NO_DIFFERENCE,16970561.00,16970561.00,IDENTICAL_NONZERO
BankerNatural,1,10402,0,0,0,0E-8,0E-8,0E-8,0E-8,0E-8,202,0,0,NO_DIFFERENCE,1846884.00,1846884.00,IDENTICAL_NONZERO
PlayerNatural,1,8977,0,0,0,0E-8,0E-8,0E-8,0E-8,0E-8,154,0,0,NO_DIFFERENCE,2103804.00,2103804.00,IDENTICAL_NONZERO
Tip_1_,0,5564,0,0,0,0E-8,0E-8,0E-8,0E-8,0E-8,5564,0,0,NO_DIFFERENCE,0.00,0.00,NO_COMPARABLE_VALUE
Small,1,1552,0,0,0,0E-8,0E-8,0E-8,0E-8,0E-8,0,0,0,NO_DIFFERENCE,145900.00,145900.00,IDENTICAL_NONZERO
Player,-1,3,0,0,0,0E-8,0E-8,0E-8,0E-8,0E-8,3,0,0,NO_DIFFERENCE,0.00,0.00,NO_COMPARABLE_VALUE
Player,-100,3,0,0,0,0E-8,0E-8,0E-8,0E-8,0E-8,3,0,0,NO_DIFFERENCE,0.00,0.00,NO_COMPARABLE_VALUE
Player,2,3,0,0,0,0E-8,0E-8,0E-8,0E-8,0E-8,3,0,0,NO_DIFFERENCE,0.00,0.00,NO_COMPARABLE_VALUE
Banker,-999,1,0,0,0,0E-8,0E-8,0E-8,0E-8,0E-8,0,0,0,NO_DIFFERENCE,10.00,10.00,IDENTICAL_NONZERO
Player,100,1,0,0,0,0E-8,0E-8,0E-8,0E-8,0E-8,1,0,0,NO_DIFFERENCE,0.00,0.00,NO_COMPARABLE_VALUE
Player,999,1,0,0,0,0E-8,0E-8,0E-8,0E-8,0E-8,1,0,0,NO_DIFFERENCE,0.00,0.00,NO_COMPARABLE_VALUE
