ip,n_orders,n_member,first_dt,last_dt,rn
103.123.134.132,0,0,,,1
103.123.134.248,0,0,,,2
103.62.155.203,0,0,,,3
103.86.46.125,0,0,,,4
111.247.37.68,0,0,,,5
111.247.37.71,0,0,,,6
111.247.37.85,0,0,,,7
111.247.37.88,0,0,,,8
111.247.37.89,0,0,,,9
111.247.37.90,0,0,,,10
116.49.238.62,0,0,,,11
118.163.176.123,0,0,,,12
155.137.189.124,0,0,,,13
175.210.56.225,0,0,,,14
183.209.242.59,0,0,,,15
223.255.139.4,0,0,,,16
60.249.18.108,0,0,,,17
8.217.176.31,0,0,,,18
