bet_side,n_orders,n_member,stake_total,player_pnl,house_hold_pct,win_rate_base,avg_stake,stake_cv,rn
Banker,46478301,571169,7036869281.8600452615,-87142922.5587554069,0.012383763158,0.5066782,151.401172815247,5.889118283286939,1
Player,43887814,599892,5909961233.1144073380,-74637237.3039934772,0.012629057004,0.4931331,134.660642544521,6.02179471901034,2
Tie,9571591,151782,150140548.5259312998,-22775199.7524393096,0.151692530606,0.0947383,15.686059770620,3.818917687515459,3
BPair,5867803,99453,72553913.4421192392,-7688614.3688416434,0.105971049721,0.0746880,12.364749369077,3.8474985499768377,4
PPair,5724592,100949,70654716.7346631048,-7522733.1468705284,0.106471775623,0.0747991,12.342314829539,3.781168453077165,5
Super6,4610732,80436,77427639.3923507565,-15993557.3173589465,0.206561344797,0.0537003,16.792916914787,3.6002403784123875,6
Lucky7,4348061,81502,62099177.7480500691,-11421807.4971142300,0.183928482008,0.0815750,14.282039223472,3.774832801856123,7
SuperLucky7,3129299,83985,23009802.4361761887,-3847754.6450383048,0.167222411218,0.0188056,7.353021375131,2.920967125993318,8
PerfectPair,353630,1779,6075113.7491835243,-410469.5198220024,0.067565734037,0.0338237,17.179294033831,3.116651619907774,9
BankerDragonBonus,205408,4104,5129335.3461408611,-639480.6680270062,0.124671253656,0.2874595,24.971448756333,2.5142433000066844,10
PlayerDragonBonus,175618,4042,4415664.2746120818,-332892.4710657371,0.075388990277,0.2951801,25.143574545958,2.5394236847422214,11
AnyPair,153193,1574,1627571.0726740865,-267468.1853631325,0.164335794518,0.1439109,10.624317512380,2.4853606903009196,12
Big,80110,1408,11441559.1251211276,-800117.7281935807,0.069930830182,0.6235254,142.823107291488,4.4539114223965655,13
BankerNatural,61688,2038,1835718.0443771215,-294808.0798045057,0.160595512316,0.1685360,29.758106023491,4.701431942443875,14
PlayerNatural,54591,2012,1791490.2373622638,-342483.0565041767,0.191172159000,0.1646528,32.816585835802,6.216145961435886,15
Small,22842,729,2321583.8920466617,-117461.3003610132,0.050595328803,0.3785736,101.636629544114,7.033579430406084,16
Bear8,1,1,10.0000000000,0E-10,0E-12,,10.000000000000,,17
Lucky7TwoCard,1,1,10.0000000000,0E-10,0E-12,,10.000000000000,,18
SmallTiger,1,1,10.0000000000,0E-10,0E-12,,10.000000000000,,19
SuperTie4,1,1,10.0000000000,0E-10,0E-12,,10.000000000000,,20
SuperTie5,1,1,10.0000000000,0E-10,0E-12,,10.000000000000,,21
SuperTie8,1,1,10.0000000000,0E-10,0E-12,,10.000000000000,,22
SuperTie9,1,1,10.0000000000,0E-10,0E-12,,10.000000000000,,23
