dt,table_id,shoe_id,max_round,min_round,rounds_with_bet,gap,n_bettors,n_bets,anomaly_type,hi_cut_used,stake,valid_bet,profit,n_bets_xagg,n_rounds,roi,roi_late,roi_non_late,roi_ex_rebate,roi_numerator,roi_denominator,roi_denominator_status,rebate_cost,agent_cost,agent_pct,company_retain_pct,agent_formula_version,agent_cost_a_legacy,agent_cost_valid_base_legacy,ngr,net_margin,net_margin_a_legacy,ngr_rate,net_margin_rate,net_margin_a_rate_legacy,avg_stake_per_bet,avg_valid_bet_per_round,avg_profit_per_round,avg_profit_per_day,avg_profit_per_shoe,avg_stake_per_active_day,avg_rounds_per_active_day,avg_stake_late,avg_stake_non_late,p25_stake,p50_stake,p75_stake,p90_stake,p95_stake,p99_stake,p50_valid_bet,p50_profit,p95_over_p50,p99_over_p50,avg_over_p50,common_table_count,common_dealer_count,common_ip_count,common_product_count,share_late,hold_rate,hold_rate_late,rebate_rate_actual,rebate_pct_config,turnover_multiple,free_comm_rate,roi_delta_late,first_seen,last_seen,active_days,active_shoes,active_sessions,span_days,persistence,ramp_late,ramp_recent,stake_ramp,vip_tier,economic_value,risk_value,pr_stake,action_priority,audit_rn,batch_id
2026-03-24,900,123647,5,2,4,1,6,9,残靴：截断／换荷官／开收台可疑,87.0,4700866.8383,4273300.2609,-57756.2773,46032,3854,0.01228630,-0.00831897,0.01684868,0.01182288,57756.2773,4700866.8383,OK,2178.4941,-2945.6170,4.0177,95.9823,AG03-B-v1,-54810.6603,4097352.9786,-59934.7714,-56989.1544,-5124.1110,-0.01274973,-0.01212312,-0.00109004,102.1217,1108.7961,-14.9861,-14439.0693,-825.0897,1175216.7096,963.5000,95.0023,103.8448,4.4018,15.6137,52.6635,208.5149,438.3273,1316.5863,13.1659,-2.2009,28.073204,84.322362,6.540509,1,1,7862,16,0.18127953,-0.01228630,0.00831897,0.00050979,0.034504,0.909045,0.072623,-0.02516765,2026-03-23,2026-03-26,4,70,4,4,1.000000,0.914849,,0.000000,1,1.0,1.0,0.0,A 平台净亏首位 · 立即处置,1,1
2026-03-25,909,123900,4,1,3,1,5,6,残靴：截断／换荷官／开收台可疑,87.0,174066619.0805,157166699.1452,324213.1599,1483351,163316,-0.00186258,0.00901271,-0.00455908,-0.00238545,-324213.1599,174066619.0805,OK,91013.4776,21308.7910,4.0043,95.9957,AG03-B-v1,302904.3689,150779358.4364,233199.6822,211890.8912,-69704.6867,0.00133972,0.00121730,-0.00040045,117.3469,962.3472,1.9852,2366.5194,99.2084,1270559.2634,1192.0876,111.2054,118.9761,5.1636,17.8977,56.9735,204.3903,408.7806,1663.6167,12.9729,-2.1082,22.839785,92.951199,6.556519,1,1,204947,16,0.19868437,0.00186258,-0.00901271,0.00057909,0.045029,0.902911,0.082233,0.01357179,2026-03-23,2026-08-06,137,3268,137,137,1.000000,0.934687,1.046996,0.830728,1,0.9707446808510638,0.9707446808510638,0.17287234042553193,A 平台净亏首位 · 立即处置,2,1
2026-03-31,909,12792,1,1,1,0,1,1,残靴：截断／换荷官／开收台可疑,87.0,174066619.0805,157166699.1452,324213.1599,1483351,163316,-0.00186258,0.00901271,-0.00455908,-0.00238545,-324213.1599,174066619.0805,OK,91013.4776,21308.7910,4.0043,95.9957,AG03-B-v1,302904.3689,150779358.4364,233199.6822,211890.8912,-69704.6867,0.00133972,0.00121730,-0.00040045,117.3469,962.3472,1.9852,2366.5194,99.2084,1270559.2634,1192.0876,111.2054,118.9761,5.1636,17.8977,56.9735,204.3903,408.7806,1663.6167,12.9729,-2.1082,22.839785,92.951199,6.556519,1,1,204947,16,0.19868437,0.00186258,-0.00901271,0.00057909,0.045029,0.902911,0.082233,0.01357179,2026-03-23,2026-08-06,137,3268,137,137,1.000000,0.934687,1.046996,0.830728,1,0.9707446808510638,0.9707446808510638,0.17287234042553193,A 平台净亏首位 · 立即处置,3,1
2026-04-02,909,126084,3,3,1,2,1,1,残靴：截断／换荷官／开收台可疑,87.0,174066619.0805,157166699.1452,324213.1599,1483351,163316,-0.00186258,0.00901271,-0.00455908,-0.00238545,-324213.1599,174066619.0805,OK,91013.4776,21308.7910,4.0043,95.9957,AG03-B-v1,302904.3689,150779358.4364,233199.6822,211890.8912,-69704.6867,0.00133972,0.00121730,-0.00040045,117.3469,962.3472,1.9852,2366.5194,99.2084,1270559.2634,1192.0876,111.2054,118.9761,5.1636,17.8977,56.9735,204.3903,408.7806,1663.6167,12.9729,-2.1082,22.839785,92.951199,6.556519,1,1,204947,16,0.19868437,0.00186258,-0.00901271,0.00057909,0.045029,0.902911,0.082233,0.01357179,2026-03-23,2026-08-06,137,3268,137,137,1.000000,0.934687,1.046996,0.830728,1,0.9707446808510638,0.9707446808510638,0.17287234042553193,A 平台净亏首位 · 立即处置,4,1
2026-04-08,909,129850,4,1,4,0,6,10,残靴：截断／换荷官／开收台可疑,87.0,174066619.0805,157166699.1452,324213.1599,1483351,163316,-0.00186258,0.00901271,-0.00455908,-0.00238545,-324213.1599,174066619.0805,OK,91013.4776,21308.7910,4.0043,95.9957,AG03-B-v1,302904.3689,150779358.4364,233199.6822,211890.8912,-69704.6867,0.00133972,0.00121730,-0.00040045,117.3469,962.3472,1.9852,2366.5194,99.2084,1270559.2634,1192.0876,111.2054,118.9761,5.1636,17.8977,56.9735,204.3903,408.7806,1663.6167,12.9729,-2.1082,22.839785,92.951199,6.556519,1,1,204947,16,0.19868437,0.00186258,-0.00901271,0.00057909,0.045029,0.902911,0.082233,0.01357179,2026-03-23,2026-08-06,137,3268,137,137,1.000000,0.934687,1.046996,0.830728,1,0.9707446808510638,0.9707446808510638,0.17287234042553193,A 平台净亏首位 · 立即处置,5,1
2026-04-21,909,1218848,5,1,4,1,5,6,残靴：截断／换荷官／开收台可疑,87.0,174066619.0805,157166699.1452,324213.1599,1483351,163316,-0.00186258,0.00901271,-0.00455908,-0.00238545,-324213.1599,174066619.0805,OK,91013.4776,21308.7910,4.0043,95.9957,AG03-B-v1,302904.3689,150779358.4364,233199.6822,211890.8912,-69704.6867,0.00133972,0.00121730,-0.00040045,117.3469,962.3472,1.9852,2366.5194,99.2084,1270559.2634,1192.0876,111.2054,118.9761,5.1636,17.8977,56.9735,204.3903,408.7806,1663.6167,12.9729,-2.1082,22.839785,92.951199,6.556519,1,1,204947,16,0.19868437,0.00186258,-0.00901271,0.00057909,0.045029,0.902911,0.082233,0.01357179,2026-03-23,2026-08-06,137,3268,137,137,1.000000,0.934687,1.046996,0.830728,1,0.9707446808510638,0.9707446808510638,0.17287234042553193,A 平台净亏首位 · 立即处置,6,1
2026-06-04,909,1253902,3,3,1,2,3,3,残靴：截断／换荷官／开收台可疑,87.0,174066619.0805,157166699.1452,324213.1599,1483351,163316,-0.00186258,0.00901271,-0.00455908,-0.00238545,-324213.1599,174066619.0805,OK,91013.4776,21308.7910,4.0043,95.9957,AG03-B-v1,302904.3689,150779358.4364,233199.6822,211890.8912,-69704.6867,0.00133972,0.00121730,-0.00040045,117.3469,962.3472,1.9852,2366.5194,99.2084,1270559.2634,1192.0876,111.2054,118.9761,5.1636,17.8977,56.9735,204.3903,408.7806,1663.6167,12.9729,-2.1082,22.839785,92.951199,6.556519,1,1,204947,16,0.19868437,0.00186258,-0.00901271,0.00057909,0.045029,0.902911,0.082233,0.01357179,2026-03-23,2026-08-06,137,3268,137,137,1.000000,0.934687,1.046996,0.830728,1,0.9707446808510638,0.9707446808510638,0.17287234042553193,A 平台净亏首位 · 立即处置,7,1
2026-06-18,909,1266039,4,1,4,0,6,12,残靴：截断／换荷官／开收台可疑,87.0,174066619.0805,157166699.1452,324213.1599,1483351,163316,-0.00186258,0.00901271,-0.00455908,-0.00238545,-324213.1599,174066619.0805,OK,91013.4776,21308.7910,4.0043,95.9957,AG03-B-v1,302904.3689,150779358.4364,233199.6822,211890.8912,-69704.6867,0.00133972,0.00121730,-0.00040045,117.3469,962.3472,1.9852,2366.5194,99.2084,1270559.2634,1192.0876,111.2054,118.9761,5.1636,17.8977,56.9735,204.3903,408.7806,1663.6167,12.9729,-2.1082,22.839785,92.951199,6.556519,1,1,204947,16,0.19868437,0.00186258,-0.00901271,0.00057909,0.045029,0.902911,0.082233,0.01357179,2026-03-23,2026-08-06,137,3268,137,137,1.000000,0.934687,1.046996,0.830728,1,0.9707446808510638,0.9707446808510638,0.17287234042553193,A 平台净亏首位 · 立即处置,8,1
2026-06-24,909,1270751,5,1,4,1,9,18,残靴：截断／换荷官／开收台可疑,87.0,174066619.0805,157166699.1452,324213.1599,1483351,163316,-0.00186258,0.00901271,-0.00455908,-0.00238545,-324213.1599,174066619.0805,OK,91013.4776,21308.7910,4.0043,95.9957,AG03-B-v1,302904.3689,150779358.4364,233199.6822,211890.8912,-69704.6867,0.00133972,0.00121730,-0.00040045,117.3469,962.3472,1.9852,2366.5194,99.2084,1270559.2634,1192.0876,111.2054,118.9761,5.1636,17.8977,56.9735,204.3903,408.7806,1663.6167,12.9729,-2.1082,22.839785,92.951199,6.556519,1,1,204947,16,0.19868437,0.00186258,-0.00901271,0.00057909,0.045029,0.902911,0.082233,0.01357179,2026-03-23,2026-08-06,137,3268,137,137,1.000000,0.934687,1.046996,0.830728,1,0.9707446808510638,0.9707446808510638,0.17287234042553193,A 平台净亏首位 · 立即处置,9,1
2026-07-05,909,1280277,5,1,4,1,4,6,残靴：截断／换荷官／开收台可疑,87.0,174066619.0805,157166699.1452,324213.1599,1483351,163316,-0.00186258,0.00901271,-0.00455908,-0.00238545,-324213.1599,174066619.0805,OK,91013.4776,21308.7910,4.0043,95.9957,AG03-B-v1,302904.3689,150779358.4364,233199.6822,211890.8912,-69704.6867,0.00133972,0.00121730,-0.00040045,117.3469,962.3472,1.9852,2366.5194,99.2084,1270559.2634,1192.0876,111.2054,118.9761,5.1636,17.8977,56.9735,204.3903,408.7806,1663.6167,12.9729,-2.1082,22.839785,92.951199,6.556519,1,1,204947,16,0.19868437,0.00186258,-0.00901271,0.00057909,0.045029,0.902911,0.082233,0.01357179,2026-03-23,2026-08-06,137,3268,137,137,1.000000,0.934687,1.046996,0.830728,1,0.9707446808510638,0.9707446808510638,0.17287234042553193,A 平台净亏首位 · 立即处置,10,1
