table_id,n_orders,p50,p75,p90,p95,p99,max_progress,stake,valid_bet,profit,n_bets,n_rounds,roi,roi_recent,roi_non_recent,roi_ex_rebate,roi_numerator,roi_denominator,roi_denominator_status,rebate_cost,agent_cost,agent_pct,company_retain_pct,agent_formula_version,agent_cost_a_legacy,agent_cost_valid_base_legacy,ngr,net_margin,net_margin_a_legacy,ngr_rate,net_margin_rate,net_margin_a_rate_legacy,avg_stake_per_bet,avg_valid_bet_per_round,avg_profit_per_round,avg_profit_per_day,avg_profit_per_shoe,avg_stake_per_active_day,avg_rounds_per_active_day,avg_stake_recent,avg_stake_non_recent,p25_stake,p50_stake,p75_stake,p90_stake,p95_stake,p99_stake,p50_valid_bet,p50_profit,p95_over_p50,p99_over_p50,avg_over_p50,common_table_count,common_dealer_count,common_ip_count,common_product_count,share_recent,hold_rate,hold_rate_recent,rebate_rate_actual,rebate_pct_config,turnover_multiple,free_comm_rate,roi_delta_recent,first_seen,last_seen,active_days,active_shoes,active_sessions,span_days,persistence,ramp_recent_vs_prior,ramp_recent_vs_all,stake_ramp,vip_tier,economic_value,risk_value,pr_stake,action_priority,audit_rn,batch_id
900,46032,0.2666667103767395,0.3793103098869324,0.44680848717689514,0.47826090455055237,0.5227273106575012,0.6097561,4700866.8383,4273300.2609,-57756.2773,46032,3854,0.01228630,,0.01228630,0.01182288,57756.2773,4700866.8383,OK,2178.4941,-2945.6170,4.0177,95.9823,AG03-B-v1,-54810.6603,4097352.9786,-59934.7714,-56989.1544,-5124.1110,-0.01274973,-0.01212312,-0.00109004,102.1217,1108.7961,-14.9861,-14439.0693,-825.0897,1175216.7096,963.5000,,102.1217,4.4018,15.6137,52.6635,208.5149,438.3273,1316.5863,13.1659,-2.2009,28.073204,84.322362,6.540509,1,1,7862,16,0E-8,-0.01228630,,0.00050979,0.034504,0.909045,0.072623,,2026-03-23,2026-03-26,4,70,4,4,1.000000,,,0.000000,1,1.0,1.0,0.0,A 平台净亏首位 · 立即处置,1,1
909,621282,0.27724188566207886,0.392039030790329,0.46153849363327026,0.5,0.547572672367096,0.7142857,174066619.0805,157166699.1452,324213.1599,1483351,163316,-0.00186258,0.00569698,-0.00437194,-0.00238545,-324213.1599,174066619.0805,OK,91013.4776,21308.7910,4.0043,95.9957,AG03-B-v1,302904.3689,150779358.4364,233199.6822,211890.8912,-69704.6867,0.00133972,0.00121730,-0.00040045,117.3469,962.3472,1.9852,2366.5194,99.2084,1270559.2634,1192.0876,122.8617,115.6241,5.1636,17.8966,56.9632,204.3903,408.7806,1663.6167,12.9729,-2.1082,22.841202,92.956965,6.556925,1,1,204947,16,0.24921846,0.00186258,-0.00569698,0.00057909,0.045029,0.902911,0.082233,0.01006893,2026-03-23,2026-08-06,137,3268,137,137,1.000000,1.062596,1.046996,0.830728,1,0.9655172413793104,0.9655172413793104,0.1724137931034483,A 平台净亏首位 · 立即处置,2,1
911,581999,0.2744712829589844,0.3877550959587097,0.4583333134651184,0.48979589343070984,0.5454545021057129,0.7083333,161485702.9703,145131558.0808,1980530.6716,1395396,161982,-0.01226443,-0.01667069,-0.01090946,-0.01278193,-1980530.6716,161485702.9703,OK,83568.4165,75300.7681,4.0001,95.9999,AG03-B-v1,1905229.9035,139218991.4568,1896962.2551,1821661.4870,-8267.6484,0.01174694,0.01128064,-0.00005120,115.7275,895.9734,12.2269,14456.4283,610.3330,1178727.7589,1182.3504,118.1168,115.0121,5.1636,18.0724,56.9464,203.8949,403.7076,1603.3927,12.9729,-2.1082,22.338295,88.720298,6.403534,1,1,196813,16,0.23518881,0.01226443,0.01667069,0.00057581,0.043283,0.898727,0.082099,-0.00576123,2026-03-23,2026-08-06,137,3245,137,137,1.000000,1.026995,1.020646,0.783963,1,0.9310344827586207,0.896551724137931,0.10344827586206896,A 平台净亏首位 · 立即处置,3,1
913,553858,0.27673405408859253,0.3888888955116272,0.4583333134651184,0.48979589343070984,0.5454545021057129,0.6944444,150783426.8399,136305207.1196,2411304.8160,1369462,158705,-0.01599184,-0.01490244,-0.01636721,-0.01647852,-2411304.8160,150783426.8399,OK,73382.7302,115325.0125,3.9958,96.0042,AG03-B-v1,2295979.8035,130763354.7255,2337922.0858,2222597.0733,41942.2823,0.01550517,0.01474033,0.00027816,110.1041,858.8589,15.1936,17994.8121,755.1847,1125249.4540,1184.3657,119.5524,107.1854,5.1636,17.0416,52.898,200.0,389.1856,1500.0,12.9089,-2.1118,22.837411,88.019997,6.46091,1,1,193110,16,0.25626280,0.01599184,0.01490244,0.00053837,0.041811,0.903980,0.079592,0.00146476,2026-03-26,2026-08-06,134,3193,134,134,1.000000,1.115380,1.085812,0.854209,1,0.896551724137931,0.5862068965517241,0.034482758620689655,E 常规,4,1
907,575276,0.27586209774017334,0.38983049988746643,0.46153849363327026,0.5,0.5573769807815552,0.6857143,175033829.7666,157211201.3423,2588644.6946,1474127,157093,-0.01478940,-0.02404151,-0.01174329,-0.01531611,-2588644.6946,175033829.7666,OK,92193.2945,95455.7322,3.9989,96.0011,AG03-B-v1,2493188.9624,150817920.0415,2496451.4001,2400995.6679,3262.4377,0.01426268,0.01371732,0.00001864,118.7373,1000.7524,16.4784,19034.1522,822.3141,1287013.4542,1155.0956,121.3710,117.8950,5.1636,17.9095,57.0967,202.0869,407.3316,1663.6167,12.9089,-2.1082,22.743893,92.89022,6.629852,1,1,206444,16,0.24768688,0.01478940,0.02404151,0.00058643,0.044662,0.898176,0.082220,-0.01229822,2026-03-23,2026-08-06,136,3148,136,137,0.992701,1.029483,1.022181,0.825623,2,0.8620689655172413,0.6551724137931034,0.20689655172413793,E 常规,5,1
903,756377,0.27555084228515625,0.3877550959587097,0.4583333134651184,0.48979589343070984,0.5454545021057129,0.7083333,209661407.0203,188682373.6949,2716054.8836,1787564,165318,-0.01295448,-0.02007627,-0.01083436,-0.01341573,-2716054.8836,209661407.0203,OK,96705.4869,109541.6961,4.0020,95.9980,AG03-B-v1,2606513.1875,181030658.7689,2619349.3967,2509807.7006,12836.2092,0.01249324,0.01197077,0.00006122,117.2889,1141.3299,16.4293,19825.2181,832.6349,1530375.2337,1206.7007,119.7901,116.5644,5.1636,17.0849,55.1577,200.0,400.0,1663.6167,12.9089,-2.1082,23.412458,97.373392,6.865053,1,1,235413,16,0.22940336,0.01295448,0.02007627,0.00051253,0.043292,0.899939,0.081387,-0.00924192,2026-03-23,2026-08-06,137,3262,137,137,1.000000,1.027673,1.021325,0.764678,2,0.8275862068965517,0.8620689655172413,0.3448275862068966,E 常规,6,1
902,828500,0.27792632579803467,0.3906259536743164,0.46000000834465027,0.4901961088180542,0.5524529218673706,0.7291667,215332582.1774,193496056.4377,2838457.2274,1901412,167340,-0.01318174,-0.00930748,-0.01431820,-0.01367487,-2838457.2274,215332582.1774,OK,106187.3809,121693.0081,4.0034,95.9966,AG03-B-v1,2716764.2193,185626433.2050,2732269.8465,2610576.8385,15505.6272,0.01268860,0.01212346,0.00007201,113.2488,1156.3049,16.9622,20718.6659,856.7634,1571770.6728,1221.4599,117.9252,111.9466,5.1636,17.0416,54.2293,200.0,400.0,1583.2592,12.9089,-2.1082,23.471999,92.905644,6.645438,1,1,245555,16,0.22680651,0.01318174,0.00930748,0.00054878,0.044397,0.898592,0.081721,0.00501072,2026-03-23,2026-08-06,137,3313,137,137,1.000000,1.053406,1.041293,0.756022,2,0.7931034482758621,0.7931034482758621,0.3793103448275862,E 常规,7,1
910,599258,0.2775643765926361,0.3921568989753723,0.46153849363327026,0.5,0.5581395030021667,0.7291667,168291707.2981,151450628.1530,2936820.0972,1431874,164093,-0.01745077,-0.01532766,-0.01807221,-0.01795207,-2936820.0972,168291707.2981,OK,84364.7789,124290.6621,3.9983,96.0017,AG03-B-v1,2812529.4351,145295421.7089,2852455.3183,2728164.6562,39925.8832,0.01694947,0.01621093,0.00023724,117.5325,922.9561,17.8973,21436.6430,895.0991,1228406.6226,1197.7591,116.3631,117.8792,5.1636,18.3232,59.11,204.3903,415.429,1663.6167,12.9729,-2.1082,22.672338,90.793072,6.414419,1,1,200520,16,0.22642758,0.01745077,0.01532766,0.00055704,0.043296,0.899929,0.082333,0.00274456,2026-03-23,2026-08-06,137,3281,137,137,1.000000,0.987138,0.990050,0.754759,1,0.7586206896551724,0.4482758620689655,0.13793103448275862,E 常规,8,1
912,584387,0.27419349551200867,0.38636359572410583,0.4565216898918152,0.4893617033958435,0.5454545021057129,0.7021277,152110191.0536,137294893.1167,3099034.3694,1380059,161851,-0.02037361,-0.02544720,-0.01886071,-0.02087848,-3099034.3694,152110191.0536,OK,76794.6005,122826.9462,3.9959,96.0041,AG03-B-v1,2976207.4232,131711411.8940,3022239.7688,2899412.8226,46032.3457,0.01986875,0.01906127,0.00030262,110.2201,848.2795,19.1475,22620.6888,957.6744,1110293.3654,1181.3942,111.8742,109.7362,5.1636,17.6075,55.0231,200.0069,400.0,1507.4373,12.9697,-2.1082,22.717651,85.613583,6.259852,1,1,195258,16,0.22969813,0.02037361,0.02544720,0.00055934,0.042265,0.902602,0.079922,-0.00658649,2026-03-23,2026-08-06,137,3236,137,137,1.000000,1.019483,1.015007,0.765660,1,0.7241379310344828,0.1724137931034483,0.06896551724137931,E 常规,9,1
906,687432,0.27659571170806885,0.3888888955116272,0.46000000834465027,0.4901961088180542,0.5476189851760864,0.7291667,188062809.9455,169528482.4267,3497221.4701,1610340,165347,-0.01859603,-0.02638205,-0.01627158,-0.01906997,-3497221.4701,188062809.9455,OK,89131.4122,145070.6415,3.9997,96.0003,AG03-B-v1,3352150.8286,162648085.4335,3408090.0579,3263019.4164,55939.2293,0.01812208,0.01735069,0.00029745,116.7845,1025.2891,21.1508,25527.1640,1064.6032,1372721.2405,1206.9124,119.7608,115.9245,5.1636,17.5863,57.0959,203.6079,405.9695,1661.8004,12.9089,-2.1082,23.08436,94.493798,6.640638,1,1,219783,16,0.22990478,0.01859603,0.02638205,0.00052576,0.043468,0.901446,0.082806,-0.01011047,2026-03-23,2026-08-06,137,3285,137,137,1.000000,1.033094,1.025485,0.766349,2,0.6896551724137931,0.3103448275862069,0.27586206896551724,E 常规,10,1
901,872452,0.2762289345264435,0.3877550959587097,0.4583333134651184,0.48979589343070984,0.550000011920929,0.7446809,233670995.3148,210645054.7285,3848673.1721,2037961,167554,-0.01647048,-0.01284648,-0.01757516,-0.01693829,-3848673.1721,233670995.3148,OK,109313.7059,160488.3508,4.0027,95.9973,AG03-B-v1,3688184.8213,202070704.7090,3739359.4662,3578871.1154,51174.6449,0.01600267,0.01531586,0.00021900,114.6592,1257.1771,22.9697,28092.5049,1164.1480,1705627.7030,1223.0219,118.8491,113.4402,5.1636,17.2232,54.5039,200.0,400.0,1662.9081,12.9089,-2.2009,23.224516,96.55059,6.657262,1,1,256798,16,0.23361351,0.01647048,0.01284648,0.00051895,0.042811,0.901460,0.083870,0.00472868,2026-03-23,2026-08-06,137,3306,137,137,1.000000,1.047681,1.036542,0.778712,3,0.6551724137931034,0.5517241379310345,0.41379310344827586,E 常规,11,1
908,636235,0.2786884903907776,0.3928571045398712,0.4634014964103699,0.5,0.5573769807815552,0.7142857,176491140.5687,159126827.0628,4025628.0625,1503238,164464,-0.02280924,-0.01006491,-0.02688435,-0.02330176,-4025628.0625,176491140.5687,OK,86925.3834,155488.3702,4.0022,95.9978,AG03-B-v1,3870139.6924,152663633.4901,3938702.6791,3783214.3090,68562.9868,0.02231672,0.02143572,0.00038848,117.4073,967.5481,24.4773,29384.1464,1229.1994,1288256.5005,1200.4672,122.4673,115.8764,5.1636,17.5641,56.5207,204.1552,406.5628,1659.0564,12.9089,-2.1082,23.147359,94.457166,6.6845,1,1,208815,16,0.24228581,0.02280924,0.01006491,0.00054626,0.044259,0.901614,0.083079,0.01681944,2026-03-23,2026-08-06,137,3275,137,137,1.000000,1.056879,1.043098,0.807619,2,0.6206896551724138,0.034482758620689655,0.2413793103448276,E 常规,12,1
905,700348,0.27586209774017334,0.38636359572410583,0.4565216898918152,0.4893617033958435,0.5435981750488281,0.7142857,194614177.4160,175782072.7460,4726696.5533,1655384,164479,-0.02428752,-0.01757209,-0.02636067,-0.02475558,-4726696.5533,194614177.4160,OK,91090.6738,186896.4557,3.9974,96.0026,AG03-B-v1,4539800.0976,168655994.6027,4635605.8795,4448709.4238,95805.7819,0.02381947,0.02285912,0.00049229,117.5644,1068.7205,28.7374,34501.4347,1449.9069,1420541.4410,1200.5766,121.2236,116.4789,5.1636,17.2517,56.6557,202.0774,407.1551,1663.6167,12.9089,-2.1082,23.600903,96.432197,6.814665,1,1,225155,16,0.23589098,0.02428752,0.01757209,0.00051820,0.042548,0.903234,0.082651,0.00878858,2026-03-23,2026-08-06,137,3260,137,137,1.000000,1.040734,1.031125,0.786303,2,0.5862068965517241,0.0,0.3103448275862069,E 常规,13,1
