bet09_value,n_rows,n_b14_null,n_b13_null,n_b13_zero,n_pnl_zero_stake_pos,n_exact_refund,pct_pnl_zero,stake_sum,verdict_contamination,stake,valid_bet,profit,n_bets,n_rounds,roi,roi_freecomm,roi_non_freecomm,roi_ex_rebate,roi_numerator,roi_denominator,roi_denominator_status,rebate_cost,agent_cost,agent_pct,company_retain_pct,agent_formula_version,agent_cost_a_legacy,agent_cost_valid_base_legacy,ngr,net_margin,net_margin_a_legacy,ngr_rate,net_margin_rate,net_margin_a_rate_legacy,avg_stake_per_bet,avg_valid_bet_per_round,avg_profit_per_round,avg_profit_per_day,avg_profit_per_shoe,avg_stake_per_active_day,avg_rounds_per_active_day,avg_stake_freecomm,avg_stake_non_freecomm,p25_stake,p50_stake,p75_stake,p90_stake,p95_stake,p99_stake,p50_valid_bet,p50_profit,p95_over_p50,p99_over_p50,avg_over_p50,common_table_count,common_dealer_count,common_ip_count,common_product_count,share_freecomm,hold_rate,hold_rate_freecomm,rebate_rate_actual,rebate_pct_config,turnover_multiple,free_comm_rate,roi_delta_freecomm,first_seen,last_seen,active_days,active_shoes,active_sessions,span_days,persistence,ramp_freecomm,ramp_recent,stake_ramp,vip_tier,economic_value,risk_value,pr_stake,action_priority,audit_rn,batch_id
Bear8,1,0,0,0,1,1,100.000000,10.00,◐ 有净输赢为零者 —— 系 push 抑或取消单，二者同形，须再拆（★ 本件答不了）,10.0000,10.0000,0.0000,1,1,0E-8,,0E-8,0E-8,0.0000,10.0000,THIN_EXPOSURE,0.0000,0.0000,3.0000,97.0000,AG03-B-v1,0.0000,9.7000,0.0000,0.0000,0.0000,0E-8,0E-8,0E-8,10.0000,10.0000,0.0000,0.0000,0.0000,10.0000,1.0000,,10.0000,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,1.0,1.0,1.0,1,1,1,1,0E-8,0E-8,,0E-8,0.000000,1.000000,0.000000,,2026-07-20,2026-07-20,1,1,1,1,1.000000,,1.000000,3.333333,2,0.7272727272727273,0.7272727272727273,0.0,Z 证据不足 · 不动作,1,1
Lucky7TwoCard,1,0,0,0,1,1,100.000000,10.00,◐ 有净输赢为零者 —— 系 push 抑或取消单，二者同形，须再拆（★ 本件答不了）,10.0000,10.0000,0.0000,1,1,0E-8,,0E-8,0E-8,0.0000,10.0000,THIN_EXPOSURE,0.0000,0.0000,3.0000,97.0000,AG03-B-v1,0.0000,9.7000,0.0000,0.0000,0.0000,0E-8,0E-8,0E-8,10.0000,10.0000,0.0000,0.0000,0.0000,10.0000,1.0000,,10.0000,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,1.0,1.0,1.0,1,1,1,1,0E-8,0E-8,,0E-8,0.000000,1.000000,0.000000,,2026-07-20,2026-07-20,1,1,1,1,1.000000,,1.000000,3.333333,1,0.7272727272727273,0.7272727272727273,0.0,Z 证据不足 · 不动作,2,1
SmallTiger,1,0,0,0,1,1,100.000000,10.00,◐ 有净输赢为零者 —— 系 push 抑或取消单，二者同形，须再拆（★ 本件答不了）,10.0000,10.0000,0.0000,1,1,0E-8,,0E-8,0E-8,0.0000,10.0000,THIN_EXPOSURE,0.0000,0.0000,3.0000,97.0000,AG03-B-v1,0.0000,9.7000,0.0000,0.0000,0.0000,0E-8,0E-8,0E-8,10.0000,10.0000,0.0000,0.0000,0.0000,10.0000,1.0000,,10.0000,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,1.0,1.0,1.0,1,1,1,1,0E-8,0E-8,,0E-8,0.000000,1.000000,0.000000,,2026-07-20,2026-07-20,1,1,1,1,1.000000,,1.000000,3.333333,1,0.7272727272727273,0.7272727272727273,0.0,Z 证据不足 · 不动作,3,1
SuperTie4,1,0,0,0,1,1,100.000000,10.00,◐ 有净输赢为零者 —— 系 push 抑或取消单，二者同形，须再拆（★ 本件答不了）,10.0000,10.0000,0.0000,1,1,0E-8,,0E-8,0E-8,0.0000,10.0000,THIN_EXPOSURE,0.0000,0.0000,3.0000,97.0000,AG03-B-v1,0.0000,9.7000,0.0000,0.0000,0.0000,0E-8,0E-8,0E-8,10.0000,10.0000,0.0000,0.0000,0.0000,10.0000,1.0000,,10.0000,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,1.0,1.0,1.0,1,1,1,1,0E-8,0E-8,,0E-8,0.000000,1.000000,0.000000,,2026-07-20,2026-07-20,1,1,1,1,1.000000,,1.000000,3.333333,1,0.7272727272727273,0.7272727272727273,0.0,Z 证据不足 · 不动作,4,1
SuperTie5,1,0,0,0,1,1,100.000000,10.00,◐ 有净输赢为零者 —— 系 push 抑或取消单，二者同形，须再拆（★ 本件答不了）,10.0000,10.0000,0.0000,1,1,0E-8,,0E-8,0E-8,0.0000,10.0000,THIN_EXPOSURE,0.0000,0.0000,3.0000,97.0000,AG03-B-v1,0.0000,9.7000,0.0000,0.0000,0.0000,0E-8,0E-8,0E-8,10.0000,10.0000,0.0000,0.0000,0.0000,10.0000,1.0000,,10.0000,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,1.0,1.0,1.0,1,1,1,1,0E-8,0E-8,,0E-8,0.000000,1.000000,0.000000,,2026-07-20,2026-07-20,1,1,1,1,1.000000,,1.000000,3.333333,2,0.7272727272727273,0.7272727272727273,0.0,Z 证据不足 · 不动作,5,1
SuperTie8,1,0,0,0,1,1,100.000000,10.00,◐ 有净输赢为零者 —— 系 push 抑或取消单，二者同形，须再拆（★ 本件答不了）,10.0000,10.0000,0.0000,1,1,0E-8,,0E-8,0E-8,0.0000,10.0000,THIN_EXPOSURE,0.0000,0.0000,3.0000,97.0000,AG03-B-v1,0.0000,9.7000,0.0000,0.0000,0.0000,0E-8,0E-8,0E-8,10.0000,10.0000,0.0000,0.0000,0.0000,10.0000,1.0000,,10.0000,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,1.0,1.0,1.0,1,1,1,1,0E-8,0E-8,,0E-8,0.000000,1.000000,0.000000,,2026-07-20,2026-07-20,1,1,1,1,1.000000,,1.000000,3.333333,1,0.7272727272727273,0.7272727272727273,0.0,Z 证据不足 · 不动作,6,1
SuperTie9,1,0,0,0,1,1,100.000000,10.00,◐ 有净输赢为零者 —— 系 push 抑或取消单，二者同形，须再拆（★ 本件答不了）,10.0000,10.0000,0.0000,1,1,0E-8,,0E-8,0E-8,0.0000,10.0000,THIN_EXPOSURE,0.0000,0.0000,3.0000,97.0000,AG03-B-v1,0.0000,9.7000,0.0000,0.0000,0.0000,0E-8,0E-8,0E-8,10.0000,10.0000,0.0000,0.0000,0.0000,10.0000,1.0000,,10.0000,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,1.0,1.0,1.0,1,1,1,1,0E-8,0E-8,,0E-8,0.000000,1.000000,0.000000,,2026-07-20,2026-07-20,1,1,1,1,1.000000,,1.000000,3.333333,1,0.7272727272727273,0.7272727272727273,0.0,Z 证据不足 · 不动作,7,1
Small,22986,0,0,0,1,1,0.004351,15196355.00,◐ 有净输赢为零者 —— 系 push 抑或取消单，二者同形，须再拆（★ 本件答不了）,2323498.3572,2323498.3572,97211.4463,22986,22663,-0.04183840,-0.05784708,-0.04145755,-0.04995310,-97211.4463,2323498.3572,OK,18854.5024,4778.9440,3.7306,96.2694,AG03-B-v1,92432.5023,2213171.2999,78356.9440,73577.9999,-14075.5583,0.03372369,0.03166690,-0.00605792,101.0832,102.5239,4.2894,699.3629,12.8536,16715.8155,163.0432,34.7882,105.8835,2.2009,6.2158,19.4645,108.2584,215.3038,1354.5695,6.2158,-2.1006,34.63812,217.923431,16.262287,30,253,1660,1,0.02323705,0.04183840,0.05784708,0.00811470,0.087975,1.000000,0.067519,-0.01638953,2026-03-21,2026-08-06,139,7563,2807,139,1.000000,0.328551,0.188046,0.079191,3,0.6818181818181818,0.5909090909090909,0.45454545454545453,E 常规,8,1
AnyPair,154078,0,0,0,2,2,0.001298,545286369.00,◐ 有净输赢为零者 —— 系 push 抑或取消单，二者同形，须再拆（★ 本件答不了）,1633866.7781,1633866.7781,269057.6269,154075,148889,-0.16467538,-0.26472514,-0.15322242,-0.16487001,-269057.6269,1633866.7781,OK,318.0058,10821.7255,4.0308,95.9692,AG03-B-v1,258235.9014,1569036.7267,268739.6211,257917.8956,10503.7197,0.16448074,0.15785736,0.00642875,10.6044,10.9737,1.8071,1935.6664,7.4053,11754.4373,1071.1439,13.4397,10.3543,2.5716,5.1431,10.4704,21.5304,39.2639,100.0,5.1431,-4.0878,7.634282,19.4435,2.061859,30,283,8531,1,0.10271460,0.16467538,0.26472514,0.00019463,0.042946,1.000000,0.081045,-0.11150272,2026-03-21,2026-08-06,139,36333,3972,139,1.000000,1.297986,1.258106,0.745596,2,0.6363636363636364,0.18181818181818182,0.3181818181818182,E 常规,9,1
BankerNatural,62174,0,0,0,1159,1159,1.864123,21859428.00,◐ 有净输赢为零者 —— 系 push 抑或取消单，二者同形，须再拆（★ 本件答不了）,1854505.2891,1823643.0198,299561.4109,62174,60871,-0.16153171,-0.18218077,-0.15691060,-0.16182051,-299561.4109,1854505.2891,OK,535.5865,11001.1169,4.1336,95.8664,AG03-B-v1,288560.2940,1747420.8055,299025.8244,288024.7075,10465.5304,0.16124291,0.15531080,0.00564330,29.8277,29.9591,4.9213,2155.1181,14.3037,13341.7647,437.9209,32.6024,29.2702,3.927,10.0,26.176,68.3995,135.318,257.0829,10.0,-5.2706,13.531799,25.708295,2.982767,30,281,5929,1,0.18286820,0.16153171,0.18218077,0.00029369,0.074927,0.983358,0.167305,-0.02527017,2026-03-21,2026-08-06,139,20943,3746,139,1.000000,1.113843,0.767259,0.548824,2,0.5909090909090909,0.22727272727272727,0.4090909090909091,E 常规,10,1
