bet_date,n_rounds,vb_tail,vb_norm,roi_tail,roi_norm,roi_diff,stake,valid_bet,profit,n_bets,n_rounds_xagg,roi,roi_recent,roi_non_recent,roi_ex_rebate,roi_numerator,roi_denominator,roi_denominator_status,rebate_cost,agent_cost,agent_pct,company_retain_pct,agent_formula_version,agent_cost_a_legacy,agent_cost_valid_base_legacy,ngr,net_margin,net_margin_a_legacy,ngr_rate,net_margin_rate,net_margin_a_rate_legacy,avg_stake_per_bet,avg_valid_bet_per_round,avg_profit_per_round,avg_profit_per_day,avg_profit_per_shoe,avg_stake_per_active_day,avg_rounds_per_active_day,avg_stake_recent,avg_stake_non_recent,p25_stake,p50_stake,p75_stake,p90_stake,p95_stake,p99_stake,p50_valid_bet,p50_profit,p95_over_p50,p99_over_p50,avg_over_p50,common_table_count,common_dealer_count,common_ip_count,common_product_count,share_recent,hold_rate,hold_rate_recent,rebate_rate_actual,rebate_pct_config,turnover_multiple,free_comm_rate,roi_delta_recent,first_seen,last_seen,active_days,active_shoes,active_sessions,span_days,persistence,ramp_recent_vs_prior,ramp_recent_vs_all,stake_ramp,vip_tier,economic_value,risk_value,pr_stake,action_priority,audit_rn,batch_id
2026-07-22,27072,0E-10,64753919.5708465348,,0.004402904748,,96695972.5983,87297772.9638,-195720.0326,903350,45406,0.00202408,0.00202408,,0.00125732,195720.0326,96695972.5983,OK,74141.8632,997.3196,3.9888,96.0112,AG03-B-v1,-196717.3522,83739721.1907,-269861.8957,-270859.2153,-73144.5436,-0.00279083,-0.00280114,-0.00075644,107.0415,1922.6043,-4.3104,-195720.0326,-203.4512,96695972.5983,45406.0000,107.0415,,5.0,14.3073,51.6356,180.7244,339.9127,1663.6167,12.2634,-2.0439,23.757956,116.277299,7.481592,29,119,23271,16,1.00000000,-0.00202408,-0.00202408,0.00084930,0.046127,0.902807,0.081065,,2026-07-22,2026-07-22,1,962,29,1,1.000000,,1.000000,3.333333,3,1.0,1.0,0.5109489051094891,A 平台净亏首位 · 立即处置,1,1
2026-04-20,38078,0E-10,64161190.6363244703,,0.000246681462,,71464121.4173,64161190.6363,-57326.7295,731013,38078,0.00080217,,0.00080217,0.00022147,57326.7295,71464121.4173,OK,41499.3532,1547.1899,3.9757,96.0243,AG03-B-v1,-58873.9194,61580019.4405,-98826.0826,-100373.2725,-39952.1633,-0.00138288,-0.00140453,-0.00055905,97.7604,1684.9937,-1.5055,-57326.7295,-72.0185,71464121.4173,38078.0000,,97.7604,5.2352,16.4199,52.3519,170.2707,306.8259,1308.7977,13.088,-2.1923,18.68621,79.707979,5.953772,29,113,21178,16,0E-8,-0.00080217,,0.00064680,0.031018,0.897810,0.071982,,2026-04-20,2026-04-20,1,796,29,1,1.000000,,,0.000000,1,0.9927007299270073,0.9927007299270073,0.0072992700729927005,A 平台净亏首位 · 立即处置,2,1
2026-05-25,25927,0E-10,61749737.0832078088,,-0.009120324691,,88122790.2977,78937341.8777,105911.0562,679608,40005,-0.00120186,,-0.00120186,-0.00194396,-105911.0562,88122790.2977,OK,65395.7502,5542.6698,4.0460,95.9540,AG03-B-v1,100368.3865,75678468.7550,40515.3060,34972.6363,-59853.0804,0.00045976,0.00039686,-0.00067920,129.6671,1973.1869,2.6474,105911.0562,121.8769,88122790.2977,40005.0000,,129.6671,5.1891,14.4238,51.8914,181.6201,389.1858,1722.6528,12.6037,-2.132,26.982241,119.431469,8.989815,29,112,21072,16,0E-8,0.00120186,,0.00082845,0.050141,0.895765,0.073871,,2026-05-25,2026-05-25,1,869,29,1,1.000000,,,0.000000,2,0.9854014598540146,0.9854014598540146,0.24817518248175183,A 平台净亏首位 · 立即处置,3,1
2026-07-25,27502,0E-10,67658993.5975133764,,-0.004332779414,,108665689.8437,98202254.1762,167869.6476,897717,45462,-0.00154483,-0.00154483,,-0.00203078,-167869.6476,108665689.8437,OK,52806.7095,29597.4497,3.9992,96.0008,AG03-B-v1,138272.1979,94241257.3626,115062.9381,85465.4884,-23209.2598,0.00105887,0.00078650,-0.00021358,121.0467,2160.0953,3.6925,167869.6476,175.7797,108665689.8437,45462.0000,121.0467,,5.1098,15.4907,51.6356,173.2652,339.6739,1663.6167,12.9089,-2.0439,21.927649,107.394773,7.81417,29,125,23990,16,1.00000000,0.00154483,0.00154483,0.00053773,0.037910,0.903710,0.072191,,2026-07-25,2026-07-25,1,955,29,1,1.000000,,1.000000,3.333333,5,0.9781021897810219,0.9781021897810219,0.8102189781021898,A 平台净亏首位 · 立即处置,4,1
2026-06-30,27077,0E-10,75802643.4570480290,,-0.013036165873,,118246198.8402,106391133.7023,632521.1339,969742,45198,-0.00534919,,-0.00534919,-0.00603739,-632521.1339,118246198.8402,OK,81376.8663,22886.4897,4.0203,95.9797,AG03-B-v1,609634.6443,102056134.5974,551144.2677,528257.7780,-58490.3766,0.00466099,0.00446744,-0.00049465,121.9357,2353.8903,13.9944,632521.1339,664.4130,118246198.8402,45198.0000,,121.9357,5.1431,18.0056,61.3171,200.0,385.7343,1704.1582,12.9088,-2.5716,21.423038,94.646101,6.772107,29,130,26759,16,0E-8,0.00534919,,0.00076488,0.054809,0.899743,0.086885,,2026-06-30,2026-06-30,1,952,29,1,1.000000,,,0.000000,5,0.9708029197080292,0.9708029197080292,0.9197080291970803,A 平台净亏首位 · 立即处置,5,1
2026-06-09,30508,0E-10,72720139.8886585437,,-0.004004289298,,95686553.1106,86056396.3031,626692.3928,895804,45827,-0.00654943,,-0.00654943,-0.00727750,-626692.3928,95686553.1106,OK,69666.7270,26348.8763,3.9958,96.0042,AG03-B-v1,600343.5166,82506289.9456,557025.6658,530676.7895,-43317.8508,0.00582136,0.00554599,-0.00045271,106.8164,1877.8536,13.6752,626692.3928,658.2903,95686553.1106,45827.0000,,106.8164,5.1431,18.0009,58.1601,180.0087,359.754,1542.9321,12.8578,-2.5716,19.985363,85.714292,5.933956,29,109,27262,16,0E-8,0.00654943,,0.00080955,0.046079,0.899357,0.077010,,2026-06-09,2026-06-09,1,952,29,1,1.000000,,,0.000000,3,0.9635036496350365,0.9635036496350365,0.48175182481751827,A 平台净亏首位 · 立即处置,6,1
2026-07-26,25210,0E-10,50082834.7924738232,,-0.017748075640,,74191842.0369,66749549.5943,689417.0974,741266,41136,-0.00929236,-0.00929236,,-0.01007504,-689417.0974,74191842.0369,OK,58068.3617,28047.2033,3.9946,96.0054,AG03-B-v1,661369.8941,64044868.9396,631348.7357,603301.5324,-30021.1584,0.00850968,0.00813164,-0.00040464,100.0880,1622.6553,16.7595,689417.0974,791.5236,74191842.0369,41136.0000,100.0880,,4.6693,14.3073,51.6356,154.9091,300.0,1349.9309,11.3709,-2.0439,20.968285,94.352455,6.99558,29,113,20212,16,1.00000000,0.00929236,0.00929236,0.00086994,0.041554,0.899689,0.074815,,2026-07-26,2026-07-26,1,871,29,1,1.000000,,1.000000,3.333333,1,0.9562043795620438,0.9124087591240876,0.021897810218978103,A 平台净亏首位 · 立即处置,7,1
2026-04-12,41130,0E-10,75224728.3105989299,,-0.009980517010,,82792380.4398,75231795.8184,716126.1515,913271,41130,-0.00864966,,-0.00864966,-0.00906730,-716126.1515,82792380.4398,OK,34577.0011,32970.9886,3.9993,96.0007,AG03-B-v1,683155.1629,72199075.1154,681549.1504,648578.1618,-1606.0126,0.00823203,0.00783379,-0.00001940,90.6548,1829.1222,17.4113,716126.1515,842.5014,82792380.4398,41130.0000,,90.6548,4.2165,13.088,52.3519,157.0557,271.6566,1047.0382,10.5412,-2.1082,20.756195,80.000001,6.926569,29,113,24689,16,0E-8,0.00864966,,0.00045961,0.031928,0.908680,0.073911,,2026-04-12,2026-04-12,1,850,29,1,1.000000,,,0.000000,1,0.948905109489051,0.9416058394160584,0.13138686131386862,A 平台净亏首位 · 立即处置,8,1
2026-04-21,45112,0E-10,92126082.7027528579,,-0.009364248409,,102445102.8748,92126093.2439,789858.3436,984610,45112,-0.00771006,,-0.00771006,-0.00842091,-789858.3436,102445102.8748,OK,72822.6386,32757.1540,3.9677,96.0323,AG03-B-v1,757101.1896,88393441.9272,717035.7049,684278.5509,-40065.4846,0.00699922,0.00667947,-0.00039109,104.0464,2042.1638,17.5088,789858.3436,843.8658,102445102.8748,45112.0000,,104.0464,5.2352,14.7577,52.3519,183.2317,351.7721,1722.0742,13.088,-2.1545,23.836578,116.69021,7.050331,29,117,28747,16,0E-8,0.00771006,,0.00079047,0.031870,0.899273,0.067335,,2026-04-21,2026-04-21,1,936,29,1,1.000000,,,0.000000,4,0.9416058394160584,0.948905109489051,0.656934306569343,A 平台净亏首位 · 立即处置,9,1
2026-04-10,45195,0E-10,107782774.9432179638,,-0.007752329629,,119170468.9707,107785226.2206,793139.5841,1169758,45195,-0.00665550,,-0.00665550,-0.00701855,-793139.5841,119170468.9707,OK,43263.9750,31654.7238,4.0168,95.9832,AG03-B-v1,761484.8603,103429649.5886,749875.6091,718220.8853,-11609.2513,0.00629246,0.00602684,-0.00009742,101.8762,2384.8927,17.5493,793139.5841,857.4482,119170468.9707,45195.0000,,101.8762,5.2352,13.088,52.3519,162.3116,279.22,1308.6863,10.7611,-2.6176,21.334086,99.991484,7.783951,29,118,32588,16,0E-8,0.00665550,,0.00040139,0.036177,0.904463,0.067744,,2026-04-10,2026-04-10,1,925,29,1,1.000000,,,0.000000,5,0.9343065693430657,0.9562043795620438,0.9416058394160584,A 平台净亏首位 · 立即处置,10,1
2026-05-24,25797,0E-10,61178360.0299780500,,-0.019380250962,,87902401.1077,79709536.1570,797837.0423,714069,40828,-0.00907640,,-0.00907640,-0.00956062,-797837.0423,87902401.1077,OK,42564.1359,35732.2218,4.0279,95.9721,AG03-B-v1,762104.8205,76409238.8685,755272.9064,719540.6846,-6831.9141,0.00859218,0.00818568,-0.00007772,123.1007,1952.3253,19.5414,797837.0423,917.0541,87902401.1077,40828.0000,,123.1007,5.1891,15.2947,52.5155,200.0,420.1239,1945.9467,12.9729,-2.1006,27.468653,127.230394,8.048603,29,106,20324,16,0E-8,0.00907640,,0.00053399,0.041940,0.906796,0.074984,,2026-05-24,2026-05-24,1,870,29,1,1.000000,,,0.000000,2,0.927007299270073,0.9197080291970803,0.24087591240875914,A 平台净亏首位 · 立即处置,11,1
2026-05-27,29385,0E-10,62378066.8780734694,,-0.006488319690,,85444974.2700,77079332.5923,846838.4285,818205,45254,-0.00991092,,-0.00991092,-0.01021113,-846838.4285,85444974.2700,OK,25651.3524,39305.3958,4.0020,95.9980,AG03-B-v1,807533.0327,73988606.2252,821187.0761,781881.6803,13654.0434,0.00961071,0.00915070,0.00015980,104.4298,1703.2601,18.7130,846838.4285,894.2328,85444974.2700,45254.0000,,104.4298,4.4763,14.7043,51.8914,172.2653,333.3034,1402.4266,12.6037,-2.1006,22.667012,95.375027,7.101971,29,116,23222,16,0E-8,0.00991092,,0.00033279,0.037023,0.902093,0.070897,,2026-05-27,2026-05-27,1,947,29,1,1.000000,,,0.000000,1,0.9197080291970803,0.8832116788321168,0.1897810218978102,A 平台净亏首位 · 立即处置,12,1
2026-07-19,25151,0E-10,56375346.8009617048,,-0.013382911914,,81610818.1509,73324017.3730,870308.2275,791417,41441,-0.01066413,-0.01066413,,-0.01130328,-870308.2275,81610818.1509,OK,52161.8877,35058.5142,3.9744,96.0256,AG03-B-v1,835249.7133,70365851.7287,818146.3398,783087.8256,-17103.3735,0.01002497,0.00959539,-0.00020957,103.1199,1769.3593,21.0011,870308.2275,1001.5054,81610818.1509,41441.0000,103.1199,,5.1636,16.6493,55.2058,200.0,371.7834,1500.0,12.9089,-2.0439,22.330265,90.093839,6.193643,29,118,21871,16,1.00000000,0.01066413,0.01066413,0.00071139,0.037842,0.898460,0.074114,,2026-07-19,2026-07-19,1,869,29,1,1.000000,,1.000000,3.333333,1,0.9124087591240876,0.8540145985401459,0.10218978102189781,A 平台净亏首位 · 立即处置,13,1
2026-04-02,43197,0E-10,88945339.4583273402,,-0.011221851384,,98301017.2051,89036065.2309,884940.0103,1035827,43198,-0.00900235,,-0.00900235,-0.00945081,-884940.0103,98301017.2051,OK,44084.2323,39231.2144,3.9873,96.0127,AG03-B-v1,845708.7958,85446363.5511,840855.7780,801624.5636,-4853.0178,0.00855389,0.00815479,-0.00004937,94.9010,2061.1155,20.4857,884940.0103,984.3604,98301017.2051,43198.0000,,94.9010,5.0,13.8924,52.3519,164.7606,340.5415,1308.7977,12.6494,-2.6176,24.512771,94.209551,6.83114,29,116,28347,16,0E-8,0.00900235,,0.00049513,0.032783,0.905749,0.081488,,2026-04-02,2026-04-02,1,899,29,1,1.000000,,,0.000000,3,0.9051094890510949,0.927007299270073,0.5474452554744526,A 平台净亏首位 · 立即处置,14,1
2026-03-29,40755,0E-10,72077658.4419316356,,-0.012626354729,,80056840.5609,72085880.5435,878039.4687,809288,40755,-0.01096770,,-0.01096770,-0.01143338,-878039.4687,80056840.5609,OK,37280.7503,37485.4263,4.0177,95.9823,AG03-B-v1,840554.0424,69146111.1195,840758.7184,803273.2921,204.6760,0.01050202,0.01003379,0.00000256,98.9226,1768.7616,21.5443,878039.4687,1036.6464,80056840.5609,40755.0000,,98.9226,5.0028,15.2832,52.6635,175.3309,342.9355,1325.9963,13.1659,-2.2009,22.438726,86.761699,6.472634,29,110,21741,16,0E-8,0.01096770,,0.00051717,0.032491,0.900434,0.075510,,2026-03-29,2026-03-29,1,847,29,1,1.000000,,,0.000000,1,0.8978102189781022,0.8394160583941606,0.08029197080291971,E 常规,15,1
