bet_ip,m_a,m_b,n_same_round,n_opposite_round,opposite_rate,hedge_coverage,stake,valid_bet,profit,n_bets,n_rounds,roi,roi_hedge,roi_non_hedge,roi_ex_rebate,roi_numerator,roi_denominator,roi_denominator_status,rebate_cost,agent_cost,agent_pct,company_retain_pct,agent_formula_version,agent_cost_a_legacy,agent_cost_valid_base_legacy,ngr,net_margin,net_margin_a_legacy,ngr_rate,net_margin_rate,net_margin_a_rate_legacy,avg_stake_per_bet,avg_valid_bet_per_round,avg_profit_per_round,avg_profit_per_day,avg_profit_per_shoe,avg_stake_per_active_day,avg_rounds_per_active_day,avg_stake_hedge,avg_stake_non_hedge,p25_stake,p50_stake,p75_stake,p90_stake,p95_stake,p99_stake,p50_valid_bet,p50_profit,p95_over_p50,p99_over_p50,avg_over_p50,common_table_count,common_dealer_count,common_ip_count,common_product_count,share_hedge,hold_rate,hold_rate_hedge,rebate_rate_actual,rebate_pct_config,turnover_multiple,free_comm_rate,roi_delta_hedge,first_seen,last_seen,active_days,active_shoes,active_sessions,span_days,persistence,ramp_hedge,ramp_recent,stake_ramp,vip_tier,economic_value,risk_value,pr_stake,action_priority,audit_rn,batch_id
160.22.159.12,149039881,149127099,35,11,0.3142857,0E-7,376962.8567,328824.2349,-103414.6947,948,805,0.27433656,0.27432066,0.29999972,0.27433656,103414.6947,376962.8567,OK,0.0000,-4141.3283,3.9515,96.0485,AG03-B-v1,-99273.3664,315705.1398,-103414.6947,-99273.3664,-4141.3283,-0.27433656,-0.26335053,-0.01098604,397.6401,408.4773,-128.4655,-4700.6679,-1276.7246,17134.6753,36.5909,398.6554,77.8371,77.8371,103.7828,209.4076,523.5191,1097.4905,5828.2651,78.5279,0.0,10.574876,56.158284,3.831464,7,53,1,2,0.99938055,-0.27433656,-0.27432066,0E-8,0.000000,0.872299,0.000000,-0.02567906,2026-04-22,2026-05-27,22,81,65,36,0.611111,5.121661,,0.000000,5,1.0,0.9979317476732161,0.8919338159255429,A 平台净亏首位 · 立即处置,1,1
120.38.225.194,148251435,148307050,39,8,0.2051282,0.1250000,3639609.5330,2954546.6538,-50742.2698,9048,3103,0.01394168,0.01368440,0.32142775,0.00663570,50742.2698,3639609.5330,OK,26590.9199,-3044.5362,6.0000,94.0000,AG03-B-v1,-47697.7336,2777273.8545,-77333.1897,-74288.6535,-29635.4561,-0.02124766,-0.02041116,-0.00814248,402.2557,952.1581,-16.3526,-6342.7837,-138.6401,454951.1916,387.8750,402.3196,338.0920,43.9715,87.943,369.3607,1143.2592,1934.7463,4397.1509,43.9715,-43.5758,22.0,50.000001,4.574049,29,99,1,8,0.99916397,-0.01394168,-0.01368440,0.00900000,0.900000,0.811776,0.924072,-0.30774335,2026-04-02,2026-04-09,8,366,147,8,1.000000,1.189971,,0.000000,5,0.999482936918304,0.8764219234746639,0.9281282316442606,A 平台净亏首位 · 立即处置,2,1
172.58.51.105,142903734,142903814,31,3,0.0967742,0E-7,2649898.5115,2405869.4181,-58553.1123,7717,3456,0.02209636,0.02296197,-0.19106692,0.02209636,58553.1123,2649898.5115,OK,0.0000,-2342.1245,4.0000,96.0000,AG03-B-v1,-56210.9878,2309634.6414,-58553.1123,-56210.9878,-2342.1245,-0.02209636,-0.02121251,-0.00088385,343.3845,696.1428,-16.9425,-5855.3112,-66.1617,264989.8512,345.6000,343.8225,261.3948,13.5318,67.659,135.318,1178.6145,2706.3599,3382.95,67.659,-13.5318,40.0,50.000002,5.075224,29,165,1,14,0.99595562,-0.02209636,-0.02296197,0E-8,0.000000,0.907910,0.117274,0.21402889,2026-06-06,2026-06-15,10,885,200,10,1.000000,1.315338,,0.000000,5,0.9989658738366081,0.890382626680455,0.9260599793174767,A 平台净亏首位 · 立即处置,3,1
42.116.54.90,148968780,149046308,42,36,0.8571429,0E-7,263375.2027,234266.7002,-32410.2025,1046,710,0.12305715,0.12305715,,0.12305715,32410.2025,263375.2027,OK,0.0000,-1279.9858,3.9168,96.0832,AG03-B-v1,-31130.2167,224948.2791,-32410.2025,-31130.2167,-1279.9858,-0.12305715,-0.11819722,-0.00485993,251.7927,329.9531,-45.6482,-5401.7004,-611.5133,43895.8671,118.3333,251.7927,,77.8371,103.7829,207.5658,311.3487,648.6431,2599.7664,77.8372,0.0,6.25,25.05005,2.426149,10,41,1,2,1.00000000,-0.12305715,-0.12305715,0E-8,0.000000,0.889479,0.000000,,2026-05-02,2026-05-07,6,53,27,6,1.000000,,,0.000000,5,0.9963805584281282,0.967425025853154,0.8629782833505688,A 平台净亏首位 · 立即处置,4,1
42.116.54.90,149046308,149251902,59,44,0.7457627,0E-7,263375.2027,234266.7002,-32410.2025,1046,710,0.12305715,0.12305715,,0.12305715,32410.2025,263375.2027,OK,0.0000,-1279.9858,3.9168,96.0832,AG03-B-v1,-31130.2167,224948.2791,-32410.2025,-31130.2167,-1279.9858,-0.12305715,-0.11819722,-0.00485993,251.7927,329.9531,-45.6482,-5401.7004,-611.5133,43895.8671,118.3333,251.7927,,77.8371,103.7829,207.5658,311.3487,648.6431,2599.7664,77.8372,0.0,6.25,25.05005,2.426149,10,41,1,2,1.00000000,-0.12305715,-0.12305715,0E-8,0.000000,0.889479,0.000000,,2026-05-02,2026-05-07,6,53,27,6,1.000000,,,0.000000,5,0.9963805584281282,0.967425025853154,0.8629782833505688,A 平台净亏首位 · 立即处置,5,1
42.116.54.90,149046308,149447377,155,117,0.7548387,0E-7,263375.2027,234266.7002,-32410.2025,1046,710,0.12305715,0.12305715,,0.12305715,32410.2025,263375.2027,OK,0.0000,-1279.9858,3.9168,96.0832,AG03-B-v1,-31130.2167,224948.2791,-32410.2025,-31130.2167,-1279.9858,-0.12305715,-0.11819722,-0.00485993,251.7927,329.9531,-45.6482,-5401.7004,-611.5133,43895.8671,118.3333,251.7927,,77.8371,103.7829,207.5658,311.3487,648.6431,2599.7664,77.8372,0.0,6.25,25.05005,2.426149,10,41,1,2,1.00000000,-0.12305715,-0.12305715,0E-8,0.000000,0.889479,0.000000,,2026-05-02,2026-05-07,6,53,27,6,1.000000,,,0.000000,5,0.9963805584281282,0.967425025853154,0.8629782833505688,A 平台净亏首位 · 立即处置,6,1
42.116.54.90,149046308,149622758,75,48,0.6400000,0E-7,263375.2027,234266.7002,-32410.2025,1046,710,0.12305715,0.12305715,,0.12305715,32410.2025,263375.2027,OK,0.0000,-1279.9858,3.9168,96.0832,AG03-B-v1,-31130.2167,224948.2791,-32410.2025,-31130.2167,-1279.9858,-0.12305715,-0.11819722,-0.00485993,251.7927,329.9531,-45.6482,-5401.7004,-611.5133,43895.8671,118.3333,251.7927,,77.8371,103.7829,207.5658,311.3487,648.6431,2599.7664,77.8372,0.0,6.25,25.05005,2.426149,10,41,1,2,1.00000000,-0.12305715,-0.12305715,0E-8,0.000000,0.889479,0.000000,,2026-05-02,2026-05-07,6,53,27,6,1.000000,,,0.000000,5,0.9963805584281282,0.967425025853154,0.8629782833505688,A 平台净亏首位 · 立即处置,7,1
42.116.54.90,149251902,149447377,34,0,0E-7,,263375.2027,234266.7002,-32410.2025,1046,710,0.12305715,0.12305715,,0.12305715,32410.2025,263375.2027,OK,0.0000,-1279.9858,3.9168,96.0832,AG03-B-v1,-31130.2167,224948.2791,-32410.2025,-31130.2167,-1279.9858,-0.12305715,-0.11819722,-0.00485993,251.7927,329.9531,-45.6482,-5401.7004,-611.5133,43895.8671,118.3333,251.7927,,77.8371,103.7829,207.5658,311.3487,648.6431,2599.7664,77.8372,0.0,6.25,25.05005,2.426149,10,41,1,2,1.00000000,-0.12305715,-0.12305715,0E-8,0.000000,0.889479,0.000000,,2026-05-02,2026-05-07,6,53,27,6,1.000000,,,0.000000,5,0.9963805584281282,0.967425025853154,0.8629782833505688,A 平台净亏首位 · 立即处置,8,1
42.118.225.67,130568626,149046308,276,207,0.7500000,0E-7,218616.2857,201339.5102,-28156.0139,1207,852,0.12879193,0.12879193,,0.12879193,28156.0139,218616.2857,OK,0.0000,-1117.3416,3.8716,96.1284,AG03-B-v1,-27038.6723,193383.2916,-28156.0139,-27038.6723,-1117.3416,-0.12879193,-0.12368096,-0.00511097,181.1237,236.3140,-33.0470,-2559.6376,-433.1694,19874.2078,77.4545,181.1237,,52.3519,78.5279,183.2317,235.5836,407.6908,1687.8665,78.5279,0.0,5.191671,21.493855,2.306489,8,48,1,2,1.00000000,-0.12879193,-0.12879193,0E-8,0.000000,0.920972,0.000000,,2026-04-20,2026-05-02,11,65,39,13,0.846154,,,0.000000,5,0.9948293691830403,0.9710444674250258,0.8583247156153051,A 平台净亏首位 · 立即处置,9,1
42.118.225.67,130568626,149251902,48,21,0.4375000,0E-7,218616.2857,201339.5102,-28156.0139,1207,852,0.12879193,0.12879193,,0.12879193,28156.0139,218616.2857,OK,0.0000,-1117.3416,3.8716,96.1284,AG03-B-v1,-27038.6723,193383.2916,-28156.0139,-27038.6723,-1117.3416,-0.12879193,-0.12368096,-0.00511097,181.1237,236.3140,-33.0470,-2559.6376,-433.1694,19874.2078,77.4545,181.1237,,52.3519,78.5279,183.2317,235.5836,407.6908,1687.8665,78.5279,0.0,5.191671,21.493855,2.306489,8,48,1,2,1.00000000,-0.12879193,-0.12879193,0E-8,0.000000,0.920972,0.000000,,2026-04-20,2026-05-02,11,65,39,13,0.846154,,,0.000000,5,0.9948293691830403,0.9710444674250258,0.8583247156153051,A 平台净亏首位 · 立即处置,10,1
