dealer_id,平均每局秒数,局速,stake,valid_bet,profit,n_bets,n_rounds,roi,roi_recent,roi_non_recent,roi_ex_rebate,roi_numerator,roi_denominator,roi_denominator_status,rebate_cost,agent_cost,agent_pct,company_retain_pct,agent_formula_version,agent_cost_a_legacy,agent_cost_valid_base_legacy,ngr,net_margin,net_margin_a_legacy,ngr_rate,net_margin_rate,net_margin_a_rate_legacy,avg_stake_per_bet,avg_valid_bet_per_round,avg_profit_per_round,avg_profit_per_day,avg_profit_per_shoe,avg_stake_per_active_day,avg_rounds_per_active_day,avg_stake_recent,avg_stake_non_recent,p25_stake,p50_stake,p75_stake,p90_stake,p95_stake,p99_stake,p50_valid_bet,p50_profit,p95_over_p50,p99_over_p50,avg_over_p50,common_table_count,common_dealer_count,common_ip_count,common_product_count,share_recent,hold_rate,hold_rate_recent,rebate_rate_actual,rebate_pct_config,turnover_multiple,free_comm_rate,roi_delta_recent,first_seen,last_seen,active_days,active_shoes,active_sessions,span_days,persistence,ramp_recent_vs_prior,ramp_recent_vs_all,stake_ramp,vip_tier,economic_value,risk_value,pr_stake,action_priority,audit_rn,batch_id
2154,42.554083133123996,84.59822736017942,3506005.0527,3026669.3531,-118781.0043,30416,1567,0.03387930,0.05604855,0.02903018,0.03338966,118781.0043,3506005.0527,OK,1716.6941,-6017.0652,3.9925,96.0075,AG03-B-v1,-112763.9391,2899650.9261,-120497.6984,-114480.6332,-7733.7593,-0.03436895,-0.03265273,-0.00220586,115.2684,1931.5056,-75.8015,-11878.1004,-1224.5464,350600.5053,156.7000,94.3248,121.1524,5.0,14.54,51.8914,161.6528,341.9973,1745.8101,10.5031,-2.1006,23.521105,120.069334,7.92767,6,1,5968,16,0.17947506,-0.03387930,-0.05604855,0.00056719,0.033844,0.863282,0.078084,0.02701837,2026-05-05,2026-08-05,10,97,19,93,0.107527,0.778563,0.818305,0.598250,2,0.9664429530201343,0.9362416107382551,0.3724832214765101,A 平台净亏首位 · 立即处置,11,1
2075,41.805675660418636,86.11270941396262,3959354.4730,3489733.6979,-115646.7534,28845,1594,0.02920849,0.02435960,0.03049666,0.02876536,115646.7534,3959354.4730,OK,1754.4945,-5295.5406,4.0066,95.9934,AG03-B-v1,-110351.2127,3347740.8354,-117401.2479,-112105.7072,-7050.0351,-0.02965161,-0.02831414,-0.00178060,137.2631,2189.2934,-72.5513,-16520.9648,-1168.1490,565622.0676,227.7143,98.6200,153.2121,5.1636,16.8175,61.3171,204.3903,433.163,1806.5333,12.9089,-2.1082,25.756605,107.419538,8.161898,4,1,5509,16,0.20990049,-0.02920849,-0.02435960,0.00050276,0.045075,0.881390,0.076443,-0.00613706,2026-03-25,2026-07-17,7,99,11,115,0.060870,0.643683,0.718474,0.699668,3,0.9630872483221476,0.9228187919463087,0.40604026845637586,A 平台净亏首位 · 立即处置,12,1
2105,44.93436417160268,80.11685636079622,4254671.9300,3708235.4728,-109756.5751,36404,1892,0.02579672,-0.04279857,0.02864352,0.02538270,109756.5751,4254671.9300,OK,1761.5179,-4201.2076,4.0208,95.9792,AG03-B-v1,-105555.3675,3557917.3158,-111518.0930,-107316.8854,-5962.7255,-0.02621074,-0.02522330,-0.00140145,116.8737,1959.9553,-58.0109,-8442.8135,-892.3299,327282.4562,145.5385,90.7595,118.2862,5.1636,18.9758,60.0,204.3903,392.9929,1316.5863,13.088,-2.1049,20.710209,69.382375,6.159094,6,1,7823,16,0.03984767,-0.02579672,0.04279857,0.00047503,0.044234,0.871568,0.098780,-0.07144209,2026-03-28,2026-07-21,13,123,20,116,0.112069,0.767287,0.776560,0.132826,3,0.959731543624161,0.9060402684563759,0.4429530201342282,A 平台净亏首位 · 立即处置,13,1
2191,43.55401449042711,82.6559857252942,1632939.0757,1480924.7674,-108076.2958,16764,868,0.06618514,-0.04545004,0.09943293,0.06513217,108076.2958,1632939.0757,OK,1719.4345,-4672.8693,3.9763,96.0237,AG03-B-v1,-103403.4266,1419350.6340,-109795.7303,-105122.8610,-6392.3037,-0.06723811,-0.06437647,-0.00391460,97.4075,1706.1345,-124.5119,-12008.4773,-1929.9339,181437.6751,96.4444,119.1123,92.3933,4.6719,14.7577,51.6778,175.886,320.5077,1337.5913,12.2634,-2.1082,21.718061,90.637099,6.60047,5,1,3554,15,0.22948036,-0.06618514,0.04545004,0.00116105,0.039955,0.906908,0.084944,-0.14488298,2026-04-08,2026-08-05,9,56,11,120,0.075000,1.289188,1.222825,0.764935,1,0.9563758389261745,0.9765100671140939,0.14429530201342283,A 平台净亏首位 · 立即处置,14,1
1110,43.81776655434848,82.15845496220838,4932014.1769,4597803.8770,-103710.4002,39046,1929,0.02102800,-0.04765386,0.02508885,0.02039083,103710.4002,4932014.1769,OK,3142.5495,-4067.2530,4.0188,95.9812,AG03-B-v1,-99643.1472,4410381.1747,-106852.9497,-102785.6967,-7209.8025,-0.02166517,-0.02084051,-0.00146184,126.3129,2383.5168,-53.7638,-9428.2182,-864.2533,448364.9252,175.3636,116.7636,126.9267,5.1891,18.4168,62.3144,204.3903,421.6474,1704.1582,14.0218,-2.2912,22.894698,92.532742,6.858565,5,1,7894,16,0.05582476,-0.02102800,0.04765386,0.00068349,0.054057,0.932237,0.099140,-0.07274271,2026-04-26,2026-07-23,11,120,20,89,0.123596,0.919929,0.924399,0.186083,3,0.9530201342281879,0.8825503355704698,0.4697986577181208,A 平台净亏首位 · 立即处置,15,1
1301,27.673466223320254,130.08851045071842,3474217.7767,3064244.1287,-100650.7781,37049,1700,0.02897077,0.17642188,-0.06456347,0.02839411,100650.7781,3474217.7767,OK,2003.4487,-1403.2273,4.0335,95.9665,AG03-B-v1,-99247.5508,2942305.0164,-102654.2268,-101250.9995,-3406.6760,-0.02954744,-0.02914354,-0.00098056,93.7736,1802.4965,-59.2063,-12581.3473,-1094.0302,434277.2221,212.5000,102.6301,88.9068,4.4018,13.166,51.3703,145.834,300.0,1285.7767,11.8775,-2.0838,22.786047,97.659232,7.122432,5,1,6423,16,0.38813249,-0.02897077,-0.17642188,0.00065381,0.042241,0.881995,0.078005,0.24098534,2026-03-24,2026-08-04,8,92,14,134,0.059702,1.154356,1.094446,1.293775,2,0.9496644295302014,0.9194630872483222,0.3691275167785235,A 平台净亏首位 · 立即处置,16,1
2289,46.47211387353962,77.4658112130719,16500612.7934,14867979.8425,-81167.8946,142054,6535,0.00491908,0.00491908,,0.00427541,81167.8946,16500612.7934,OK,10621.0618,-2547.1753,4.0164,95.9836,AG03-B-v1,-78620.7193,14258349.3774,-91788.9564,-89241.7811,-13168.2372,-0.00556276,-0.00540839,-0.00079805,116.1573,2275.1308,-12.4205,-3121.8421,-197.0095,634638.9536,251.3462,116.1573,,5.137,17.0948,61.3171,200.0,393.553,1663.6167,12.9089,-2.2378,23.021794,97.317114,6.794892,5,1,24316,16,1.00000000,-0.00491908,-0.00491908,0.00071436,0.046627,0.901056,0.098301,,2026-07-08,2026-08-05,26,412,60,29,0.896552,,1.000000,3.333333,3,0.9463087248322147,0.8221476510067114,0.5067114093959731,A 平台净亏首位 · 立即处置,17,1
2082,52.20227381895074,68.96251325154172,897153.0921,760873.9819,-89505.0159,6172,328,0.09976560,,0.09976560,0.09911877,89505.0159,897153.0921,OK,580.3048,-4836.0607,4.0196,95.9804,AG03-B-v1,-84668.9553,729037.7019,-90085.3208,-85249.2601,-5416.3655,-0.10041243,-0.09502198,-0.00603728,145.3586,2319.7377,-272.8811,-22376.2540,-3891.5224,224288.2730,82.0000,,145.3586,5.5034,20.7715,70.0,235.5836,521.7451,2571.5535,14.54,-2.5716,25.118375,123.802297,6.997998,3,1,1450,15,0E-8,-0.09976560,,0.00076268,0.047391,0.848098,0.124433,,2026-04-24,2026-06-30,4,23,6,68,0.058824,,,0.000000,1,0.9429530201342282,0.9865771812080537,0.07718120805369127,A 平台净亏首位 · 立即处置,18,1
1703,45.06713727844145,79.88082264373412,2521866.4142,2267970.2963,-82176.5919,20804,921,0.03258562,,0.03258562,0.03215925,82176.5919,2521866.4142,OK,1075.2540,-3012.1492,3.9914,96.0086,AG03-B-v1,-79164.4427,2176198.7370,-83251.8459,-80239.6967,-4087.4032,-0.03301200,-0.03181758,-0.00162078,121.2203,2462.5085,-89.2254,-11739.5131,-1416.8378,360266.6306,131.5714,,121.2203,4.6214,15.4907,52.3519,183.2317,353.0832,1341.9216,12.9089,-2.5946,22.793287,86.627748,7.825374,6,1,4035,15,0E-8,-0.03258562,,0.00047410,0.033873,0.899322,0.079889,,2026-04-06,2026-07-01,7,58,11,87,0.080460,,,0.000000,2,0.9395973154362416,0.9328859060402684,0.25838926174496646,A 平台净亏首位 · 立即处置,19,1
2221,27.58888240789472,130.48734438658664,1796308.4534,1609309.9218,-80733.0963,17237,887,0.04494389,0.06596659,-0.02615047,0.04375330,80733.0963,1796308.4534,OK,2138.6726,-3420.0327,4.0172,95.9828,AG03-B-v1,-77313.0637,1542142.3986,-82871.7690,-79451.7363,-5558.7053,-0.04613449,-0.04423056,-0.00309452,104.2124,1814.3291,-91.0181,-13455.5161,-1647.6142,299384.7422,147.8333,106.3241,97.6533,5.1636,17.0518,61.3171,189.5088,369.2646,1358.6957,12.9089,-2.0439,21.655501,79.680619,6.111527,7,1,3101,15,0.77178279,-0.04494389,-0.06596659,0.00132894,0.055491,0.895898,0.088066,0.09211706,2026-06-04,2026-07-26,6,49,8,53,0.113208,1.088792,1.020264,2.572609,1,0.9362416107382551,0.9496644295302014,0.17114093959731544,A 平台净亏首位 · 立即处置,20,1
