entity_id,标注产量,覆盖IP广度,判定详尽度,理由空白数,首次登记,最近登记
mao,6,6,15.833333333333334,0,2022-05-13 09:13:44,2022-10-21 18:03:50
wmdn08,4,4,11.75,0,2022-05-06 10:30:46,2022-05-06 11:13:50
Annie,3,3,16.0,0,2022-05-10 22:52:21,2022-07-22 20:52:13
livegame,2,2,0.0,2,2022-06-09 02:26:53,2025-07-18 20:20:19
wmdn10,1,1,24.0,0,2022-06-24 19:46:53,2022-06-24 19:46:53
wmdn01,1,1,38.0,0,2022-03-27 17:42:11,2022-03-27 17:42:11
