key_def,shoe_len,n_shoes
A_bet03,1,11
A_bet03,2,16
A_bet03,3,17
A_bet03,4,12
A_bet03,5,15
A_bet03,6,18
A_bet03,7,16
A_bet03,8,21
A_bet03,9,13
A_bet03,10,17
A_bet03,11,16
A_bet03,12,10
A_bet03,13,16
A_bet03,14,20
A_bet03,15,21
A_bet03,16,19
A_bet03,17,14
A_bet03,18,18
A_bet03,19,18
A_bet03,20,14
A_bet03,21,19
A_bet03,22,19
A_bet03,23,15
A_bet03,24,14
A_bet03,25,13
A_bet03,26,10
A_bet03,27,18
A_bet03,28,18
A_bet03,29,13
A_bet03,30,21
A_bet03,31,20
A_bet03,32,21
A_bet03,33,22
A_bet03,34,21
A_bet03,35,16
A_bet03,36,12
A_bet03,37,20
A_bet03,38,19
A_bet03,39,20
A_bet03,40,33
A_bet03,41,68
A_bet03,42,261
A_bet03,43,680
A_bet03,44,1744
A_bet03,45,3763
A_bet03,46,7294
A_bet03,47,11363
A_bet03,48,15338
A_bet03,49,16910
A_bet03,50,16576
A_bet03,51,13972
A_bet03,52,11464
A_bet03,53,8496
A_bet03,54,5942
A_bet03,55,3921
A_bet03,56,2319
A_bet03,57,1278
A_bet03,58,679
A_bet03,59,344
A_bet03,60,159
A_bet03,61,65
A_bet03,62,23
A_bet03,63,8
A_bet03,64,4
A_bet03,65,1
A_bet03,110,1
B_dt_bet03_bet39,1,75
B_dt_bet03_bet39,2,74
B_dt_bet03_bet39,3,77
B_dt_bet03_bet39,4,68
B_dt_bet03_bet39,5,83
B_dt_bet03_bet39,6,73
B_dt_bet03_bet39,7,81
B_dt_bet03_bet39,8,79
B_dt_bet03_bet39,9,81
B_dt_bet03_bet39,10,65
B_dt_bet03_bet39,11,100
B_dt_bet03_bet39,12,71
B_dt_bet03_bet39,13,70
B_dt_bet03_bet39,14,79
B_dt_bet03_bet39,15,86
B_dt_bet03_bet39,16,73
B_dt_bet03_bet39,17,75
B_dt_bet03_bet39,18,86
B_dt_bet03_bet39,19,84
B_dt_bet03_bet39,20,66
B_dt_bet03_bet39,21,78
B_dt_bet03_bet39,22,73
B_dt_bet03_bet39,23,79
B_dt_bet03_bet39,24,71
B_dt_bet03_bet39,25,77
B_dt_bet03_bet39,26,77
B_dt_bet03_bet39,27,90
B_dt_bet03_bet39,28,76
B_dt_bet03_bet39,29,102
B_dt_bet03_bet39,30,84
B_dt_bet03_bet39,31,79
B_dt_bet03_bet39,32,87
B_dt_bet03_bet39,33,83
B_dt_bet03_bet39,34,73
B_dt_bet03_bet39,35,89
B_dt_bet03_bet39,36,71
B_dt_bet03_bet39,37,77
B_dt_bet03_bet39,38,89
B_dt_bet03_bet39,39,94
B_dt_bet03_bet39,40,89
B_dt_bet03_bet39,41,139
B_dt_bet03_bet39,42,333
B_dt_bet03_bet39,43,726
B_dt_bet03_bet39,44,1808
B_dt_bet03_bet39,45,3831
B_dt_bet03_bet39,46,7350
B_dt_bet03_bet39,47,11419
B_dt_bet03_bet39,48,15384
B_dt_bet03_bet39,49,16942
B_dt_bet03_bet39,50,16603
B_dt_bet03_bet39,51,13992
B_dt_bet03_bet39,52,11479
B_dt_bet03_bet39,53,8506
B_dt_bet03_bet39,54,5947
B_dt_bet03_bet39,55,3922
B_dt_bet03_bet39,56,2320
B_dt_bet03_bet39,57,1281
B_dt_bet03_bet39,58,680
B_dt_bet03_bet39,59,344
B_dt_bet03_bet39,60,159
B_dt_bet03_bet39,61,65
B_dt_bet03_bet39,62,23
B_dt_bet03_bet39,63,8
B_dt_bet03_bet39,64,4
B_dt_bet03_bet39,65,1
B_dt_bet03_bet39,110,1
