member_id,n_rounds_all,n_rounds_tail,tail_share,tail_win,tail_lose,tail_winrate,norm_winrate,winrate_diff,tail_stake,tail_valid_bet,tail_game_pnl,tail_rebate,tail_net_pnl,tail_roi,norm_game_pnl,norm_roi,tail_profit_share
100011114,197,48,0.2436548,18,27,0.4000000,0.5602837,-0.1602837,10144.8244990391,8222.6084208866,-3753.4823709088,0E-10,-3753.4823709088,-0.456483171614,7.6625325843,0.000413053044,0.181691688911
100021063,289,24,0.0830450,13,9,0.5909091,0.4463519,0.1445572,4265.9286031858,3551.8453293420,601.3472173528,0E-10,601.3472173528,0.169305575439,-4197.2438202381,-0.097987294364,0.097058705328
100024545,204,52,0.2549020,32,20,0.6153846,0.5655172,0.0498674,13702.0323131405,12299.1086779458,59.3338054808,0E-10,59.3338054808,0.004824236214,725.8622942803,0.017965502411,0.228702643794
100034412,355,51,0.1436620,26,24,0.5200000,0.4598540,0.0601460,2933.7011825589,2861.1995685916,89.7920498925,0E-10,89.7920498925,0.031382658825,-963.7957112508,-0.063864321888,0.172764452877
100039595,3169,1161,0.3663616,529,532,0.4985862,0.4991681,-0.0005819,114339.0760881372,103846.4807725197,1384.1972926809,0E-10,1384.1972926809,0.013329265300,-3307.7197075214,-0.018248146690,0.370800038267
100040611,421,187,0.4441805,99,83,0.5439560,0.4803493,0.0636067,41134.2833585830,38823.8659223184,3138.5199069055,0E-10,3138.5199069055,0.080839963573,-11515.8736260266,-0.265581276935,0.559140985699
100059583,994,291,0.2927565,138,123,0.5287356,0.5433071,-0.0145715,212228.2194247862,189159.9818756819,-3242.0146973175,1513.2798550063,-1728.7348423110,-0.017139009346,16158.1293922656,0.035186208206,0.280971375068
100075170,191,21,0.1099476,7,12,0.3684211,0.5316456,-0.1632245,1162.1865268844,995.1790285886,-455.8214193151,0E-10,-455.8214193151,-0.458029566762,630.8234898860,0.068109845162,0.052239588740
100090205,363,39,0.1074380,19,14,0.5757576,0.5149502,0.0608074,2909.0000000000,2178.0000000000,-24.0000000000,0E-10,-24.0000000000,-0.011019283747,55.9500000000,0.003556558497,0.120210703892
100107643,2080,858,0.4125000,477,379,0.5572430,0.5622951,-0.0050521,41678.1920283657,38659.8634820329,-1246.4288617997,0E-10,-1246.4288617997,-0.032240901792,-2124.4474318643,-0.049725022490,0.490821686977
100107977,1459,364,0.2494859,113,232,0.3275362,0.3547133,-0.0271771,20010.8026626034,17940.5576660804,-4618.4338421519,0E-10,-4618.4338421519,-0.257429781622,-6444.4716171116,-0.114702435689,0.199663224423
100131625,10808,693,0.0641192,297,320,0.4813614,0.5032658,-0.0219044,144528.6292747027,131447.3213334330,-12526.2110285348,0E-10,-12526.2110285348,-0.095294532452,-60858.5316481441,-0.026978652388,0.051277644978
100141639,630,91,0.1444444,48,43,0.5274725,0.5114068,0.0160657,19278.4231871548,17262.9445326821,2242.9098959351,0E-10,2242.9098959351,0.129926264415,-4290.2587244213,-0.039747703458,0.158640613446
100153393,6968,606,0.0869690,257,297,0.4638989,0.5032191,-0.0393202,91704.8816679901,83973.8047743886,-9604.4079081512,0E-10,-9604.4079081512,-0.114373856632,-6074.0539177801,-0.006718305052,0.076011921404
