层级,日志行数,去重实体数,实体ID为0之脏行,命中注单会员数,命中去重实体数,最早,最晚
0,1767,746,3,108,34,2020-08-25 17:19:54,2026-08-17 23:41:54
1,2823,880,6,0,0,2017-07-25 16:59:41,2026-08-16 15:29:34
2,5224,2098,21,0,0,2017-08-15 10:47:17,2026-08-16 15:30:02
3,14198,5869,41,0,0,2017-08-10 18:20:25,2026-08-17 16:21:52
4,25896,11553,103,0,0,2017-10-12 01:59:04,2026-08-17 14:25:19
5,97562,29590,14679,0,0,2017-10-11 15:32:56,2026-08-17 20:24:16
7,539313,118265,7935,15916,990,2017-08-10 15:47:33,2026-08-18 02:56:18
