扫描维,参数,命中人数,平均ROI,ROI_P90,ROI_P95,盈利玩家占比,平均有效投注,来源,口径
起始局号,35,11791,-0.0415,0.2069,0.304,0.366,,原报告转录,late_def=bet04>=40
起始局号,40,2644,-0.0461,0.2586,0.3862,0.3793,,原报告转录,late_def=bet04>=40
起始局号,45,263,-0.0705,0.3137,0.4595,0.365,,原报告转录,late_def=bet04>=40
靴尾占比阈,0.4,15353,-0.0375,0.2049,0.3011,0.3756,,原报告转录,late_def=bet04>=40
靴尾占比阈,0.5,6290,-0.0419,0.2347,0.339,0.3744,,原报告转录,late_def=bet04>=40
靴尾占比阈,0.6,2644,-0.0461,0.2586,0.3862,0.3793,,原报告转录,late_def=bet04>=40
靴尾占比阈,0.7,1132,-0.0497,0.2739,0.4367,0.371,,原报告转录,late_def=bet04>=40
订单门槛,30,2644,-0.0461,0.2586,0.3862,0.3793,8704.8,原报告转录,late_def=bet04>=40
订单门槛,50,1170,-0.041,0.2166,0.3127,0.3786,17885.71,原报告转录,late_def=bet04>=40
订单门槛,100,393,-0.0331,0.1088,0.2046,0.3715,47136.12,原报告转录,late_def=bet04>=40
