t,c,v,n,pct
ods_a168_bet02,bet03,114693654,16366,0.0000795
ods_a168_bet02,bet03,114677043,16343,0.0000794
ods_a168_bet02,bet03,114681605,16293,0.0000791
ods_a168_bet02,bet03,114693749,16245,0.0000789
ods_a168_bet02,bet03,114647142,16204,0.0000787
ods_a168_bet02,bet03,114720585,16182,0.0000786
ods_a168_bet02,bet03,114660420,16164,0.0000785
ods_a168_bet02,bet03,114644412,16095,0.0000782
ods_a168_bet02,bet03,114639115,16089,0.0000781
ods_a168_bet02,bet03,114647051,16046,0.0000779
ods_a168_bet02,bet03,114708028,16003,0.0000777
ods_a168_bet02,bet03,114612083,15967,0.0000776
ods_a168_bet02,bet03,114719552,15952,0.0000775
ods_a168_bet02,bet03,114673931,15942,0.0000774
ods_a168_bet02,bet03,114647501,15898,0.0000772
ods_a168_bet02,bet03,114731719,15869,0.0000771
ods_a168_bet02,bet03,114687109,15868,0.0000771
ods_a168_bet02,bet03,114729457,15865,0.0000771
ods_a168_bet02,bet03,114628116,15828,0.0000769
ods_a168_bet02,bet03,114710521,15826,0.0000769
ods_a168_bet02,bet03,114674833,15721,0.0000764
ods_a168_bet02,bet03,114670635,15713,0.0000763
ods_a168_bet02,bet03,114628213,15708,0.0000763
ods_a168_bet02,bet03,114689222,15649,0.000076
ods_a168_bet02,bet03,114705146,15639,0.000076
ods_a168_bet02,bet03,114647238,15622,0.0000759
ods_a168_bet02,bet03,114747300,15606,0.0000758
ods_a168_bet02,bet03,114595696,15599,0.0000758
ods_a168_bet02,bet03,114706246,15566,0.0000756
ods_a168_bet02,bet03,114631733,15530,0.0000754
ods_a168_bet02,bet03,114676949,15511,0.0000753
ods_a168_bet02,bet03,114681416,15504,0.0000753
ods_a168_bet02,bet03,114619582,15501,0.0000753
ods_a168_bet02,bet03,114726309,15489,0.0000752
ods_a168_bet02,bet03,114614151,15467,0.0000751
ods_a168_bet02,bet03,114630096,15467,0.0000751
ods_a168_bet02,bet03,114600247,15463,0.0000751
ods_a168_bet02,bet03,114665263,15463,0.0000751
ods_a168_bet02,bet03,114673656,15426,0.0000749
