member_id,bet_month,分层,标注,证据等级,n_orders,n_rounds_month,n_days_month,n_tables_month,n_hedge_rounds,n_hedge_eq,hedge_eq_share,n_zero_pnl_rounds,n_vb_true_zero,n_vb_positive,sum_valid_bet,sum_stake,sum_game_pnl,sum_rebate,n_order_nocomm,识别契约,来源
149635901,2026-05-01,≥30单,T-05 自我对冲/打水,OBSERVED,74,37,1,9,37,37,1.0,19,74,0,0.0,9599.9107467774,-116.7556712454,0.0,0,sum_valid_bet=0 且 n_orders>=5 且 n_hedge_eq>0,§Z-14（软编码，库内现算，v4-revised-2）
149635925,2026-05-01,≥30单,T-05 自我对冲/打水,OBSERVED,56,28,1,6,28,28,1.0,18,56,0,0.0,9340.4536995672,-84.3235403439,0.0,0,sum_valid_bet=0 且 n_orders>=5 且 n_hedge_eq>0,§Z-14（软编码，库内现算，v4-revised-2）
149635974,2026-05-01,≥30单,T-05 自我对冲/打水,OBSERVED,54,27,1,9,27,27,1.0,16,54,0,0.0,8406.4083296094,-85.6208255793,0.0,0,sum_valid_bet=0 且 n_orders>=5 且 n_hedge_eq>0,§Z-14（软编码，库内现算，v4-revised-2）
149636050,2026-05-01,≥30单,T-05 自我对冲/打水,OBSERVED,80,40,1,6,40,40,1.0,21,80,0,0.0,10845.304573386,-127.133953133,0.0,0,sum_valid_bet=0 且 n_orders>=5 且 n_hedge_eq>0,§Z-14（软编码，库内现算，v4-revised-2）
149636093,2026-05-01,≥30单,T-05 自我对冲/打水,OBSERVED,68,34,1,6,34,34,1.0,17,68,0,0.0,9599.9107467768,-116.7556712447,0.0,0,sum_valid_bet=0 且 n_orders>=5 且 n_hedge_eq>0,§Z-14（软编码，库内现算，v4-revised-2）
149636167,2026-05-01,≥30单,T-05 自我对冲/打水,OBSERVED,64,32,1,6,32,32,1.0,15,64,0,0.0,9392.3451090088,-134.9176645499,0.0,0,sum_valid_bet=0 且 n_orders>=5 且 n_hedge_eq>0,§Z-14（软编码，库内现算，v4-revised-2）
149636554,2026-05-01,≥30单,T-05 自我对冲/打水,OBSERVED,74,37,1,6,37,37,1.0,16,74,0,0.0,9599.9107467774,-136.2149497863,0.0,0,sum_valid_bet=0 且 n_orders>=5 且 n_hedge_eq>0,§Z-14（软编码，库内现算，v4-revised-2）
149636715,2026-05-01,≥30单,T-05 自我对冲/打水,OBSERVED,40,20,1,13,20,19,0.95,14,40,0,0.0,9706.2881361331,-75.2425436914,0.0,0,sum_valid_bet=0 且 n_orders>=5 且 n_hedge_eq>0,§Z-14（软编码，库内现算，v4-revised-2）
149636925,2026-05-01,≥30单,T-05 自我对冲/打水,OBSERVED,62,31,1,12,31,31,1.0,20,62,0,0.0,8043.1684635162,-71.3506879833,0.0,0,sum_valid_bet=0 且 n_orders>=5 且 n_hedge_eq>0,§Z-14（软编码，库内现算，v4-revised-2）
149636936,2026-05-01,≥30单,T-05 自我对冲/打水,OBSERVED,48,24,1,9,24,24,1.0,14,48,0,0.0,9755.5849751008,-98.5936779398,0.0,0,sum_valid_bet=0 且 n_orders>=5 且 n_hedge_eq>0,§Z-14（软编码，库内现算，v4-revised-2）
149636945,2026-05-01,≥30单,T-05 自我对冲/打水,OBSERVED,48,24,1,6,24,24,1.0,16,48,0,0.0,9599.910746777,-88.215396052,0.0,0,sum_valid_bet=0 且 n_orders>=5 且 n_hedge_eq>0,§Z-14（软编码，库内现算，v4-revised-2）
149637447,2026-05-01,≥30单,T-05 自我对冲/打水,OBSERVED,70,35,1,6,35,35,1.0,19,70,0,0.0,9340.4536995672,-110.2692450651,0.0,0,sum_valid_bet=0 且 n_orders>=5 且 n_hedge_eq>0,§Z-14（软编码，库内现算，v4-revised-2）
149638271,2026-05-01,≥30单,T-05 自我对冲/打水,OBSERVED,42,21,1,14,21,21,1.0,9,42,0,0.0,8821.5396051444,-127.133953133,0.0,0,sum_valid_bet=0 且 n_orders>=5 且 n_hedge_eq>0,§Z-14（软编码，库内现算，v4-revised-2）
149649543,2026-05-01,≥30单,T-05 自我对冲/打水,OBSERVED,32,16,10,6,16,16,1.0,8,32,0,0.0,1176.347022372,-14.7043377796,0.0,0,sum_valid_bet=0 且 n_orders>=5 且 n_hedge_eq>0,§Z-14（软编码，库内现算，v4-revised-2）
149678618,2026-05-01,≥30单,T-05 自我对冲/打水,OBSERVED,52,26,1,10,26,26,1.0,14,52,0,0.0,47400.0,-555.0,0.0,0,sum_valid_bet=0 且 n_orders>=5 且 n_hedge_eq>0,§Z-14（软编码，库内现算，v4-revised-2）
149730973,2026-05-01,≥30单,T-05 自我对冲/打水,OBSERVED,68,34,1,10,34,34,1.0,20,68,0,0.0,9963.1506128708,-103.7828188842,0.0,0,sum_valid_bet=0 且 n_orders>=5 且 n_hedge_eq>0,§Z-14（软编码，库内现算，v4-revised-2）
149769603,2026-05-01,≥30单,T-05 自我对冲/打水,OBSERVED,62,31,1,14,31,31,1.0,14,62,0,0.0,11727.4585338982,-166.0525102144,0.0,0,sum_valid_bet=0 且 n_orders>=5 且 n_hedge_eq>0,§Z-14（软编码，库内现算，v4-revised-2）
149771174,2026-05-01,≥30单,T-05 自我对冲/打水,OBSERVED,66,33,1,9,33,33,1.0,19,66,0,0.0,10378.2818884066,-111.5665303003,0.0,0,sum_valid_bet=0 且 n_orders>=5 且 n_hedge_eq>0,§Z-14（软编码，库内现算，v4-revised-2）
149772665,2026-05-01,≥30单,T-05 自我对冲/打水,OBSERVED,58,29,1,16,29,29,1.0,16,58,0,0.0,11104.7616205938,-119.3502417166,0.0,0,sum_valid_bet=0 且 n_orders>=5 且 n_hedge_eq>0,§Z-14（软编码，库内现算，v4-revised-2）
149774614,2026-05-01,≥30单,T-05 自我对冲/打水,OBSERVED,64,32,1,6,32,32,1.0,16,64,0,0.0,9911.2592034284,-124.5393826608,0.0,0,sum_valid_bet=0 且 n_orders>=5 且 n_hedge_eq>0,§Z-14（软编码，库内现算，v4-revised-2）
149775927,2026-05-01,≥30单,T-05 自我对冲/打水,OBSERVED,68,34,1,10,34,34,1.0,17,68,0,0.0,10274.4990695228,-127.1339531329,0.0,0,sum_valid_bet=0 且 n_orders>=5 且 n_hedge_eq>0,§Z-14（软编码，库内现算，v4-revised-2）
149777174,2026-05-01,≥30单,T-05 自我对冲/打水,OBSERVED,60,30,1,16,30,30,1.0,13,60,0,0.0,10482.06470729,-147.8905169097,0.0,0,sum_valid_bet=0 且 n_orders>=5 且 n_hedge_eq>0,§Z-14（软编码，库内现算，v4-revised-2）
149780238,2026-05-01,≥30单,T-05 自我对冲/打水,OBSERVED,58,29,1,6,29,29,1.0,14,58,0,0.0,10118.8248411952,-138.8095202573,0.0,0,sum_valid_bet=0 且 n_orders>=5 且 n_hedge_eq>0,§Z-14（软编码，库内现算，v4-revised-2）
149811574,2026-05-01,≥30单,T-05 自我对冲/打水,OBSERVED,72,36,1,12,36,36,1.0,23,72,0,0.0,10222.6076600816,-94.7018222322,0.0,0,sum_valid_bet=0 且 n_orders>=5 且 n_hedge_eq>0,§Z-14（软编码，库内现算，v4-revised-2）
149813851,2026-05-01,≥30单,T-05 自我对冲/打水,OBSERVED,46,23,1,16,23,23,1.0,17,46,0,0.0,10378.281888407,-72.6479732192,0.0,0,sum_valid_bet=0 且 n_orders>=5 且 n_hedge_eq>0,§Z-14（软编码，库内现算，v4-revised-2）
149814956,2026-05-01,≥30单,T-05 自我对冲/打水,OBSERVED,76,38,1,6,38,38,1.0,19,76,0,0.0,9859.3677939876,-123.2420974257,0.0,0,sum_valid_bet=0 且 n_orders>=5 且 n_hedge_eq>0,§Z-14（软编码，库内现算，v4-revised-2）
149815512,2026-05-01,≥30单,T-05 自我对冲/打水,OBSERVED,78,39,1,6,39,39,1.0,24,78,0,0.0,10118.8248411978,-97.2963927045,0.0,0,sum_valid_bet=0 且 n_orders>=5 且 n_hedge_eq>0,§Z-14（软编码，库内现算，v4-revised-2）
149816225,2026-05-01,≥30单,T-05 自我对冲/打水,OBSERVED,42,21,1,16,21,21,1.0,16,42,0,0.0,10326.3904789656,-57.0805503865,0.0,0,sum_valid_bet=0 且 n_orders>=5 且 n_hedge_eq>0,§Z-14（软编码，库内现算，v4-revised-2）
149816475,2026-05-01,≥30单,T-05 自我对冲/打水,OBSERVED,75,38,1,6,37,37,0.9736842,20,75,0,0.0,9781.5306798245,-118.0529564814,0.0,0,sum_valid_bet=0 且 n_orders>=5 且 n_hedge_eq>0,§Z-14（软编码，库内现算，v4-revised-2）
149817208,2026-05-01,≥30单,T-05 自我对冲/打水,OBSERVED,76,38,1,6,38,38,1.0,22,76,0,0.0,9859.3677939876,-103.7828188848,0.0,0,sum_valid_bet=0 且 n_orders>=5 且 n_hedge_eq>0,§Z-14（软编码，库内现算，v4-revised-2）
149818074,2026-05-01,≥30单,T-05 自我对冲/打水,OBSERVED,78,39,1,6,39,39,1.0,20,78,0,0.0,10118.8248411978,-123.2420974257,0.0,0,sum_valid_bet=0 且 n_orders>=5 且 n_hedge_eq>0,§Z-14（软编码，库内现算，v4-revised-2）
149825973,2026-05-01,≥30单,T-05 自我对冲/打水,OBSERVED,66,33,1,14,33,33,1.0,17,66,0,0.0,11675.5671244566,-142.7013759655,0.0,0,sum_valid_bet=0 且 n_orders>=5 且 n_hedge_eq>0,§Z-14（软编码，库内现算，v4-revised-2）
149829323,2026-05-01,≥30单,T-05 自我对冲/打水,OBSERVED,70,35,1,15,35,35,1.0,16,70,0,0.0,9755.5849751024,-140.1068054934,0.0,0,sum_valid_bet=0 且 n_orders>=5 且 n_hedge_eq>0,§Z-14（软编码，库内现算，v4-revised-2）
149830090,2026-05-01,≥30单,T-05 自我对冲/打水,OBSERVED,78,39,1,18,39,39,1.0,25,78,0,0.0,11416.1100772476,-101.1882484119,0.0,0,sum_valid_bet=0 且 n_orders>=5 且 n_hedge_eq>0,§Z-14（软编码，库内现算，v4-revised-2）
149831459,2026-05-01,≥30单,T-05 自我对冲/打水,OBSERVED,56,28,1,19,28,28,1.0,15,56,0,0.0,11104.7616205942,-124.5393826608,0.0,0,sum_valid_bet=0 且 n_orders>=5 且 n_hedge_eq>0,§Z-14（软编码，库内现算，v4-revised-2）
151171007,2026-07-01,≥30单,T-05 自我对冲/打水,OBSERVED,34,17,17,11,17,17,1.0,8,34,0,0.0,347.4635163308,-4.5987818337,0.0,0,sum_valid_bet=0 且 n_orders>=5 且 n_hedge_eq>0,§Z-14（软编码，库内现算，v4-revised-2）
151171374,2026-07-01,≥30单,T-05 自我对冲/打水,OBSERVED,34,17,17,12,17,17,1.0,7,34,0,0.0,347.4635163308,-5.109757593,0.0,0,sum_valid_bet=0 且 n_orders>=5 且 n_hedge_eq>0,§Z-14（软编码，库内现算，v4-revised-2）
151182422,2026-06-01,≥30单,T-05 自我对冲/打水,OBSERVED,92,46,23,14,46,46,1.0,25,92,0,0.0,2387.0548407056,-26.442048271,0.0,0,sum_valid_bet=0 且 n_orders>=5 且 n_hedge_eq>0,§Z-14（软编码，库内现算，v4-revised-2）
151182422,2026-07-01,≥30单,T-05 自我对冲/打水,OBSERVED,124,62,28,16,62,62,1.0,31,124,0,0.0,3166.872819962,-40.8604074276,0.0,0,sum_valid_bet=0 且 n_orders>=5 且 n_hedge_eq>0,§Z-14（软编码，库内现算，v4-revised-2）
151191910,2026-06-01,≥30单,T-05 自我对冲/打水,OBSERVED,38,19,19,14,19,19,1.0,12,38,0,0.0,394.6575826192,-3.6350040503,0.0,0,sum_valid_bet=0 且 n_orders>=5 且 n_hedge_eq>0,§Z-14（软编码，库内现算，v4-revised-2）
151191910,2026-07-01,≥30单,T-05 自我对冲/打水,OBSERVED,54,27,27,18,27,27,1.0,15,54,0,0.0,551.8538200548,-6.1317091116,0.0,0,sum_valid_bet=0 且 n_orders>=5 且 n_hedge_eq>0,§Z-14（软编码，库内现算，v4-revised-2）
151212512,2026-07-01,≥30单,T-05 自我对冲/打水,OBSERVED,118,59,29,18,59,59,1.0,25,118,0,0.0,3086.29358623,-40.2648898332,0.0,0,sum_valid_bet=0 且 n_orders>=5 且 n_hedge_eq>0,§Z-14（软编码，库内现算，v4-revised-2）
151212848,2026-06-01,≥30单,T-05 自我对冲/打水,OBSERVED,96,48,21,17,48,48,1.0,23,96,0,0.0,2392.871237772,-27.522173525,0.0,0,sum_valid_bet=0 且 n_orders>=5 且 n_hedge_eq>0,§Z-14（软编码，库内现算，v4-revised-2）
151212848,2026-07-01,≥30单,T-05 自我对冲/打水,OBSERVED,126,63,28,19,63,63,1.0,26,126,0,0.0,3200.7521563154,-54.776601398,0.0,0,sum_valid_bet=0 且 n_orders>=5 且 n_hedge_eq>0,§Z-14（软编码，库内现算，v4-revised-2）
151247925,2026-06-01,≥30单,T-05 自我对冲/打水,OBSERVED,38,19,19,13,19,19,1.0,12,38,0,0.0,394.6575826192,-3.6350040503,0.0,0,sum_valid_bet=0 且 n_orders>=5 且 n_hedge_eq>0,§Z-14（软编码，库内现算，v4-revised-2）
151247925,2026-07-01,≥30单,T-05 自我对冲/打水,OBSERVED,54,27,27,15,27,27,1.0,18,54,0,0.0,551.8538200548,-4.5987818337,0.0,0,sum_valid_bet=0 且 n_orders>=5 且 n_hedge_eq>0,§Z-14（软编码，库内现算，v4-revised-2）
151659765,2026-06-01,≥30单,T-05 自我对冲/打水,OBSERVED,30,15,1,4,15,15,1.0,8,30,0,0.0,915.2132619592,-9.9292004836,0.0,0,sum_valid_bet=0 且 n_orders>=5 且 n_hedge_eq>0,§Z-14（软编码，库内现算，v4-revised-2）
152296837,2026-06-01,≥30单,T-05 自我对冲/打水,OBSERVED,34,17,1,5,17,17,1.0,9,34,0,0.0,19836.9565217404,-220.7880434786,0.0,0,sum_valid_bet=0 且 n_orders>=5 且 n_hedge_eq>0,§Z-14（软编码，库内现算，v4-revised-2）
153508498,2026-07-01,≥30单,T-05 自我对冲/打水,OBSERVED,52,26,1,3,26,26,1.0,26,52,0,0.0,797.1221845236,0.0,0.0,50,sum_valid_bet=0 且 n_orders>=5 且 n_hedge_eq>0,§Z-14（软编码，库内现算，v4-revised-2）
