ip,n_member_log,country,city,in_bet_ip
14.0.41.135,5520,JP,Osaka,0
163.171.200.118,5498,IN,Chennai,0
14.0.41.136,5490,JP,Osaka,0
163.171.206.215,5462,IN,Mumbai,0
183.232.4.116,5448,CN,Guangzhou,0
183.232.4.117,5446,CN,Guangzhou,0
163.171.206.211,5445,IN,Mumbai,0
183.232.4.115,5374,CN,Guangzhou,0
174.35.58.78,5368,HK,Hong Kong,0
163.171.200.116,5364,IN,Chennai,0
163.171.206.208,5317,IN,Mumbai,0
163.171.206.216,5251,IN,Mumbai,0
14.0.41.32,5179,JP,Osaka,0
14.0.41.30,5156,JP,Osaka,0
115.223.7.153,5101,CN,Wenzhou,0
140.150.8.109,4891,ID,Jakarta,0
163.171.208.134,4878,SG,Singapore,0
138.113.120.20,4758,KH,Phnom Penh,0
140.150.8.110,4733,ID,Jakarta,0
138.113.120.32,4731,KH,Phnom Penh,0
138.113.107.30,4647,PH,Manila,0
163.171.200.106,4631,IN,Chennai,0
163.171.200.113,4631,IN,Chennai,0
117.187.214.243,4616,CN,Guiyang,0
138.113.103.35,4613,ID,Bekasi,0
117.187.214.242,4608,CN,Guiyang,0
163.171.200.108,4605,IN,Chennai,0
138.113.107.27,4545,PH,Manila,0
163.171.200.114,4519,IN,Chennai,0
163.171.200.112,4508,IN,Chennai,0
163.171.200.105,4487,IN,Chennai,0
163.171.185.31,4451,PH,Cebu City,0
138.113.103.33,4392,ID,Bekasi,0
163.171.204.132,4344,IN,Mumbai,0
163.171.204.133,4319,IN,Mumbai,0
163.171.186.21,4259,PH,Manila,0
103.56.116.115,4074,HK,Hong Kong,0
103.56.116.127,3951,HK,Hong Kong,0
163.171.185.30,3931,PH,Cebu City,0
140.150.10.113,3921,CL,Santiago,0
140.150.10.112,3906,CL,Santiago,0
140.150.10.110,3889,CL,Santiago,0
140.150.10.109,3882,CL,Santiago,0
140.150.10.111,3808,CL,Santiago,0
157.148.78.211,3765,CN,Guangzhou,0
157.148.78.199,3723,CN,Guangzhou,0
120.232.140.14,3696,CN,Guangzhou,0
157.148.78.242,3672,CN,Guangzhou,0
183.182.119.116,3670,LA,Vientiane,0
39.130.154.21,3640,CN,Kunming,0
210.61.180.26,3631,TW,Taipei,0
120.232.140.33,3607,CN,Guangzhou,0
39.130.154.16,3573,CN,Kunming,0
210.61.180.29,3549,TW,Taipei,0
161.49.30.16,3537,PH,Makati,0
210.61.180.28,3527,TW,Taipei,0
167.179.10.143,3444,KH,Phnom Penh,0
