member_id,bet_month,标注,证据等级,n_orders,n_rounds,n_equal_hedge,n_hedge_rounds,hedge_eq_share,n_zero_pnl_rounds,sum_valid_bet,sum_stake,sum_game_pnl,sum_rebate,n_no_commission,n_validbet_true_zero,n_validbet_positive,样本纯度判据,来源
70820399,2026-04-01,T-05 自我对冲/打水,OBSERVED,68,34,34,34,1.0,19,0.0,1340.0,-15.0,0.0,0,68,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
70820399,2026-06-01,T-05 自我对冲/打水,OBSERVED,98,49,49,49,1.0,29,0.0,980.0,-10.0,0.0,0,98,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
70820399,2026-07-01,T-05 自我对冲/打水,OBSERVED,376,188,188,188,1.0,123,0.0,3760.0,-32.5,0.0,0,376,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
70820399,2026-08-01,T-05 自我对冲/打水,OBSERVED,160,80,80,80,1.0,42,0.0,1620.0,-19.5,0.0,0,160,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
130473199,2026-03-01,T-05 自我对冲/打水,OBSERVED,38,19,19,19,1.0,15,0.0,476.3252081782,-0.4763252084,0.0,18,38,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
131279549,2026-06-01,T-05 自我对冲/打水,OBSERVED,30,15,15,15,1.0,6,0.0,353.1146791856,-5.7121492221,0.0,0,30,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
139309024,2026-03-01,T-05 自我对冲/打水,OBSERVED,14,7,7,7,1.0,3,0.0,1052.7245804626,-9.8113797638,0.0,0,14,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
139309024,2026-04-01,T-05 自我对冲/打水,OBSERVED,34,17,17,17,1.0,9,0.0,746.3158560498,-9.3816541228,0.0,0,34,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
139309024,2026-05-01,T-05 自我对冲/打水,OBSERVED,36,18,17,18,0.9444444444444444,13,0.0,1629.2532228089,-11.0282533347,0.0,0,36,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
139309024,2026-06-01,T-05 自我对冲/打水,OBSERVED,74,37,37,37,1.0,23,0.0,3298.5065326218,-26.2758864218,0.0,0,74,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
146273793,2026-03-01,T-05 自我对冲/打水,OBSERVED,6,3,3,3,1.0,3,0.0,110.0448983186,0.0,0.0,0,6,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
146273793,2026-05-01,T-05 自我对冲/打水,OBSERVED,48,24,24,24,1.0,11,0.0,776.0555570818,-11.5240651165,0.0,0,48,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
146428434,2026-03-01,T-05 自我对冲/打水,OBSERVED,52,26,26,26,1.0,18,0.0,3870.4819277108,-32.0030120481,0.0,0,52,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
146587447,2026-05-01,T-05 自我对冲/打水,OBSERVED,46,23,23,23,1.0,6,0.0,330.6772353044,-7.6367449773,0.0,0,46,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
146587447,2026-06-01,T-05 自我对冲/打水,OBSERVED,30,15,15,15,1.0,10,0.0,760.2351328338,-5.504434705,0.0,0,30,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
146855013,2026-03-01,T-05 自我对冲/打水,OBSERVED,30,15,15,15,1.0,9,0.0,2183.7349397596,-22.590361446,0.0,0,30,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
146855013,2026-04-01,T-05 自我对冲/打水,OBSERVED,12,6,6,6,1.0,4,0.0,528.9256198346,-5.142332415,0.0,0,12,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
146862795,2026-03-01,T-05 自我对冲/打水,OBSERVED,44,22,22,22,1.0,10,0.0,2462.34939759,-32.0030120478,0.0,0,44,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
146862795,2026-06-01,T-05 自我对冲/打水,OBSERVED,2,1,1,1,1.0,1,0.0,7.1216955332,0.0,0.0,0,2,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
146953518,2026-05-01,T-05 自我对冲/打水,OBSERVED,159,80,79,79,0.9875,42,0.0,1096.6998126538,-13.3304510741,0.0,0,159,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
147649407,2026-04-01,T-05 自我对冲/打水,OBSERVED,60,30,30,30,1.0,21,0.0,3430.6703397608,-39.1184573002,0.0,0,60,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
147695204,2026-03-01,T-05 自我对冲/打水,OBSERVED,18,9,9,9,1.0,4,0.0,850.9036144582,-9.7891566266,0.0,0,18,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
147695204,2026-04-01,T-05 自我对冲/打水,OBSERVED,70,35,35,35,1.0,19,0.0,6251.6069788796,-68.3195592285,0.0,0,70,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
147725988,2026-03-01,T-05 自我对冲/打水,OBSERVED,2,1,1,1,1.0,1,0.0,110.0448983186,0.0,0.0,0,2,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
147725988,2026-05-01,T-05 自我对冲/打水,OBSERVED,40,20,20,20,1.0,9,0.0,1747.715576096,-28.8835206385,0.0,0,40,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
147725988,2026-06-01,T-05 自我对冲/打水,OBSERVED,8,4,4,4,1.0,0,0.0,415.4290343352,-10.3857258584,0.0,0,8,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
147832886,2026-03-01,T-05 自我对冲/打水,OBSERVED,48,24,24,24,1.0,14,0.0,2499.9999999998,-20.8960843369,0.0,0,48,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
