内容前40字,n,涉实体数,最早,最晚,其中层级7数
mem015:2=>0;mem017:N=>Y;,18841,5647,2020-03-19 19:57:13,2026-08-18 02:23:04,18841
mem015:0=>1;mem017:Y=>N;,12873,9391,2020-03-19 23:21:33,2026-08-18 02:56:18,12873
mem015:1=>0;mem017:N=>Y;,9887,6237,2020-03-20 00:42:59,2026-08-17 21:49:46,9887
age016:Y=>N;,7795,7080,2017-10-11 15:33:01,2026-08-11 20:33:06,0
mem016:Y=>N;,7551,5580,2017-08-10 15:49:46,2026-08-17 19:50:21,7551
mem020 Y=>N;,6592,1,2020-03-20 16:31:31,2026-08-17 20:49:04,6592
age015:Y=>N;,5364,4972,2017-10-11 15:32:56,2026-08-10 12:11:30,0
mem016:N=>Y;,5246,3395,2017-08-10 15:50:17,2026-08-17 19:50:53,5246
age016:N=>Y;,2978,2561,2018-05-08 21:33:03,2026-08-14 17:43:08,0
age015:N=>Y;,2142,1924,2018-05-08 21:32:29,2026-08-14 17:43:01,0
mem017:N=>Y;,162,154,2017-08-10 15:47:33,2026-08-14 17:45:32,162
mem017:Y=>N;,17,17,2017-08-10 15:48:40,2026-04-01 11:12:17,17
chkLock Y=>N;,9,6,2020-08-25 17:19:54,2023-04-23 08:14:38,0
mem015:1=>0;mem017:N=>Y;cash:523476.0000,1,1,2021-01-06 22:18:32,2021-01-06 22:18:32,1
mem015:0=>1;mem017:Y=>N;cash:644161.0000,1,1,2021-07-20 02:08:04,2021-07-20 02:08:04,1
mem015:2=>0;mem017:N=>Y;cash:13200.0000=,1,1,2023-07-11 02:27:01,2023-07-11 02:27:01,1
mem015:2=>0;mem017:N=>Y;cash:868458.0000,1,1,2021-07-28 18:20:30,2021-07-28 18:20:30,1
mem015:2=>0;mem017:N=>Y;cash:16000.0000=,1,1,2021-03-29 19:00:51,2021-03-29 19:00:51,1
mem015:2=>0;mem017:N=>Y;cash:12400.0000=,1,1,2022-07-25 21:41:36,2022-07-25 21:41:36,1
mem015:0=>1;mem017:Y=>N;cash:1836950.500,1,1,2021-07-22 04:21:43,2021-07-22 04:21:43,1
mem015:2=>0;mem017:N=>Y;cash:6202.0000=>,1,1,2020-08-01 01:34:42,2020-08-01 01:34:42,1
mem015:2=>0;mem017:N=>Y;cash:13660.0000=,1,1,2020-04-08 10:47:56,2020-04-08 10:47:56,1
mem015:2=>0;mem017:N=>Y;cash:426060.0000,1,1,2021-07-22 02:02:23,2021-07-22 02:02:23,1
mem015:2=>0;mem017:N=>Y;cash:39500.0000=,1,1,2022-06-13 15:09:31,2022-06-13 15:09:31,1
mem015:1=>0;mem017:N=>Y;cash:32739.0000=,1,1,2021-01-08 04:19:15,2021-01-08 04:19:15,1
mem015:2=>0;mem017:N=>Y;cash:14000.0000=,1,1,2021-09-07 20:28:04,2021-09-07 20:28:04,1
mem015:2=>0;mem017:N=>Y;cash:11000.0000=,1,1,2021-11-05 15:11:45,2021-11-05 15:11:45,1
mem015:2=>0;mem017:N=>Y;cash:12800.0000=,1,1,2021-11-17 21:27:35,2021-11-17 21:27:35,1
mem015:2=>0;mem017:N=>Y;cash:10000.5000=,1,1,2021-07-16 00:30:46,2021-07-16 00:30:46,1
mem015:2=>0;mem017:N=>Y;cash:17870.0000=,1,1,2020-06-02 09:49:22,2020-06-02 09:49:22,1
mem015:2=>0;mem017:N=>Y;cash:16800.0000=,1,1,2021-11-24 17:14:22,2021-11-24 17:14:22,1
mem015:1=>0;mem017:N=>Y;cash:972376.0000,1,1,2021-01-07 01:58:41,2021-01-07 01:58:41,1
mem015:2=>0;mem017:N=>Y;cash:927825.0000,1,1,2021-01-10 23:32:46,2021-01-10 23:32:46,1
mem015:1=>0;mem017:N=>Y;cash:928576.0000,1,1,2021-01-08 23:11:32,2021-01-08 23:11:32,1
mem015:2=>0;mem017:N=>Y;cash:11700.0000=,1,1,2021-05-25 21:10:11,2021-05-25 21:10:11,1
mem015:2=>0;mem017:N=>Y;cash:14800.0000=,1,1,2021-07-07 17:56:09,2021-07-07 17:56:09,1
mem016:N=>Y;cash:33209.5000=>31209.5000;,1,1,2020-06-17 02:34:14,2020-06-17 02:34:14,1
mem015:2=>0;mem017:N=>Y;cash:50000.0000=,1,1,2022-02-20 22:34:46,2022-02-20 22:34:46,1
mem015:1=>0;mem017:N=>Y;cash:61976.0000=,1,1,2021-01-07 23:20:23,2021-01-07 23:20:23,1
mem015:2=>0;mem017:N=>Y;cash:8059.5000=>,1,1,2021-05-01 22:13:03,2021-05-01 22:13:03,1
mem015:0=>1;mem017:Y=>N;cash:39309.5000=,1,1,2021-07-22 19:05:28,2021-07-22 19:05:28,1
mem015:2=>0;mem017:N=>Y;cash:645608.0000,1,1,2021-07-30 13:46:21,2021-07-30 13:46:21,1
mem015:2=>0;mem017:N=>Y;cash:6075.0000=>,1,1,2021-05-07 19:36:09,2021-05-07 19:36:09,1
mem015:1=>0;mem017:N=>Y;cash:539134.0000,1,1,2021-01-08 22:35:17,2021-01-08 22:35:17,1
mem015:2=>0;mem017:N=>Y;cash:24800.0000=,1,1,2022-01-15 16:37:44,2022-01-15 16:37:44,1
mem015:0=>1;mem017:Y=>N;cash:1904048.500,1,1,2021-01-04 01:48:16,2021-01-04 01:48:16,1
mem015:2=>0;mem017:N=>Y;cash:3563468.000,1,1,2021-05-09 07:08:01,2021-05-09 07:08:01,1
mem015:2=>0;mem017:N=>Y;cash:907000.0000,1,1,2020-04-24 10:09:01,2020-04-24 10:09:01,1
mem015:2=>1;,1,1,2020-06-29 23:05:30,2020-06-29 23:05:30,1
