表名,估计行数,表注释,处置
ods_a168_wallet_reporter_copy,182452,,副本表·禁用
ods_a168_agent_bak20250610,43244,,备份表·禁用
ods_a168_agent_dtl_test,57,,测试表·禁用
ods_a168_agent_test,30,,测试表·禁用
ods_a168_game_demoipsetting,16,,演示表·须确认
