lv3,线下规模,真实流水,退水支出,链下游戏输赢,退水消耗比,下线留存,新增会员质量,新增会员数,对打渗透率,赏,罚,综合分
24239,359,95321176.24877933,0.0,-2447938.477600096,0.0,0.5106383,2300.575848874447,234.0,0.0,87.49576817069364,42.90942537638573,44.58634279430791
266,369,50934115.80481491,0.0,-1246597.8559199984,0.0,0.5089286,1177.297134014806,216.0,0.0,85.39707268503403,42.90942537638573,42.487647308648306
24226,2146,81095097.66799158,0.0,-1377516.2227827406,0.0,0.3171997,390.560529824235,1512.0,0.0,80.35729537245935,42.90942537638573,37.44786999607362
6151,197,16791576.05572872,0.0,-311407.6237017716,0.0,0.5172414,791.881377823639,114.0,0.0,79.87447707016948,42.90942537638573,36.96505169378375
37278,97,20695800.36981404,0.0,-682092.1700617543,0.0,0.4590164,10970.71618660254,54.0,0.0,79.73301534831297,42.90942537638573,36.82358997192725
33850,338,12073230.431505572,0.0,-337357.7202170792,0.0,0.5945946,480.562185087027,271.0,0.0,78.71919237679492,42.90942537638573,35.809767000409195
14021,505,33807090.824551,0.0,-762226.8985315464,0.0,0.4208955,281.973106096623,307.0,0.0,78.12613656861626,42.90942537638573,35.216711192230534
6351,465,14804034.858703248,0.0,-450350.8016361323,0.0,0.4,638.786414248672,315.0,0.0,77.85377622274919,42.90942537638573,34.94435084636346
21043,107,11682674.5,0.0,-305042.8,0.0,0.484375,1661.057462686567,67.0,0.0,77.66964410456751,42.90942537638573,34.76021872818178
870,688,31577543.11387336,0.0,-736936.9277131726,0.0,0.3588517,373.403573940468,430.0,0.0,77.60671176601063,42.90942537638573,34.69728638962491
24231,69,20645905.465581447,0.0,-727200.2711770704,0.0,0.4186047,1804.715500203187,45.0,0.0,76.80595834034715,42.90942537638573,33.89653296396142
4806,38,54852243.66440699,0.0,-1076967.0136513778,0.0,0.3846154,2592.993078894195,19.0,0.0,76.76864292624546,42.90942537638573,33.859217549859736
33894,538,28733466.0,0.0,-254381.55,0.0,0.3011583,589.2567695962,421.0,0.0,76.70488775814158,42.90942537638573,33.795462381755854
14796,92,18664242.64622704,0.0,-506015.7510247369,0.0,0.4090909,1294.552478340231,54.0,0.0,76.5951520464731,42.90942537638573,33.68572667008738
3419,141,8600859.844726156,0.0,-275331.7483019551,0.0,0.5,686.315710746836,106.0,0.0,76.10441330370394,42.90942537638573,33.19498792731821
41573,49,10111213.5,0.0,-554309.75,0.0,0.4333333,17260.84107142857,28.0,0.0,75.90416822477067,42.90942537638573,32.994742848384945
55838,675,15694513.753491126,0.0,-491843.5702846485,0.0,0.3937947,284.266124021117,447.0,0.0,75.28636727721748,42.90942537638573,32.37694190083175
937,216,17438685.50423231,0.0,-515874.9778642112,0.0,0.3235294,1177.122071013302,169.0,0.0,75.1465474486447,42.90942537638573,32.23712207225897
43710,1475,24886879.50530325,0.0,-533493.5620406703,0.0,0.2939189,331.781929173742,1001.0,0.0,75.05720077530502,42.90942537638573,32.14777539891929
12407,36,8254612.568260758,0.0,-201524.7342677334,0.0,0.48,4596.264848809447,19.0,0.0,74.25778609519742,42.90942537638573,31.34836071881169
24757,594,12518895.5,0.0,-153615.05,0.0,0.3421053,387.980656108597,442.0,0.0,73.9935646068061,42.90942537638573,31.084139230420377
53209,106,28365097.0,0.0,-585054.55,0.0,0.5070423,205.536153846154,65.0,0.0,73.70982021645123,42.90942537638573,30.800394840065508
9725,1188,31629502.5,0.0,-591262.5,0.0,0.318264,162.949100529101,945.0,0.0,73.35806999963472,42.90942537638573,30.448644623248995
24227,352,16119296.839214101,0.0,-291885.9865490654,0.0,0.35,390.602991378384,247.0,0.0,73.32599659344802,42.90942537638573,30.416571217062298
45491,17,39029974.66529512,0.0,-465236.9337145821,0.0,0.3333333,35094.7152134096,8.0,0.0,73.17614088046903,42.90942537638573,30.266715504083308
494,2459,66198411.0,0.0,-1522254.7,0.0,0.2273699,206.903590192644,1713.0,0.0,72.99225636431352,42.90942537638573,30.082830987927792
6722,37,22401455.662329245,0.0,-428319.4181801194,0.0,0.5217391,334.309491755571,21.0,0.0,72.34450310321597,42.90942537638573,29.435077726830244
20678,33,3465892.504448025,0.0,-114239.1937238162,0.0,0.6086957,971.479133336437,19.0,0.0,72.09785194415605,42.90942537638573,29.18842656777032
14507,266,8958029.648516612,0.0,-207556.3042089978,0.0,0.5030303,172.959019738167,163.0,0.0,72.07312751673808,42.90942537638573,29.163702140352356
41566,68,20743465.561976064,0.0,-278581.2206983389,0.0,0.2857143,4006.205138559036,66.0,0.0,72.06480225165328,42.90942537638573,29.15537687526755
18770,90,19177847.94050959,0.0,-622847.2728597804,0.0,0.4677419,264.097439189732,44.0,0.0,71.55340144930975,42.90942537638573,28.64397607292402
7176,232,9072393.978695348,0.0,-178449.5050986152,0.0,0.3387097,489.724417789711,164.0,0.0,71.40588242161184,42.90942537638573,28.49645704522611
53703,2540,15314145.414632138,0.0,-455298.3964835688,0.0,0.2857143,179.363067471358,2538.0,0.0,71.30395511756672,42.90942537638573,28.39452974118099
9989,82,2565852.0,0.0,-115117.1,0.0,0.4,1209.891538461538,65.0,0.0,70.71698109299632,42.90942537638573,27.807555716610594
26487,12,6948197.500950092,0.0,-226978.5818305526,0.0,0.4285714,34724.88174787319,6.0,0.0,70.47688432673526,42.90942537638573,27.567458950349533
39218,69,3061971.126414442,0.0,-130697.2573776564,0.0,0.4615385,698.640841185536,42.0,0.0,70.4685317595259,42.90942537638573,27.559106383140175
436,20,4033885.5,0.0,-101460.0,0.0,0.6666667,1030.621428571429,14.0,0.0,70.41968260997767,42.90942537638573,27.510257233591943
38506,317,11451413.29055873,0.0,-23122.3188041847,0.0,0.4478528,134.189834817199,226.0,0.0,70.33385037908529,42.90942537638573,27.424425002699564
7196,54,5273765.5,0.0,-199786.4,0.0,,3699.748148148148,54.0,0.0,70.17008031092537,42.90942537638573,27.260654934539645
30827,28,3114076.009732616,0.0,-190326.5544578248,0.0,0.4761905,1384.581450286795,20.0,0.0,70.02286223423265,42.90942537638573,27.11343685784692
40552,6,7407868.534578297,0.0,-262031.2899810425,0.0,0.6,2598.9777354241,1.0,0.0,69.87938580387434,42.90942537638573,26.969960427488616
14743,1502,18012687.904201835,0.0,-480835.1976115771,0.0,0.2895706,106.090022899409,1072.0,0.0,69.11508353885245,42.90942537638573,26.20565816246672
21052,1145,33612038.22091816,0.0,-621976.5536621327,0.0,0.3805419,16.390185797516,643.0,0.0,68.97297033181685,42.90942537638573,26.063544955431126
53695,196,15812707.99642606,0.0,-460076.196196613,0.0,0.3015873,324.482838348009,119.0,0.0,68.94507320923482,42.90942537638573,26.035647832849094
50764,489,33417444.652468685,0.0,-249230.426220003,0.0,0.1769912,381.413813623519,386.0,0.0,68.2037518014695,42.90942537638573,25.294326425083767
45871,6,279650.7626831053,1.472779872,1470.8831349116,-0.001001289523,0.3333333,,,0.0,44.604422341648615,19.561407755240353,25.043014586408262
5449,368,1817509.7138560568,0.0,-76605.3206086897,0.0,0.3648649,248.360626752991,224.0,0.0,66.8080267116455,42.90942537638573,23.89860133525977
2906,64,1275493.765949936,0.0,-90391.2723390855,0.0,0.3589744,1126.603367059504,45.0,0.0,66.69684304592292,42.90942537638573,23.78741766953719
56399,1,4603469.387194549,0.0,-140244.9763853581,0.0,1.0,140244.9763853581,1.0,0.0,66.69093637249286,42.90942537638573,23.78151099610713
26135,31,2353883.795846104,0.0,17393.5185664501,0.0,0.5,412.655529893633,24.0,0.0,66.5741548297835,42.90942537638573,23.66472945339777
42999,4981,27922828.71793443,0.0,-500958.8238003006,0.0,0.234732,53.648737949764,3857.0,0.0,66.54509218891866,42.90942537638573,23.635666812532932
43415,891,11753328.606732292,0.0,-155234.881046623,0.0,0.2747036,132.62604060467,620.0,0.0,66.49091630072405,42.90942537638573,23.581490924338325
21049,3401,173841688.11555853,0.0,-2908591.4871456707,0.0,0.4826318,296.124676110339,1710.0,0.0007087172218284905,86.01133377092049,62.46986493682529,23.5414688340952
7688,162,12410723.850460147,0.0,-166106.4665675565,0.0,0.3983051,96.292958311179,80.0,0.0,66.1415253640503,42.90942537638573,23.23209998766457
28153,932,147265864.8082679,0.0,-2864470.6971150087,0.0,0.4672,639.993454241566,536.0,0.0024813895781637717,86.33857327005265,63.23909570605606,23.099477563996587
9924,264,5687896.5,0.0,-160222.7,0.0,0.2608696,392.616341463415,205.0,0.0,65.71409554086638,42.90942537638573,22.804670164480655
12277,15,30170252.314071212,0.0,-435163.7112462073,0.0,0.2,24019.401366117443,7.0,0.0,65.12831151234565,42.90942537638573,22.21888613595992
26488,7,2974597.1817973712,0.0,-60165.2167653074,0.0,0.6,574.50622334755,2.0,0.0,65.05079889782265,42.90942537638573,22.14137352143692
4327,18,1263496.234816758,0.0,-87135.3082507243,0.0,0.5555556,527.385047644031,13.0,0.0,64.64394452057658,42.90942537638573,21.734519144190855
24110,34,540304.0500026997,0.0,-29525.1174829871,0.0,0.4,1223.341376049313,24.0,0.0,64.62556077622388,42.90942537638573,21.71613539983815
11848,470,7818402.578066276,0.0,-194651.557551202,0.0,0.2857143,137.260936062279,301.0,0.0,64.53333137511198,42.90942537638573,21.623905998726258
1256,197,4438723.5,0.0,-123665.7,0.0,0.2826087,330.725182481752,137.0,0.0,64.3392415130875,42.90942537638573,21.429816136701774
