class_def,member_class,n_members,members_pct
洁净=rn1∧cat1∧bet38N∧守门∧非测试,1_幽灵会员_数值守门,2,0.0003
洁净=rn1∧cat1∧bet38N∧守门∧非测试,2_幽灵会员_非一般单或重对单,60,0.0083
洁净=rn1∧cat1∧bet38N∧守门∧非测试,3_幽灵会员_纯测试线,53,0.0073
洁净=rn1∧cat1∧bet38N∧守门∧非测试,4_指标污染会员,21928,3.0306
洁净=rn1∧cat1∧bet38N∧守门∧非测试,5_洁净无损会员,701514,96.9535
