member_id,action_date,field_name,value_before,value_after,n_days_post,n_days_pre,stake_post,stake_pre,ggr_post,ggr_pre,field_grp
117964287,2026-07-07,mem015,2,0,8,38,64321.0411,264201.1921,-426.896500000001,-42899.5146,mem015
117964287,2026-07-07,mem017,N,Y,8,38,64321.0411,264201.1921,-426.896500000001,-42899.5146,mem017
118885977,2026-06-30,mem015,0,1,8,13,4375645.6502,4271098.303,63184.2767,57451.107,mem015
118885977,2026-06-30,mem017,Y,N,8,13,4375645.6502,4271098.303,63184.2767,57451.107,mem017
118885977,2026-07-06,mem015,1,0,7,13,4313096.9194,4271098.303,89542.2426,57451.107,mem015
118885977,2026-07-06,mem017,N,Y,7,13,4313096.9194,4271098.303,89542.2426,57451.107,mem017
118885977,2026-07-08,mem015,0,1,6,15,3733637.5068,4913106.4464,108986.9277,11648.456,mem015
118885977,2026-07-08,mem017,Y,N,6,15,3733637.5068,4913106.4464,108986.9277,11648.456,mem017
118885977,2026-07-10,mem015,1,0,5,15,3404520.2929,4913106.4464,88021.8406,11648.456,mem015
118885977,2026-07-10,mem017,N,Y,5,15,3404520.2929,4913106.4464,88021.8406,11648.456,mem017
121086696,2026-04-28,101-mem015,4,3,4,0,94063.743,0,7907.2042,0,10x-mem015（分产品限额）
121125993,2026-05-05,conwinprompt,3,0,68,26,79951738.9138,16876062.2523,1945710.5174,518204.9513,conwinprompt
122313879,2026-05-22,mem015,2,0,70,62,485970.0884,475868.1463,2367.5596,-10937.3485,mem015
122313879,2026-05-22,mem017,N,Y,70,62,485970.0884,475868.1463,2367.5596,-10937.3485,mem017
122640657,2026-04-12,mem015,0,1,94,22,275637.3141,135857.1654,13939.1316,-2147.9084,mem015
122640657,2026-04-12,mem017,Y,N,94,22,275637.3141,135857.1654,13939.1316,-2147.9084,mem017
122640657,2026-04-23,mem015,1,0,94,23,275637.3141,137332.8492,13939.1316,-2438.4281,mem015
122640657,2026-04-23,mem017,N,Y,94,23,275637.3141,137332.8492,13939.1316,-2438.4281,mem017
123467418,2026-05-06,101-mem015,"1,3,4","3,4",27,2,196853.1781,2496.5084,1126.3776,-111.7319,10x-mem015（分产品限额）
123467418,2026-05-07,101-mem015,"3,4","1,3,4",26,3,191336.4183,9567.0391,1714.7156,-78.5615,10x-mem015（分产品限额）
123949950,2026-05-02,101-mem015,"4,31","1,2,4,30,31,36",7,21,39010.2959,392879.6981,17645.9276,-5391.7266,10x-mem015（分产品限额）
123949950,2026-05-02,102-mem015,"8,34","5,6,8,33,34,39",7,21,39010.2959,392879.6981,17645.9276,-5391.7266,10x-mem015（分产品限额）
123949950,2026-05-02,103-mem015,"13,254","10,11,13,42,254,44",7,21,39010.2959,392879.6981,17645.9276,-5391.7266,10x-mem015（分产品限额）
