treat_field,n,in_S01,marked,hedge_ge20,shared_ip_ge10,L5,L1_L4,sum_d_revenue
mem015,111,111,4,1,14,84,27,5859995
mem017,24,24,1,3,15,24,0,-1023679
mem016,51,51,0,1,17,48,3,-400533
