table,census_verdict,pack_credibility,pack_usage,pack_mcode,pack_entity,rows,ncol,n_own
P_player_month.csv,PER_ROW,WRONG_GRAIN,NOT_FOR_DECISION,M15,会员,1030097,136,18
QSB_01a_category_census.csv,BROADCAST_CONSTANT,INVALID,NOT_FOR_DECISION,M14,全窗/元数据,2,149,31
QSB_01c_cat1_contamination.csv,PER_ROW,OK,SUPPORT,M14,产品,23,137,19
QSB_02a_lowcard_fields.csv,PER_ROW,INVALID,NOT_FOR_DECISION,M14,全窗/元数据,1,145,27
QSB_02b2_lowcard_five_gates.csv,BROADCAST_CONSTANT,INVALID,NOT_FOR_DECISION,M14,全窗/元数据,29,146,28
QSB_02b_state_cross.csv,BROADCAST_CONSTANT,INVALID,NOT_FOR_DECISION,M14,全窗/元数据,29,136,18
QSB_02c_push_by_family.csv,BROADCAST_CONSTANT,INVALID,NOT_FOR_DECISION,M14,会员,8,137,19
R01_late_shoe.csv,PER_ROW,OK,PRIMARY,M03,会员,92412,142,24
R01_late_shoe_w2.csv,PER_ROW,OK,PRIMARY,M03,会员,16897,142,24
R01anm_shoe_anomaly.csv,PER_ROW,WRONG_GRAIN,NOT_FOR_DECISION,M03,桌台,377,138,20
R01chk_shoe_len_by_table.csv,PER_ROW,WRONG_GRAIN,NOT_FOR_DECISION,M03,桌台,30,155,37
R01inv_shoe_len_census.csv,PER_ROW,INVALID,NOT_FOR_DECISION,M03,桌台,1,146,28
R02_same_table.csv,PER_ROW,WRONG_GRAIN,NOT_FOR_DECISION,M01,会员,467723,139,21
R03_player_dealer.csv,PER_ROW,WRONG_GRAIN,NOT_FOR_DECISION,M07,会员,517528,160,42
R03b_player_dealer_daily_b1_to_b8.csv,PER_ROW,,,,,800000,151,33
R03chk_settlement_form.csv,BROADCAST_CONSTANT,OK,REFERENCE,M07,投注面,23,133,15
R03inv_pair_census.csv,BROADCAST_CONSTANT,INVALID,SCREENING,M07,会员配对,19,133,15
R_rebate_dist.csv,BROADCAST_CONSTANT,INVALID,NOT_FOR_DECISION,M05,全窗/元数据,37,130,12
S01_player_score.csv,PER_ROW,OK,PRIMARY,M15,会员,723442,146,28
S02_dealer_score.csv,PER_ROW,OK,SUPPORT,M07,荷官,299,136,18
S02b_dealer_pace.csv,PER_ROW,OK,SUPPORT,M07,荷官,299,130,12
S03_agent_score.csv,PER_ROW,INVALID,NOT_FOR_DECISION,M06,代理线,4191,35,16
S04_analyst_score.csv,BROADCAST_CONSTANT,NULL,NOT_FOR_DECISION,R01,风控专员,6,134,16
