column,n_tables
audit_rn,130
batch_id,130
run_id,130
snapshot_sync_time,130
admit_to_risk_decision,129
deliverable_class,129
stake,127
valid_bet,127
profit,127
rebate_cost,127
cost_complement_b,127
pct_complement,127
pct_top_bet23,127
agent_formula_version,127
ngr,127
residual_b,127
residual_a,127
hold_rate,127
first_seen,127
last_seen,127
active_days,127
n_bets,126
n_rounds,126
roi,126
roi_ex_rebate,126
roi_numerator,126
roi_denominator,126
roi_denominator_status,126
agent_level_scope,126
agent_cost_lv1,126
agent_cost_lv2,126
agent_cost_lv3,126
agent_cost_lv4,126
agent_cost_lv5,126
agent_pct_lv1,126
agent_pct_lv2,126
agent_pct_lv3,126
agent_pct_lv4,126
agent_pct_lv5,126
retain_pct_lv1,126
retain_pct_lv2,126
retain_pct_lv3,126
retain_pct_lv4,126
retain_pct_lv5,126
chain_depth_avg,126
agent_cost_chain_additive,126
agent_cost_chain_nested,126
residual_chain_additive,126
residual_chain_nested,126
decision_status,126
agent_cost_a_legacy,126
agent_cost_valid_base_legacy,126
ngr_rate,126
residual_b_rate,126
agent_cost_bet23_formal_canonical,126
net_margin_bet23_formal_canonical,126
net_margin_bet23_formal_rate_canonical,126
agent_cost_lv1_bet23_canonical,126
agent_cost_lv2_bet24_canonical,126
agent_cost_lv3_bet25_canonical,126
agent_cost_lv4_bet26_canonical,126
agent_cost_lv5_bet27_canonical,126
net_margin_lv1_bet23_canonical,126
net_margin_lv1_bet23_rate_canonical,126
agent_cost_chain_additive_canonical,126
agent_cost_chain_nested_canonical,126
net_margin_chain_additive_canonical,126
net_margin_chain_nested_canonical,126
net_margin_chain_additive_rate_canonical,126
net_margin_chain_nested_rate_canonical,126
residual_a_rate,126
avg_stake_per_bet,126
avg_valid_bet_per_round,126
avg_profit_per_round,126
avg_profit_per_day,126
avg_profit_per_shoe,126
avg_stake_per_active_day,126
avg_rounds_per_active_day,126
p25_stake,126
p50_stake,126
p75_stake,126
p90_stake,126
p95_stake,126
p99_stake,126
p50_valid_bet,126
p50_profit,126
p95_over_p50,126
p99_over_p50,126
avg_over_p50,126
common_table_count,126
common_dealer_count,126
common_ip_count,126
common_product_count,126
rebate_rate_actual,126
rebate_pct_config,126
turnover_multiple,126
free_comm_rate,126
active_shoes,126
active_sessions,126
span_days,126
persistence,126
stake_ramp,126
vip_tier,126
economic_value,126
roi_pr_global,126
risk_value,126
pr_stake,126
pr_global,126
pr_qualified,126
pr_qualified_population,126
pr_global_population_n,126
pr_qualified_population_n,126
pr_calculation_method,126
pr_calculation_version,126
evidence_flag,126
evidence_rate,126
hold_ci_halfwidth_approx,126
action_priority,126
ramp_recent,69
roi_recent,57
roi_non_recent,57
avg_stake_recent,57
avg_stake_non_recent,57
share_recent,57
hold_rate_recent,57
roi_delta_recent,57
ramp_recent_vs_prior,57
ramp_recent_vs_all,57
member_id,21
n_rows,21
roi_post,19
roi_non_post,19
avg_stake_post,19
avg_stake_non_post,19
share_post,19
hold_rate_post,19
roi_delta_post,19
ramp_post,19
roi_hiturn,18
roi_non_hiturn,18
avg_stake_hiturn,18
avg_stake_non_hiturn,18
share_hiturn,18
hold_rate_hiturn,18
roi_delta_hiturn,18
ramp_hiturn,18
n_orders,15
n_rounds_xagg,12
game_pnl,11
n_members,11
n_member,10
roi_freecomm,10
roi_non_freecomm,10
avg_stake_freecomm,10
avg_stake_non_freecomm,10
share_freecomm,10
hold_rate_freecomm,10
roi_delta_freecomm,10
ramp_freecomm,10
n_tables,9
roi_late,9
roi_non_late,9
avg_stake_late,9
avg_stake_non_late,9
share_late,9
hold_rate_late,9
roi_delta_late,9
ramp_late,9
net_pnl,8
n_ip,7
stake_xagg,7
table_id,7
scope,7
uid,7
bet_date,6
validbet,6
valid_bet_xagg,6
n_chain_key,6
sum_stake,6
n,6
表名,6
rebate,5
bet_ip,5
table_name,5
stake_sum,5
roi_xagg,5
dt,5
n_dates,5
n_bet09,5
late_def,4
bet09_value,4
n_days,4
roi_hedge,4
roi_non_hedge,4
avg_stake_hedge,4
avg_stake_non_hedge,4
share_hedge,4
hold_rate_hedge,4
roi_delta_hedge,4
ramp_hedge,4
sum_validbet,4
column_name,4
game_pnl_all,4
mem,4
validbet_sum,4
operator_id,4
roi_pre_rg,4
roi_non_pre_rg,4
avg_stake_pre_rg,4
avg_stake_non_pre_rg,4
share_pre_rg,4
hold_rate_pre_rg,4
roi_delta_pre_rg,4
ramp_pre_rg,4
n_bets_xagg,4
n_pnl_zero,4
field_name,4
dealer_id,4
action_time,4
is_baccarat_member,4
列名,4
first_dt,3
last_dt,3
n_lv1,3
n_lv2,3
n_lv3,3
n_lv4,3
n_lv5,3
n_lv3_chain,3
n_lv1_chain,3
n_lv2_chain,3
n_lv4_chain,3
n_lv5_chain,3
chain_spread,3
top_concentration,3
data_type,3
column_comment,3
evidence_source,3
evidence_grade,3
economic_path_status,3
stake_cv,3
commission,3
chain_key,3
n_orders_all,3
roi_alarm,3
roi_non_alarm,3
avg_stake_alarm,3
avg_stake_non_alarm,3
share_alarm,3
hold_rate_alarm,3
roi_delta_alarm,3
ramp_alarm,3
类别,3
层级,3
ggr_sum,3
win_rate,3
hold_pct,3
n_shoes,3
n_exact_refund,3
pct_pnl_zero,3
stake_all,3
p50,3
p90,3
p99,3
eligibility_status,3
filter_rule_version,3
value_before,3
value_after,3
行数,3
action_date,3
operator_lv,3
vb_sum,3
b41_sum,3
n_both_null,3
n_null_asym,3
n_value_diff,3
max_abs_diff,3
grp,3
估计行数,3
列序,3
ip,2
late_share_d,2
hedge_rate_d,2
stake_cv_d,2
n_b13_zero,2
n_b14_zero,2
n_b14_pos,2
b13_sum,2
m_a,2
m_b,2
n_same_round,2
n_opposite_round,2
opposite_rate,2
subnet_24,2
nd_bet04,2
nd_bet40,2
avg_bets_per_round,2
table_schema,2
bet_side,2
stake_total,2
player_pnl,2
house_hold_pct,2
n_dealer,2
ggr,2
rebate_rate,2
event_id,2
event_time,2
event_date,2
operator,2
operator_ip,2
event_type,2
action,2
n_rounds_all,2
net_pnl_all,2
hedge_rate,2
equal_n,2
unequal_n,2
ratio_p50,2
ym,2
bet09,2
涉实体数,2
最早,2
最晚,2
mark_day,2
前30日均_注单数,2
前30日均_洗码量,2
前30日活跃日数,2
scope_def,2
n_orders_pct,2
n_members_pct,2
stake_pct,2
validbet_pct,2
ggr_pct,2
rebate16_sum,2
rebate16_pct,2
rebate41_sum,2
ngr_by16,2
ngr_by16_pct,2
span_days_xagg,2
dt_day,2
category,2
src,2
sum_revenue,2
n_pairs,2
min_dt,2
max_dt,2
n_b14_null,2
n_vb_zero,2
n_commission,2
field_value,2
n_pnl_pos,2
n_pnl_neg,2
n_payout_zero,2
n_orders_late,2
late_share,2
shoe_pos_p50,2
stake_late_avg,2
stake_early_avg,2
roi_early,2
stake_late,2
game_pnl_late,2
roi_late_xagg,2
stake_ramp_xagg,2
shoe_id,2
avg_gap,2
p75,2
is_sentinel_dealer,2
stake_amount,2
profit_amount,2
n_related_orders,2
n_rounds_eff,2
p_base_mix_w,2
p_base_mix_unw,2
z_score_w,2
z_score_unw,2
z_score,2
delta_p,2
filter_stage,2
comparison_id,2
cmp_time_window,2
cmp_population,2
cmp_label,2
z_score_alias_status,2
pct,2
流水贡献,2
游戏输赢贡献,2
活跃稳定,2
退水支出,2
n_chain,2
lv1_id,2
lv2_id,2
lv3_id,2
lv4_id,2
lv5_id,2
f_upline_changed,2
TABLE_NAME,2
direction,2
ORDINAL_POSITION,2
COLUMN_NAME,2
DATA_TYPE,2
COLUMN_COMMENT,2
action_class,2
content,2
n_vb_null,2
n_vb_blank,2
sum_abs_diff,2
d_min,2
d_max,2
commission_value,2
verdict_stratum,2
top1_member_share_pct,2
top_date_share_pct,2
top_table_share_pct,2
verdict_concentration,2
表注释,2
存储类型,2
原始注释,2
scope_db,2
scope_pattern,2
scope_scanned_at,2
col_pos,2
lmc04_category,2
n_events,2
n_in_win,2
n_raw,1
n_g1,1
n_g2,1
n_g3,1
n_g4,1
n_g5,1
n_g6,1
n_g7,1
n_g8,1
n_any_test,1
mu0_global_dirty_ew_pct,1
mu0_global_clean_ew_pct,1
contamination_pp,1
n_groups,1
mu0_min_pct,1
mu0_max_pct,1
abs_min,1
abs_max,1
n_near_zero,1
spread_ratio,1
verdict_spread,1
n_b13_blank,1
n_b13_pos,1
n_b14_blank,1
n_both_pos,1
n_b13pos_b14zero,1
b14_sum,1
n_comm,1
verdict_nature,1
sec_elapsed,1
n_player,1
member_per_chain,1
member_per_lv1_chain,1
member_per_lv2_chain,1
member_per_lv4_chain,1
member_per_lv5_chain,1
member_per_lv3_chain,1
hedge_coverage,1
first_opposite_dt,1
last_opposite_dt,1
n_opposite_days,1
member_per_ip,1
vb_tail,1
vb_norm,1
roi_tail,1
roi_norm,1
roi_diff,1
sum_bet41,1
sum_bet16,1
r41_vb,1
r16_vb,1
r_vb_stake,1
avg_bet15_pct,1
n_41_eq_vb,1
n_41_eq_16,1
pct_41_eq_vb,1
verdict_bet41,1
nd_bet03,1
nd_bet39,1
min_bet04,1
max_bet04,1
min_bet39,1
max_bet39,1
nd_round_key,1
nd_shoe_table,1
verdict_key,1
avg_validbet,1
max_bet23,1
avg_bet23,1
max_bet27,1
max_bet28,1
avg_bet28,1
max_bet32,1
max_bet15,1
avg_sum_comm,1
verdict_dimension,1
n_b06_null,1
n_b08_null,1
n_negative,1
lat_min,1
lat_avg,1
lat_max,1
lat_p01,1
lat_p50,1
lat_p99,1
lat_sd,1
verdict_latency,1
ordinal_position,1
column_type,1
is_nullable,1
column_default,1
name_len,1
has_comment,1
n_occurrence_in_schema,1
n_tables_with_name,1
n_types_with_name,1
name_collision_class,1
in_bet01,1
in_bet02,1
n_columns_in_table,1
table_type,1
engine_name,1
n_columns,1
n_columns_commented,1
comment_coverage,1
n_rows_engine,1
avg_row_length,1
data_length,1
row_count_source,1
row_count_grade,1
probe_sql_exact_count,1
table_family,1
presence,1
type_bet01,1
type_bet02,1
comment_bet01,1
comment_bet02,1
ord_bet01,1
ord_bet02,1
ord_shift,1
type_match,1
comment_match,1
ruling_id,1
ruling_verdict,1
win_rate_base,1
avg_stake,1
product_code,1
validbet_total,1
rebate_total,1
order_share,1
stake_share,1
template_scope,1
segment,1
comm_scale,1
reb_scale,1
tenure_months,1
fn,1
member_login,1
table_ref,1
round_ref,1
whitelist_ip,1
is_cancel,1
content_len,1
type_code,1
val_before,1
val_after,1
summary,1
is_batch,1
stmt_len,1
window_id,1
n_member_raw,1
n_member_eff,1
n_prof_A,1
n_prof_B,1
n_prof_C,1
share_p50,1
share_p90,1
lv3,1
lv1,1
lv2,1
lv4,1
lv5,1
n_orders_ip,1
n_rounds_ip,1
stake_ip,1
game_pnl_ip,1
rebate_ip,1
net_pnl_ip,1
ip_order_share,1
is_seed,1
side_entropy,1
stake_p90_p50,1
rebate_dep,1
night_share,1
roi_game,1
seed_src,1
seed_id,1
seed_ip,1
creator,1
addtime,1
add_date,1
remarks,1
risk,1
orders,1
bet16_null,1
bet16_zero,1
bet16_nonzero,1
bet41_null,1
bet41_zero,1
bet41_nonzero,1
both_zero_n,1
b16zero_b41pos_n,1
both_pos_n,1
b16pos_b41zero_n,1
diff_min,1
diff_p50,1
diff_p90,1
diff_p99,1
diff_max,1
ratio_min,1
ratio_p01,1
ratio_p99,1
ratio_max,1
bet10,1
b16_nonzero_n,1
b41_nonzero_n,1
avg_b16,1
avg_b41,1
avg_diff,1
p50_b16,1
p50_b41,1
comparable_n,1
plausible_n,1
r41_p01,1
r41_p50,1
r41_p90,1
r41_p99,1
r16_p50,1
r16_p99,1
hypothesis,1
exact_match_n,1
exact_match_rate,1
abs_err_p50,1
abs_err_p95,1
abs_err_p99,1
abs_err_max,1
取样端,1
異動時間,1
实体ID,1
操作者,1
操作者LV,1
操作IP,1
内容原文,1
内容前40字,1
其中层级7数,1
日志行数,1
去重实体数,1
实体ID为0之脏行,1
命中注单会员数,1
命中去重实体数,1
窗口内行数,1
产品口径,1
正例观测数_会员日,1
正例会员数_去重,1
覆盖日数,1
首个正例日,1
末个正例日,1
标记次数,1
会员数,1
累计会员数,1
标记日_注单数,1
标记日_洗码量,1
首投日,1
末投日,1
活跃日数,1
标记距首投_日,1
末投距标记_日,1
时点性质,1
anchor_day,1
特征窗起,1
特征窗止,1
结果窗起,1
结果窗止,1
label_b_未来14日被标记,1
label_a_当日被标记,1
参照日,1
参照日_注单数,1
参照日_洗码量,1
player_id,1
total_orders,1
late_orders,1
late_ratio,1
win_orders,1
profit_xagg,1
late_stake_share,1
stake_ramp_day,1
mark_dt,1
censor_flag,1
active_days_xagg,1
day_orders,1
day_stake,1
day_vb,1
day_pnl,1
entry_pos_p50,1
exit_pos_p50,1
bet_density_p50,1
entry_round_avg,1
target_id,1
change_time,1
content_full,1
sql_full,1
n_rg_true,1
n_biz_control,1
n_nonblank,1
treat_time,1
treat_field,1
n_treat_events,1
n_pre,1
n_post,1
d_pre,1
d_post,1
stake_pre,1
stake_post,1
d_stake,1
d_validbet,1
d_revenue,1
hold_pre_pct,1
hold_post_pct,1
d_hold_pct,1
roi_pre,1
d_roi,1
d_bets_per_day,1
verdict_exposure,1
roi_post_xagg,1
cohort,1
phase,1
revenue_per_member,1
share_of_stake_pct,1
share_of_revenue_pct,1
prev_outcome,1
n_negative_gap,1
gap_p10,1
gap_p50,1
gap_p90,1
gap_avg,1
ratio_p90,1
ratio_avg,1
n_double_up,1
pct_double_up,1
roi_loss,1
roi_non_loss,1
avg_stake_loss,1
avg_stake_non_loss,1
share_loss,1
hold_rate_loss,1
roi_delta_loss,1
ramp_loss,1
n_active_days,1
bets_per_day,1
n_bet_types,1
n_comm_mode,1
first_date,1
last_date,1
