rb_band,n,stake,valid_bet,ggr_gross,rebate,ngr,hold_gross_pct,ngr_rate_pct,n_rounds,ci_halfwidth_pp,n_ngr_negative,L5_share
"(0,0.5%)",1028,22844808,20561023,161012,61683,99329,0.705,0.435,143540,0.491,354,0.992
0,704826,12339246290,11113499670,212358807,0,212358807,1.721,1.721,87324437,0.02,209917,0.994
"[0.5%,1%)",16120,1006231356,906087635,20893887,7545104,13348782,2.076,1.327,4042482,0.093,4740,0.985
"[1%,1.5%)",1468,67771020,61396837,739251,613968,125283,1.091,0.185,93098,0.61,470,0.999
