cohort,n,stake,ggr_gross,ngr,rebate,hold_gross_pct,ngr_rate_pct,n_rounds,ci_pp
人工标记史>0=TRUE,127,190442547,2110607,934747,1175860,1.108,0.491,653873,0.23
人工标记史>0=FALSE,723315,13245650927,232042350,224997454,7044896,1.752,1.699,90949684,0.02
K01b_seed_manual 125 名在 S01=TRUE,124,184656128,1974551,840984,1133567,1.069,0.455,649177,0.231
K01b_seed_manual 125 名在 S01=FALSE,723318,13251437346,232178406,225091218,7087188,1.752,1.699,90954380,0.02
