rb_band,n,stake,valid_bet,ggr,rebate,ngr,hold_pct,ngr_pct,n_ngr_neg
"(0,0.5%)",1028,22844808,20561023,99329,61683,37646,0.435,0.165,360
0,704826,12339246290,11113499670,212358807,0,212358807,1.721,1.721,209917
"[0.5%,1%)",16120,1006231356,906087635,13348782,7545104,5803678,1.327,0.577,5023
"[1%,1.5%)",1468,67771020,61396837,125283,613968,-488686,0.185,-0.721,493
