table,bytes,ncol,theo,adt,nmpt,esi,roi,net_margin,economic_value,hold,ggr_ngr,rebate,commission,stake,valid_bet,profit_pnl,cost,tip,treatment,before_after,count_entity,n_hits
DICT_01a_bet41_tri.csv,4034,141,,,,,roi;roi_hiturn;roi_non_hiturn;roi_ex_rebate;roi_numerator;roi_denominator;roi_denominator_status;roi_delta_hiturn;roi_pr_global,net_margin_bet23_formal_canonical;net_margin_bet23_formal_rate_canonical;net_margin_lv1_bet23_canonical;net_margin_lv1_bet23_rate_canonical;net_margin_chain_additive_canonical;net_margin_chain_nested_canonical;net_margin_chain_additive_rate_canonical;net_margin_chain_nested_rate_canonical,economic_value,hold_rate;hold_rate_hiturn;hold_ci_halfwidth_approx,ngr;ngr_rate,roi_ex_rebate;rebate_cost;rebate_rate_actual;rebate_pct_config,,sum_stake;r_vb_stake;stake;avg_stake_per_bet;avg_stake_per_active_day;avg_stake_hiturn;avg_stake_non_hiturn;p25_stake;p50_stake;p75_stake;p90_stake;p95_stake,sum_validbet;valid_bet;avg_valid_bet_per_round;p50_valid_bet,profit;avg_profit_per_round;avg_profit_per_day;avg_profit_per_shoe;p50_profit,rebate_cost;cost_complement_b;agent_cost_lv1;agent_cost_lv2;agent_cost_lv3;agent_cost_lv4;agent_cost_lv5;agent_cost_chain_additive;agent_cost_chain_nested;agent_cost_a_legacy;agent_cost_valid_base_legacy;agent_cost_bet23_formal_canonical,,,roi_delta_hiturn,common_dealer_count,72
DICT_01b_roundkey_card.csv,3984,141,,,,,roi;roi_recent;roi_non_recent;roi_ex_rebate;roi_numerator;roi_denominator;roi_denominator_status;roi_delta_recent;roi_pr_global,net_margin_bet23_formal_canonical;net_margin_bet23_formal_rate_canonical;net_margin_lv1_bet23_canonical;net_margin_lv1_bet23_rate_canonical;net_margin_chain_additive_canonical;net_margin_chain_nested_canonical;net_margin_chain_additive_rate_canonical;net_margin_chain_nested_rate_canonical,economic_value,hold_rate;hold_rate_recent;hold_ci_halfwidth_approx,ngr;ngr_rate,roi_ex_rebate;rebate_cost;rebate_rate_actual;rebate_pct_config,,stake;avg_stake_per_bet;avg_stake_per_active_day;avg_stake_recent;avg_stake_non_recent;p25_stake;p50_stake;p75_stake;p90_stake;p95_stake;p99_stake;stake_ramp,valid_bet;avg_valid_bet_per_round;p50_valid_bet,profit;avg_profit_per_round;avg_profit_per_day;avg_profit_per_shoe;p50_profit,rebate_cost;cost_complement_b;agent_cost_lv1;agent_cost_lv2;agent_cost_lv3;agent_cost_lv4;agent_cost_lv5;agent_cost_chain_additive;agent_cost_chain_nested;agent_cost_a_legacy;agent_cost_valid_base_legacy;agent_cost_bet23_formal_canonical,,,roi_delta_recent,common_dealer_count,69
DICT_01c_dimension.csv,4019,139,,,,,roi;roi_recent;roi_non_recent;roi_ex_rebate;roi_numerator;roi_denominator;roi_denominator_status;roi_delta_recent;roi_pr_global,net_margin_bet23_formal_canonical;net_margin_bet23_formal_rate_canonical;net_margin_lv1_bet23_canonical;net_margin_lv1_bet23_rate_canonical;net_margin_chain_additive_canonical;net_margin_chain_nested_canonical;net_margin_chain_additive_rate_canonical;net_margin_chain_nested_rate_canonical,economic_value,hold_rate;hold_rate_recent;hold_ci_halfwidth_approx,ngr;ngr_rate,roi_ex_rebate;rebate_cost;rebate_rate_actual;rebate_pct_config,,stake;avg_stake_per_bet;avg_stake_per_active_day;avg_stake_recent;avg_stake_non_recent;p25_stake;p50_stake;p75_stake;p90_stake;p95_stake;p99_stake;stake_ramp,avg_validbet;valid_bet;avg_valid_bet_per_round;p50_valid_bet,profit;avg_profit_per_round;avg_profit_per_day;avg_profit_per_shoe;p50_profit,rebate_cost;cost_complement_b;agent_cost_lv1;agent_cost_lv2;agent_cost_lv3;agent_cost_lv4;agent_cost_lv5;agent_cost_chain_additive;agent_cost_chain_nested;agent_cost_a_legacy;agent_cost_valid_base_legacy;agent_cost_bet23_formal_canonical,,,roi_delta_recent,common_dealer_count,70
DICT_01d_bet_latency.csv,47679,141,,,,,roi;roi_recent;roi_non_recent;roi_ex_rebate;roi_numerator;roi_denominator;roi_denominator_status;roi_delta_recent;roi_pr_global,net_margin_bet23_formal_canonical;net_margin_bet23_formal_rate_canonical;net_margin_lv1_bet23_canonical;net_margin_lv1_bet23_rate_canonical;net_margin_chain_additive_canonical;net_margin_chain_nested_canonical;net_margin_chain_additive_rate_canonical;net_margin_chain_nested_rate_canonical,economic_value,hold_rate;hold_rate_recent;hold_ci_halfwidth_approx,ngr;ngr_rate,roi_ex_rebate;rebate_cost;rebate_rate_actual;rebate_pct_config,,stake;avg_stake_per_bet;avg_stake_per_active_day;avg_stake_recent;avg_stake_non_recent;p25_stake;p50_stake;p75_stake;p90_stake;p95_stake;p99_stake;stake_ramp,valid_bet;avg_valid_bet_per_round;p50_valid_bet,profit;avg_profit_per_round;avg_profit_per_day;avg_profit_per_shoe;p50_profit,rebate_cost;cost_complement_b;agent_cost_lv1;agent_cost_lv2;agent_cost_lv3;agent_cost_lv4;agent_cost_lv5;agent_cost_chain_additive;agent_cost_chain_nested;agent_cost_a_legacy;agent_cost_valid_base_legacy;agent_cost_bet23_formal_canonical,,,roi_delta_recent,table_id;n_members;common_dealer_count,71
DICT_ALL_columns.csv,653078,27,,,,,,,,,,,,,,,,,,,,0
DICT_ALL_tables.csv,60868,23,,,,,,,,,,,,,,,,,,,,0
DICT_SEMANTIC_ruling.csv,22340,22,,,,,,,,,,,,,,,,,,,,0
DX04_bet09_profile.csv,32760,136,,,,,roi;roi_freecomm;roi_non_freecomm;roi_ex_rebate;roi_numerator;roi_denominator;roi_denominator_status;roi_delta_freecomm;roi_pr_global,net_margin_bet23_formal_canonical;net_margin_bet23_formal_rate_canonical;net_margin_lv1_bet23_canonical;net_margin_lv1_bet23_rate_canonical;net_margin_chain_additive_canonical;net_margin_chain_nested_canonical;net_margin_chain_additive_rate_canonical;net_margin_chain_nested_rate_canonical,economic_value,house_hold_pct;hold_rate;hold_rate_freecomm;hold_ci_halfwidth_approx,ngr;ngr_rate,roi_ex_rebate;rebate_cost;rebate_rate_actual;rebate_pct_config,,stake_total;avg_stake;stake_cv;stake;avg_stake_per_bet;avg_stake_per_active_day;avg_stake_freecomm;avg_stake_non_freecomm;p25_stake;p50_stake;p75_stake;p90_stake,valid_bet;avg_valid_bet_per_round;p50_valid_bet,player_pnl;profit;avg_profit_per_round;avg_profit_per_day;avg_profit_per_shoe;p50_profit,rebate_cost;cost_complement_b;agent_cost_lv1;agent_cost_lv2;agent_cost_lv3;agent_cost_lv4;agent_cost_lv5;agent_cost_chain_additive;agent_cost_chain_nested;agent_cost_a_legacy;agent_cost_valid_base_legacy;agent_cost_bet23_formal_canonical,,,roi_delta_freecomm,n_member;common_dealer_count,75
DX05_product_panorama.csv,8062,142,,,,,roi;roi_freecomm;roi_non_freecomm;roi_ex_rebate;roi_numerator;roi_denominator;roi_denominator_status;roi_delta_freecomm;roi_pr_global,net_margin_bet23_formal_canonical;net_margin_bet23_formal_rate_canonical;net_margin_lv1_bet23_canonical;net_margin_lv1_bet23_rate_canonical;net_margin_chain_additive_canonical;net_margin_chain_nested_canonical;net_margin_chain_additive_rate_canonical;net_margin_chain_nested_rate_canonical,economic_value,house_hold_pct;hold_rate;hold_rate_freecomm;hold_ci_halfwidth_approx,ggr;ngr;ngr_rate,rebate_total;rebate_rate;roi_ex_rebate;rebate_cost;rebate_rate_actual;rebate_pct_config,,stake_total;stake_share;stake;avg_stake_per_bet;avg_stake_per_active_day;avg_stake_freecomm;avg_stake_non_freecomm;p25_stake;p50_stake;p75_stake;p90_stake;p95_stake,validbet_total;valid_bet;avg_valid_bet_per_round;p50_valid_bet,player_pnl;profit;avg_profit_per_round;avg_profit_per_day;avg_profit_per_shoe;p50_profit,rebate_cost;cost_complement_b;agent_cost_lv1;agent_cost_lv2;agent_cost_lv3;agent_cost_lv4;agent_cost_lv5;agent_cost_chain_additive;agent_cost_chain_nested;agent_cost_a_legacy;agent_cost_valid_base_legacy;agent_cost_bet23_formal_canonical,,,roi_delta_freecomm,n_member;n_dealer;common_dealer_count,79
E02_segment_econ.csv,89275,136,,,,,roi;roi_hiturn;roi_non_hiturn;roi_ex_rebate;roi_numerator;roi_denominator;roi_denominator_status;roi_delta_hiturn;roi_pr_global,net_margin_bet23_formal_canonical;net_margin_bet23_formal_rate_canonical;net_margin_lv1_bet23_canonical;net_margin_lv1_bet23_rate_canonical;net_margin_chain_additive_canonical;net_margin_chain_nested_canonical;net_margin_chain_additive_rate_canonical;net_margin_chain_nested_rate_canonical,economic_value,hold_rate;hold_rate_hiturn;hold_ci_halfwidth_approx,ggr;ngr;ngr_rate,rebate;roi_ex_rebate;rebate_cost;rebate_rate_actual;rebate_pct_config,commission,stake;avg_stake_per_bet;avg_stake_per_active_day;avg_stake_hiturn;avg_stake_non_hiturn;p25_stake;p50_stake;p75_stake;p90_stake;p95_stake;p99_stake;stake_ramp,validbet;valid_bet;avg_valid_bet_per_round;p50_valid_bet,profit;avg_profit_per_round;avg_profit_per_day;avg_profit_per_shoe;p50_profit,rebate_cost;cost_complement_b;agent_cost_lv1;agent_cost_lv2;agent_cost_lv3;agent_cost_lv4;agent_cost_lv5;agent_cost_chain_additive;agent_cost_chain_nested;agent_cost_a_legacy;agent_cost_valid_base_legacy;agent_cost_bet23_formal_canonical,,,roi_delta_hiturn,n_member;common_dealer_count,74
EV01_disposal_events.csv,5326328,140,,,,,roi;roi_post;roi_non_post;roi_ex_rebate;roi_numerator;roi_denominator;roi_denominator_status;roi_delta_post;roi_pr_global,net_margin_bet23_formal_canonical;net_margin_bet23_formal_rate_canonical;net_margin_lv1_bet23_canonical;net_margin_lv1_bet23_rate_canonical;net_margin_chain_additive_canonical;net_margin_chain_nested_canonical;net_margin_chain_additive_rate_canonical;net_margin_chain_nested_rate_canonical,economic_value,hold_rate;hold_rate_post;hold_ci_halfwidth_approx,ngr;ngr_rate,roi_ex_rebate;rebate_cost;rebate_rate_actual;rebate_pct_config,,stake;avg_stake_per_bet;avg_stake_per_active_day;avg_stake_post;avg_stake_non_post;p25_stake;p50_stake;p75_stake;p90_stake;p95_stake;p99_stake;stake_ramp,valid_bet;avg_valid_bet_per_round;p50_valid_bet,profit;avg_profit_per_round;avg_profit_per_day;avg_profit_per_shoe;p50_profit,rebate_cost;cost_complement_b;agent_cost_lv1;agent_cost_lv2;agent_cost_lv3;agent_cost_lv4;agent_cost_lv5;agent_cost_chain_additive;agent_cost_chain_nested;agent_cost_a_legacy;agent_cost_valid_base_legacy;agent_cost_bet23_formal_canonical,,,roi_delta_post,operator_ip;whitelist_ip;common_dealer_count,71
EV02_member_disposal.csv,14479144,139,,,,,roi;roi_post;roi_non_post;roi_ex_rebate;roi_numerator;roi_denominator;roi_denominator_status;roi_delta_post;roi_pr_global,net_margin_bet23_formal_canonical;net_margin_bet23_formal_rate_canonical;net_margin_lv1_bet23_canonical;net_margin_lv1_bet23_rate_canonical;net_margin_chain_additive_canonical;net_margin_chain_nested_canonical;net_margin_chain_additive_rate_canonical;net_margin_chain_nested_rate_canonical,economic_value,hold_rate;hold_rate_post;hold_ci_halfwidth_approx,ngr;ngr_rate,roi_ex_rebate;rebate_cost;rebate_rate_actual;rebate_pct_config,,stake;avg_stake_per_bet;avg_stake_per_active_day;avg_stake_post;avg_stake_non_post;p25_stake;p50_stake;p75_stake;p90_stake;p95_stake;p99_stake;stake_ramp,valid_bet;avg_valid_bet_per_round;p50_valid_bet,profit;avg_profit_per_round;avg_profit_per_day;avg_profit_per_shoe;p50_profit,rebate_cost;cost_complement_b;agent_cost_lv1;agent_cost_lv2;agent_cost_lv3;agent_cost_lv4;agent_cost_lv5;agent_cost_chain_additive;agent_cost_chain_nested;agent_cost_a_legacy;agent_cost_valid_base_legacy;agent_cost_bet23_formal_canonical,,,val_before;val_after;roi_delta_post,common_dealer_count,71
