table,column,rows,sum,max_abs,ratio_to_stake,ratio_to_gross_ggr,units_verdict
B01_bt_panel.csv,game_pnl,2150000,56760577.9195999,992092.5,0.00422448519208828,0.242408118685749,PLAUSIBLE
B01_bt_panel.csv,net_pnl,2150000,60522368.0281469,992092.5,0.00450446166857538,0.258473643324966,PLAUSIBLE
B01_bt_panel.csv,rebate,2150000,3761790.10854315,51384.2507810079,0.000279976476486812,0.0160655246392007,PLAUSIBLE
B01_bt_panel.csv,validbet,2150000,4152425598.9042,15058404.461312,0.309050067789422,17.733816573163,PLAUSIBLE
B01_bt_panel_delta.csv,game_pnl,50811,-5454230.9605223,352773.949000691,-0.000405938747832931,-0.0232934532113216,PLAUSIBLE
B01_bt_panel_delta.csv,net_pnl,50811,-5358689.03368929,352773.949000691,-0.00039882790664838,-0.0228854210948762,PLAUSIBLE
B01_bt_panel_delta.csv,rebate,50811,95541.9268342009,9187.6292212231,0.00000711084118464009,0.00040803211645054,PLAUSIBLE
B01_bt_panel_delta.csv,validbet,50811,228720586.613419,6149337.02899095,0.0170228487215682,0.976799904754223,PLAUSIBLE
B_online_base.csv,game_pnl,836,-220797049.522624,2892875.65949661,-0.0164331284203331,-0.942960754591992,PLAUSIBLE
C01_ip_chain.csv,game_pnl,6752,-9123115.56686168,259945.746998588,-0.000679000602716009,-0.038962205146117,PLAUSIBLE
C01_ip_chain.csv,net_pnl,6752,-9016212.11662551,259592.483538326,-0.000671044164302968,-0.0385056512278417,PLAUSIBLE
C08_subnet_all.csv,game_pnl,45907,-174392219.484232,2148710.17326448,-0.0129793842104654,-0.744779059481831,PLAUSIBLE
C08_subnet_sparse.csv,game_pnl,38733,-46765807.3482758,1250842.79278299,-0.0034806104497154,-0.199723325477297,PLAUSIBLE
D03S_daily_roi_diff.csv,vb_tail,138,0,0,0,0,PLAUSIBLE
D03S_daily_roi_diff.csv,vb_norm,138,11395595429.2518,137813562.06897,0.848133086560413,48.6673136630445,PLAUSIBLE
DICT_01a_bet41_tri.csv,sum_stake,1,676911569948.81,676911569948.81,50.380087878114,2890.89481118984,EXCEEDS_PLATFORM_STAKE_3X
DICT_01a_bet41_tri.csv,sum_validbet,1,604032297697.17,604032297697.17,44.9559463749509,2579.64838056451,EXCEEDS_PLATFORM_STAKE_3X
DICT_01a_bet41_tri.csv,r41_vb,1,0.99999631,0.99999631,0.0000000000744261203563113,0.00000000427069690064036,PLAUSIBLE
DICT_01a_bet41_tri.csv,r16_vb,1,0.00002973,0.00002973,0.00000000000000221269672304404,0.000000000000126968287369018,PLAUSIBLE
DICT_01a_bet41_tri.csv,r_vb_stake,1,0.89233561,0.89233561,0.0000000000664133225732427,0.00000000381090898621219,PLAUSIBLE
DICT_01c_dimension.csv,avg_validbet,1,4807.2968,4807.2968,0.000000357789770469563,0.0000205305833020707,PLAUSIBLE
DX04_bet09_profile.csv,stake_total,23,13437354418.9953,7036869281.86005,1.00009384760485,57.387079628333,PLAUSIBLE
DX04_bet09_profile.csv,player_pnl,23,-234235007.599553,87142922.5587554,-0.0174332671960218,-1.0003504122699,PLAUSIBLE
DX04_bet09_profile.csv,avg_stake,23,819.835980385791,151.401172815247,0.000000061017436502968,0.00000350128390020464,PLAUSIBLE
DX05_product_panorama.csv,stake_total,8,18336101481.1825,13436093473.3333,1.36468993140987,78.3082207228478,CHECK
DX05_product_panorama.csv,validbet_total,8,16443456263.4131,12101545164.6445,1.22382717085678,70.2252768312451,CHECK
DX05_product_panorama.csv,player_pnl,8,-364904456.279483,234152957.1044,-0.0271585231965618,-1.55840208096633,CHECK
DX05_product_panorama.csv,ggr,8,364904456.279483,234152957.1044,0.0271585231965618,1.55840208096633,CHECK
DX05_product_panorama.csv,rebate_total,8,8781001.99904095,8220755.89183145,0.000653538323186044,0.0375011364010144,PLAUSIBLE
E02_segment_econ.csv,validbet,59,37388577726.2696,32722574953.1647,2.78269705395877,159.675872218899,CHECK
E02_segment_econ.csv,ggr,59,717125898.501069,588083646.484685,0.0533730953791904,3.06263865323408,CHECK
E02_segment_econ.csv,rebate,59,14896204415.3499,8131497798.06047,1.10867079366428,63.6174087761786,CHECK
E02_segment_econ.csv,commission,59,166768321421.914,148780405097.848,12.4119649619181,712.219581511818,EXCEEDS_PLATFORM_STAKE_3X
I_ip_agg.csv,net_pnl,8660,-16100058.7754843,1250842.79278299,-0.00119826933378172,-0.0687587248322831,PLAUSIBLE
I_ip_agg.csv,game_pnl,8660,-16612626.8498203,1250842.79278299,-0.00123641792774137,-0.0709477557962414,PLAUSIBLE
