n,module,CTE数_A,CTE数_B,CTE一致,六层表达式数,表达式一致,业务列数_A,业务列数_B,业务列一致,外层附加_A,外层附加_B,唯一合法差异
1,A_anchor.csv,4,4,True,63,True,68,68,True,audit_rn,audit_rn|batch_id,batch_id
2,B01_bt_panel.csv,9,9,True,63,True,77,77,True,audit_rn,audit_rn|batch_id,batch_id
3,B01_bt_panel_delta.csv,9,9,True,63,True,77,77,True,audit_rn,audit_rn|batch_id,batch_id
4,B4_2b_funnel_and_mu0.csv,10,10,True,63,True,89,89,True,audit_rn,audit_rn|batch_id,batch_id
5,B4_5b_tip_nature.csv,3,3,True,63,True,79,79,True,audit_rn,audit_rn|batch_id,batch_id
6,B_online_base.csv,9,9,True,63,True,70,70,True,audit_rn,audit_rn|batch_id,batch_id
7,C01_ip_chain.csv,7,7,True,63,True,71,71,True,audit_rn,audit_rn|batch_id,batch_id
8,C06_hedge_pairs.csv,10,10,True,63,True,70,70,True,audit_rn,audit_rn|batch_id,batch_id
9,C06d_hedge_pairs_dated.csv,9,9,True,63,True,72,72,True,audit_rn,audit_rn|batch_id,batch_id
10,C08_subnet_all.csv,7,7,True,63,True,71,71,True,audit_rn,audit_rn|batch_id,batch_id
11,C08_subnet_sparse.csv,7,7,True,63,True,71,71,True,audit_rn,audit_rn|batch_id,batch_id
12,D03S_daily_roi_diff.csv,9,9,True,63,True,70,70,True,audit_rn,audit_rn|batch_id,batch_id
13,DICT_01a_bet41_tri.csv,3,3,True,63,True,77,77,True,audit_rn,audit_rn|batch_id,batch_id
14,DICT_01b_roundkey_card.csv,3,3,True,63,True,77,77,True,audit_rn,audit_rn|batch_id,batch_id
15,DICT_01c_dimension.csv,3,3,True,63,True,75,75,True,audit_rn,audit_rn|batch_id,batch_id
16,DICT_01d_bet_latency.csv,3,3,True,63,True,77,77,True,audit_rn,audit_rn|batch_id,batch_id
17,DX04_bet09_profile.csv,5,5,True,63,True,72,72,True,audit_rn,audit_rn|batch_id,batch_id
18,DX05_product_panorama.csv,6,6,True,63,True,77,77,True,audit_rn,audit_rn|batch_id,batch_id
19,E02_segment_econ.csv,7,7,True,63,True,72,72,True,audit_rn,audit_rn|batch_id,batch_id
20,EV01_disposal_events.csv,3,3,True,63,True,76,76,True,audit_rn,audit_rn|batch_id,batch_id
21,EV02_member_disposal.csv,3,3,True,63,True,0,0,True,audit_rn,audit_rn|batch_id,batch_id
22,I_ip_agg.csv,9,9,True,63,True,77,77,True,audit_rn,audit_rn|batch_id,batch_id
23,I_ip_player.csv,8,8,True,63,True,77,77,True,audit_rn,audit_rn|batch_id,batch_id
