文件,行数,字节,行尾,编码,纯代码行,纯代码MD5
原版审计版 · v12.0.0-HF2,24781,2293736,CRLF,UTF-8,22788,cf1b29a3f7cf55b05f505c8cdd1254ab
分批作业版 · v12.0.0-HF2,52551,4770621,CRLF,UTF-8,45834,d0ca29bdc41676961fbe68b1f2c1182d
