commission_value,n_rows,n_members,n_bet_types,dt_min,dt_max,n_days,verdict_commission
0,115921830,702937,24,2026-03-21,2026-08-06,139,★ 主值
1,9732850,70024,16,2026-03-21,2026-08-06,139,★ 主值
-1,8,3,2,2026-07-20,2026-07-29,3,⚠ 哨兵值／脏数据——须追上游成因，禁入分母
-100,8,2,2,2026-07-21,2026-07-29,2,⚠ 哨兵值／脏数据——须追上游成因，禁入分母
2,8,4,2,2026-06-23,2026-07-30,4,⚠ 哨兵值／脏数据——须追上游成因，禁入分母
100,3,2,2,2026-07-21,2026-07-29,2,⚠ 哨兵值／脏数据——须追上游成因，禁入分母
999,3,1,2,2026-07-20,2026-07-20,1,⚠ 哨兵值／脏数据——须追上游成因，禁入分母
-999,1,1,1,2026-06-23,2026-06-23,1,⚠ 哨兵值／脏数据——须追上游成因，禁入分母
