文件,行数,字节,行尾,纯代码行,纯代码MD5
原版审计版 · v12.0.0 原件,23792,2188418,LF,22000,e3abd6bbb208a0c5c8e50fbb59125884
原版审计版 · v12.0.0-HF1+索引,23991,2211410,LF,22000,2596559487090b1f9024a1c5612bce92
分批作业版 · v12.0.0 原件,50788,4579157,LF,44258,dc2d710fb87386f12022fc8ee73d7865
分批作业版 · v12.0.0-HF1+索引,50987,4603507,LF,44258,db1dd8ae1521ef755bd3e349609798d1
