bet_side,n_orders,stake,valid_bet,profit,edge_vs_valid_bet,edge_vs_stake,ci95_halfwidth_crude,证据强度,口径
Banker,46478301,7036215458.73,6303633265.08,82070853.13,0.01301961,0.01166406,0.0002875,✓,realized（已实现，含运气）· 非理论 edge
Player,43887814,5909421558.44,5307694037.0,71752371.94,0.01351856,0.01214203,0.00029586,✓,realized（已实现，含运气）· 非理论 edge
Tie,9571591,150118908.24,150118908.24,22608595.72,0.15060458,0.15060458,0.00063353,✓,realized（已实现，含运气）· 非理论 edge
Super6,4610732,77420076.16,77420076.16,15927640.33,0.2057301,0.2057301,0.00091279,✓,realized（已实现，含运气）· 非理论 edge
BPair,5867803,72543341.91,72543341.91,7680957.44,0.10588094,0.10588094,0.00080913,✓,realized（已实现，含运气）· 非理论 edge
PPair,5724592,70638490.21,70638490.21,7476525.69,0.10584209,0.10584209,0.00081919,✓,realized（已实现，含运气）· 非理论 edge
Lucky7,4348061,62088490.81,62088490.81,11402436.03,0.18364814,0.18364814,0.00093996,✓,realized（已实现，含运气）· 非理论 edge
SuperLucky7,3129299,23009043.08,23009043.08,3833144.62,0.16659296,0.16659296,0.00110798,✓,realized（已实现，含运气）· 非理论 edge
Big,80110,11441559.13,11441559.13,799680.99,0.06989266,0.06989266,0.00692489,✓,realized（已实现，含运气）· 非理论 edge
PerfectPair,353630,6075113.75,6075113.75,409017.34,0.0673267,0.0673267,0.00329596,✓,realized（已实现，含运气）· 非理论 edge
BankerDragonBonus,205408,5129335.35,5036961.69,637494.68,0.12656334,0.12428407,0.00432461,✓,realized（已实现，含运气）· 非理论 edge
PlayerDragonBonus,175618,4415664.27,4337915.03,331486.25,0.07641603,0.07507053,0.00467705,✓,realized（已实现，含运气）· 非理论 edge
Small,22842,2321583.89,2321583.89,98606.81,0.04247394,0.04247394,0.01296848,✓,realized（已实现，含运气）· 非理论 edge
BankerNatural,61688,1835718.04,1805144.91,294272.9,0.16301899,0.16030398,0.00789143,✓,realized（已实现，含运气）· 非理论 edge
PlayerNatural,54591,1791490.24,1753592.67,341966.62,0.19500915,0.19088389,0.00838872,✓,realized（已实现，含运气）· 非理论 edge
AnyPair,153193,1627571.07,1627571.07,267150.71,0.16414074,0.16414074,0.00500768,✓,realized（已实现，含运气）· 非理论 edge
Bear8,1,10.0,10.0,0.0,0.0,0.0,1.96,⛔ n=1 无证据,realized（已实现，含运气）· 非理论 edge
Lucky7TwoCard,1,10.0,10.0,0.0,0.0,0.0,1.96,⛔ n=1 无证据,realized（已实现，含运气）· 非理论 edge
SmallTiger,1,10.0,10.0,0.0,0.0,0.0,1.96,⛔ n=1 无证据,realized（已实现，含运气）· 非理论 edge
SuperTie4,1,10.0,10.0,0.0,0.0,0.0,1.96,⛔ n=1 无证据,realized（已实现，含运气）· 非理论 edge
SuperTie5,1,10.0,10.0,0.0,0.0,0.0,1.96,⛔ n=1 无证据,realized（已实现，含运气）· 非理论 edge
SuperTie8,1,10.0,10.0,0.0,0.0,0.0,1.96,⛔ n=1 无证据,realized（已实现，含运气）· 非理论 edge
SuperTie9,1,10.0,10.0,0.0,0.0,0.0,1.96,⛔ n=1 无证据,realized（已实现，含运气）· 非理论 edge
