No,output,declared_cols,AVG_hits,RATE_hits,ROI_hits,RAMP_hits,has_avg,has_rate,has_roi,has_ramp,triage_class,missing_four
1,A_anchor.csv,5,,,,,False,False,False,False,DIAGNOSTIC/INFRA,"AVG, RATE, ROI, RAMP"
2,B01_bt_panel.csv,14,,hedge_rate_d,,,False,True,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, ROI, RAMP"
3,B01_bt_panel_delta.csv,14,,hedge_rate_d,,,False,True,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, ROI, RAMP"
4,B4_2b_funnel_and_mu0.csv,26,,g5_rate,,,False,True,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, ROI, RAMP"
5,B4_5b_tip_nature.csv,16,,,,,False,False,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, RATE, ROI, RAMP"
6,B_online_base.csv,7,,,,,False,False,False,False,DIAGNOSTIC/INFRA,"AVG, RATE, ROI, RAMP"
7,C01_ip_chain.csv,8,,,,,False,False,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, RATE, ROI, RAMP"
8,C06_hedge_pairs.csv,7,,opposite_rate,,,False,True,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, ROI, RAMP"
9,C06d_hedge_pairs_dated.csv,9,,opposite_rate,,,False,True,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, ROI, RAMP"
10,C08_subnet_all.csv,8,,,,,False,False,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, RATE, ROI, RAMP"
11,C08_subnet_sparse.csv,8,,,,,False,False,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, RATE, ROI, RAMP"
12,D03S_daily_roi_diff.csv,7,,,D03S_daily_roi_diff,,False,False,True,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, RATE, RAMP"
13,DICT_01a_bet41_tri.csv,14,,,,,False,False,False,False,DIAGNOSTIC/INFRA,"AVG, RATE, ROI, RAMP"
14,DICT_01b_roundkey_card.csv,14,,,,,False,False,False,False,DIAGNOSTIC/INFRA,"AVG, RATE, ROI, RAMP"
15,DICT_01c_dimension.csv,12,,,,,False,False,False,False,DIAGNOSTIC/INFRA,"AVG, RATE, ROI, RAMP"
16,DICT_01d_bet_latency.csv,14,lat_avg,,,,True,False,False,False,DIAGNOSTIC/INFRA,"RATE, ROI, RAMP"
17,DX04_bet09_profile.csv,9,,win_rate_base,,,False,True,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, ROI, RAMP"
18,DX05_product_panorama.csv,14,,rebate_rate,,,False,True,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, ROI, RAMP"
19,E02_segment_econ.csv,9,,rebate_rate_bkt,,,False,True,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, ROI, RAMP"
20,EV01_disposal_events.csv,13,,,,,False,False,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, RATE, ROI, RAMP"
21,EV02_member_disposal.csv,12,,,,,False,False,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, RATE, ROI, RAMP"
22,I_ip_agg.csv,14,,,,,False,False,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, RATE, ROI, RAMP"
23,I_ip_player.csv,14,,,,,False,False,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, RATE, ROI, RAMP"
24,K01_risk_feature_matrix.csv,15,,hedge_rate,,,False,True,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, ROI, RAMP"
25,K01b_seed_goldip.csv,2,,,,,False,False,False,False,DIAGNOSTIC/INFRA,"AVG, RATE, ROI, RAMP"
26,K01b_seed_manual.csv,2,,,,,False,False,False,False,DIAGNOSTIC/INFRA,"AVG, RATE, ROI, RAMP"
27,K01c_seed_dated.csv,6,,,,,False,False,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, RATE, ROI, RAMP"
28,L_label_dist.csv,6,,,,,False,False,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, RATE, ROI, RAMP"
29,P01A_crosstab.csv,13,,,,,False,False,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, RATE, ROI, RAMP"
30,P01B_diff_ratio.csv,11,,,,,False,False,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, RATE, ROI, RAMP"
31,P01C_split_by_dim.csv,14,,,,,False,False,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, RATE, ROI, RAMP"
32,P01D_vs_validbet.csv,9,,,,,False,False,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, RATE, ROI, RAMP"
33,P01E_identity_test.csv,8,,exact_match_rate,,,False,True,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, ROI, RAMP"
34,P02A_lmc_samples.csv,9,,,,,False,False,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, RATE, ROI, RAMP"
35,P02B_changestatus_patterns.csv,6,,,,,False,False,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, RATE, ROI, RAMP"
36,P02C_key_check.csv,8,,,,,False,False,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, RATE, ROI, RAMP"
37,P02D_events_in_window.csv,4,,,,,False,False,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, RATE, ROI, RAMP"
38,P0C02_标签口径.csv,6,,,,,False,False,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, RATE, ROI, RAMP"
39,P0C03_标记次数分布.csv,3,,,,,False,False,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, RATE, ROI, RAMP"
40,P0C04_同日泄漏检验.csv,7,,,,,False,False,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, RATE, ROI, RAMP"
41,P0C05_标记时点定位.csv,8,,,,,False,False,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, RATE, ROI, RAMP"
42,P0C06_LabelB骨架.csv,8,,,,,False,False,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, RATE, ROI, RAMP"
43,P0C09_安慰剂检验.csv,7,,,,,False,False,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, RATE, ROI, RAMP"
44,P11_阿泽尾段投注总帐.csv,21,,,,,False,False,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, RATE, ROI, RAMP"
45,P11_阿泽尾段投注模型会员名单.csv,9,,win_rate,,,False,True,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, ROI, RAMP"
46,P11_雷欧尾段投注总帐.csv,21,,,,,False,False,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, RATE, ROI, RAMP"
47,P12a_platform_daily.csv,9,,,,stake_ramp_day,False,False,False,True,BUSINESS/ANALYTIC CANDIDATE,"AVG, RATE, ROI"
48,P12b_member_events.csv,8,,,,,False,False,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, RATE, ROI, RAMP"
49,P12c_member_daily_pnl.csv,6,,,,,False,False,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, RATE, ROI, RAMP"
50,P13_personal_entry.csv,7,entry_round_avg,,,,True,False,False,False,BUSINESS/ANALYTIC CANDIDATE,"RATE, ROI, RAMP"
51,PH0_8r1_rg_case.csv,8,,,,,False,False,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, RATE, ROI, RAMP"
52,PH0_8r2_rg_crosstable.csv,5,,,,,False,False,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, RATE, ROI, RAMP"
53,PI01_treatment_delta_member.csv,21,,,d_roi,,False,False,True,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, RATE, RAMP"
54,PI02_treatment_delta_platform.csv,13,,,,,False,False,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, RATE, ROI, RAMP"
55,PI03_reinvest_loop.csv,13,"gap_avg, ratio_avg",,,,True,False,False,False,BUSINESS/ANALYTIC CANDIDATE,"RATE, ROI, RAMP"
56,PI04_member_5d_profile.csv,20,,,,,False,False,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, RATE, ROI, RAMP"
57,P_player_month.csv,9,,,,,False,False,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, RATE, ROI, RAMP"
58,QSB_01a_category_census.csv,22,,,,,False,False,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, RATE, ROI, RAMP"
