run_def,n_rows,comparable_n,d_eq_zero_n,d_gt_zero_n,d_lt_zero_n,r_near_one_n,b41_eq_b16_n,b41_eq_b13_n,sum_b41,sum_vb,sum_b16,sum_b13,d_p01,d_p50,d_p99,d_abs_max,r_p01,r_p05,r_p25,r_p50,r_p75,r_p95,r_p99,r16_p50
NEW_rn1,124731833,124731833,124730873,0,960,115246963,9484870,114367405,599590077965.1700,599592319143.1700,17799302.4750,672073793531.2064,0.0,0.0,0.0,1000000.0000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
OLD_全版本,125654711,125654711,125653747,0,964,116102506,9552205,115217630,604030494044.1700,604032736752.1700,17960748.5460,676914983188.2064,0.0,0.0,0.0,1000000.0000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
