eid,bet39,bet09,bet10,n_rows,n_bet01,n_extra,dup_rate_pct
-1,1,AnyPair,13,1,1,0,0
-1,1,AnyPair,24,1,1,0,0
-1,1,BPair,1,4,4,0,0
-1,1,BPair,13,53,53,0,0
-1,1,BPair,16,1,1,0,0
-1,1,BPair,18,1,1,0,0
-1,1,BPair,19,1,1,0,0
-1,1,BPair,24,25,25,0,0
-1,1,BPair,27,2,2,0,0
-1,1,BPair,4,2,2,0,0
-1,1,BPair,8,3,3,0,0
-1,1,Banker,1,56,56,0,0
-1,1,Banker,13,225,225,0,0
-1,1,Banker,14,18,17,1,5.555556
-1,1,Banker,16,14,14,0,0
-1,1,Banker,17,3,3,0,0
-1,1,Banker,18,3,3,0,0
-1,1,Banker,19,6,6,0,0
-1,1,Banker,20,2,2,0,0
-1,1,Banker,23,4,4,0,0
-1,1,Banker,24,225,225,0,0
-1,1,Banker,25,9,9,0,0
-1,1,Banker,26,2,2,0,0
-1,1,Banker,27,14,14,0,0
-1,1,Banker,28,12,12,0,0
-1,1,Banker,4,15,14,1,6.666667
-1,1,Banker,8,26,25,1,3.846154
-1,1,BankerDragonBonus,13,1,1,0,0
-1,1,Big,1,1,1,0,0
-1,1,Big,13,3,3,0,0
-1,1,Lucky7,1,4,4,0,0
-1,1,Lucky7,13,27,27,0,0
-1,1,Lucky7,16,1,1,0,0
-1,1,Lucky7,24,10,10,0,0
-1,1,Lucky7,27,2,2,0,0
-1,1,Lucky7,8,2,2,0,0
-1,1,PPair,1,4,4,0,0
-1,1,PPair,13,55,55,0,0
-1,1,PPair,16,2,2,0,0
-1,1,PPair,18,1,1,0,0
-1,1,PPair,19,1,1,0,0
-1,1,PPair,24,19,19,0,0
-1,1,PPair,27,1,1,0,0
-1,1,PPair,4,2,2,0,0
-1,1,PPair,8,2,2,0,0
-1,1,PerfectPair,1,1,1,0,0
-1,1,PerfectPair,13,1,1,0,0
-1,1,PerfectPair,24,2,2,0,0
-1,1,Player,1,64,64,0,0
-1,1,Player,13,216,215,1,0.462963
-1,1,Player,14,14,14,0,0
-1,1,Player,16,9,9,0,0
-1,1,Player,17,1,1,0,0
-1,1,Player,19,13,13,0,0
-1,1,Player,20,2,2,0,0
-1,1,Player,23,5,5,0,0
-1,1,Player,24,249,247,2,0.803213
-1,1,Player,25,4,4,0,0
-1,1,Player,26,1,1,0,0
-1,1,Player,27,13,12,1,7.692308
-1,1,Player,28,9,9,0,0
-1,1,Player,4,13,13,0,0
-1,1,Player,8,14,14,0,0
-1,1,PlayerDragonBonus,1,1,1,0,0
-1,1,PlayerDragonBonus,13,1,1,0,0
-1,1,PlayerNatural,1,1,1,0,0
-1,1,Small,13,3,3,0,0
-1,1,Super6,1,3,3,0,0
-1,1,Super6,13,25,25,0,0
-1,1,Super6,16,2,2,0,0
-1,1,Super6,24,11,11,0,0
-1,1,Super6,25,1,1,0,0
-1,1,Super6,27,2,2,0,0
-1,1,Super6,4,2,2,0,0
-1,1,Super6,8,1,1,0,0
-1,1,SuperLucky7,1,4,4,0,0
-1,1,SuperLucky7,13,8,8,0,0
-1,1,SuperLucky7,16,1,1,0,0
-1,1,SuperLucky7,24,9,9,0,0
-1,1,SuperLucky7,27,1,1,0,0
-1,1,SuperLucky7,8,3,3,0,0
-1,1,Tie,1,7,7,0,0
-1,1,Tie,13,80,80,0,0
-1,1,Tie,14,11,11,0,0
-1,1,Tie,18,1,1,0,0
-1,1,Tie,23,1,1,0,0
-1,1,Tie,24,28,28,0,0
-1,1,Tie,27,3,3,0,0
-1,1,Tie,4,2,2,0,0
-1,1,Tie,8,3,3,0,0
-1,1,Tip_1_,14,1,1,0,0
-1,112,BPair,1,12,12,0,0
-1,112,BPair,13,123,122,1,0.813008
-1,112,BPair,14,3,3,0,0
-1,112,BPair,16,9,9,0,0
-1,112,BPair,18,2,2,0,0
-1,112,BPair,19,2,2,0,0
-1,112,BPair,23,3,3,0,0
-1,112,BPair,24,101,100,1,0.990099
-1,112,BPair,25,2,2,0,0
-1,112,BPair,26,1,1,0,0
-1,112,BPair,4,3,3,0,0
-1,112,BPair,8,4,4,0,0
-1,112,Banker,1,153,150,3,1.960784
-1,112,Banker,13,501,494,7,1.397206
-1,112,Banker,14,22,21,1,4.545455
-1,112,Banker,16,44,44,0,0
-1,112,Banker,17,8,8,0,0
-1,112,Banker,18,8,8,0,0
-1,112,Banker,19,28,28,0,0
-1,112,Banker,20,3,3,0,0
-1,112,Banker,23,23,23,0,0
-1,112,Banker,24,772,764,8,1.036269
-1,112,Banker,25,12,12,0,0
-1,112,Banker,27,23,23,0,0
-1,112,Banker,28,38,35,3,7.894737
-1,112,Banker,4,38,37,1,2.631579
-1,112,Banker,8,33,32,1,3.030303
-1,112,BankerDragonBonus,13,2,2,0,0
-1,112,BankerDragonBonus,24,1,1,0,0
-1,112,BankerDragonBonus,4,2,1,1,50
-1,112,BankerNatural,16,1,1,0,0
-1,112,BankerNatural,24,1,1,0,0
-1,112,BankerNatural,4,2,1,1,50
-1,112,Big,1,1,1,0,0
-1,112,Lucky7,1,20,19,1,5
-1,112,Lucky7,13,85,84,1,1.176471
-1,112,Lucky7,14,5,5,0,0
-1,112,Lucky7,16,10,10,0,0
-1,112,Lucky7,23,1,1,0,0
