hypothesis,n_old,n_new,delta_n_rows,m_old,m_new,delta_n_members,sum_bet16_old,sum_bet16_new,delta_sum_bet16,sum_bet41_old,sum_bet41_new,delta_sum_bet41,sum_validbet_old,sum_validbet_new,delta_sum_validbet,identity_pass_old,identity_fail_old,identity_pass_new,identity_fail_new,rate_old,rate_new,delta_exact_match_rate
H16,125654711,124731833,-922878,723557,723557,0,17960748.5460,17799302.4750,-161446.0710,604030494044.1700,599590077965.1700,-4440416079.0000,604032736752.1700,599592319143.1700,-4440417609.0000,125654711,0,124731833,0,1.00000000,1.00000000,0E-8
H41,125654711,124731833,-922878,723557,723557,0,17960748.5460,17799302.4750,-161446.0710,604030494044.1700,599590077965.1700,-4440416079.0000,604032736752.1700,599592319143.1700,-4440417609.0000,9552205,116102506,9484870,115246963,0.07601950,0.07604210,0.00002260
