run_def,hypothesis,n_rows,n_members,sum_bet16,sum_bet41,sum_validbet,identity_pass,identity_fail,exact_match_rate,abs_err_p50,abs_err_p95,abs_err_p99,abs_err_max
NEW_rn1,H16,124731833,723557,17799302.4750,599590077965.1700,599592319143.1700,124731833,0,1.00000000,0.0,0.0,0.0,0.0000
OLD_全版本,H16,125654711,723557,17960748.5460,604030494044.1700,604032736752.1700,125654711,0,1.00000000,0.0,0.0,0.0,0.0000
NEW_rn1,H41,124731833,723557,17799302.4750,599590077965.1700,599592319143.1700,9484870,115246963,0.07604210,50.0,1000.0,20000.861328125,100000000.0000
OLD_全版本,H41,125654711,723557,17960748.5460,604030494044.1700,604032736752.1700,9552205,116102506,0.07601950,50.0,1000.0,20000.345703125,100000000.0000
