dup_per_member,n_members,n_dup_contributed
1,3602,3602
2,2138,4276
3,1410,4230
4,1021,4084
5,842,4210
6,697,4182
7,566,3962
8,542,4336
9,448,4032
10,418,4180
11,332,3652
12,345,4140
13,337,4381
14,318,4452
15,290,4350
16,242,3872
17,233,3961
18,202,3636
19,194,3686
20,190,3800
21,186,3906
22,176,3872
23,152,3496
24,148,3552
25,142,3550
26,128,3328
27,114,3078
28,116,3248
29,146,4234
30,112,3360
31,127,3937
32,106,3392
33,85,2805
34,106,3604
35,100,3500
36,93,3348
37,90,3330
38,89,3382
39,85,3315
40,75,3000
41,80,3280
42,65,2730
43,75,3225
44,64,2816
45,75,3375
46,54,2484
47,57,2679
48,62,2976
49,70,3430
50,62,3100
51,51,2601
52,59,3068
53,38,2014
54,38,2052
55,59,3245
56,52,2912
57,50,2850
58,63,3654
59,45,2655
60,56,3360
61,35,2135
62,52,3224
63,42,2646
64,32,2048
65,38,2470
66,37,2442
67,35,2345
68,32,2176
69,30,2070
70,41,2870
71,34,2414
72,27,1944
73,22,1606
74,31,2294
75,25,1875
76,27,2052
77,37,2849
78,17,1326
79,20,1580
80,33,2640
81,31,2511
82,28,2296
83,31,2573
84,28,2352
85,23,1955
86,22,1892
87,19,1653
88,20,1760
89,21,1869
90,20,1800
91,29,2639
92,23,2116
93,21,1953
94,16,1504
95,18,1710
96,17,1632
97,25,2425
98,21,2058
99,24,2376
100,16,1600
101,22,2222
102,21,2142
103,21,2163
104,21,2184
105,13,1365
106,16,1696
107,14,1498
108,20,2160
109,25,2725
110,13,1430
111,26,2886
112,23,2576
113,28,3164
114,17,1938
115,24,2760
116,14,1624
117,18,2106
118,11,1298
119,6,714
120,14,1680
121,16,1936
122,9,1098
123,16,1968
124,9,1116
125,15,1875
126,10,1260
127,20,2540
128,13,1664
129,18,2322
130,19,2470
131,14,1834
132,17,2244
133,12,1596
134,7,938
135,8,1080
136,11,1496
137,14,1918
138,11,1518
139,6,834
140,19,2660
141,12,1692
142,14,1988
143,9,1287
144,8,1152
145,4,580
146,15,2190
147,13,1911
148,12,1776
149,15,2235
150,9,1350
151,10,1510
152,7,1064
153,5,765
154,10,1540
155,7,1085
156,11,1716
157,9,1413
158,2,316
159,7,1113
160,9,1440
161,13,2093
162,10,1620
163,7,1141
164,7,1148
165,11,1815
166,10,1660
167,11,1837
168,11,1848
169,14,2366
170,7,1190
171,11,1881
172,7,1204
173,8,1384
174,13,2262
175,9,1575
176,11,1936
177,18,3186
178,9,1602
179,10,1790
180,14,2520
181,5,905
182,8,1456
183,7,1281
184,10,1840
185,11,2035
186,10,1860
187,5,935
188,6,1128
189,8,1512
190,6,1140
191,10,1910
192,8,1536
193,6,1158
194,9,1746
195,4,780
196,3,588
197,4,788
198,8,1584
199,7,1393
200,7,1400
201,8,1608
202,6,1212
203,4,812
204,3,612
205,6,1230
206,10,2060
207,3,621
208,8,1664
209,5,1045
210,8,1680
211,8,1688
212,10,2120
213,6,1278
214,3,642
215,8,1720
216,3,648
217,7,1519
218,6,1308
219,3,657
220,7,1540
221,6,1326
222,5,1110
223,5,1115
224,5,1120
225,3,675
226,7,1582
227,5,1135
228,6,1368
229,7,1603
230,5,1150
231,7,1617
232,3,696
233,5,1165
234,8,1872
235,10,2350
236,4,944
237,5,1185
238,6,1428
239,5,1195
240,4,960
241,6,1446
242,6,1452
243,1,243
244,2,488
245,4,980
246,6,1476
247,4,988
248,8,1984
249,4,996
250,7,1750
251,4,1004
252,3,756
253,2,506
254,6,1524
255,4,1020
256,7,1792
257,6,1542
258,3,774
259,7,1813
260,2,520
261,7,1827
262,2,524
263,3,789
264,1,264
265,3,795
266,2,532
267,3,801
268,2,536
269,7,1883
270,10,2700
271,5,1355
272,3,816
273,4,1092
274,2,548
275,2,550
276,3,828
277,3,831
278,4,1112
279,3,837
280,5,1400
281,6,1686
282,1,282
283,4,1132
284,2,568
285,4,1140
286,3,858
287,4,1148
288,7,2016
289,4,1156
290,3,870
291,3,873
292,6,1752
293,1,293
294,3,882
295,3,885
296,1,296
297,5,1485
298,3,894
299,4,1196
300,1,300
301,4,1204
302,4,1208
303,4,1212
304,3,912
305,2,610
306,2,612
307,3,921
308,5,1540
309,2,618
310,4,1240
311,1,311
312,3,936
313,4,1252
314,1,314
315,3,945
316,4,1264
317,2,634
318,5,1590
319,5,1595
320,2,640
321,3,963
322,7,2254
324,3,972
325,1,325
326,7,2282
327,2,654
328,2,656
329,2,658
330,2,660
331,1,331
332,2,664
333,2,666
334,1,334
336,4,1344
337,4,1348
339,4,1356
340,1,340
341,4,1364
342,1,342
343,1,343
344,4,1376
345,2,690
346,4,1384
347,3,1041
348,1,348
349,2,698
350,1,350
351,1,351
352,2,704
353,2,706
354,4,1416
355,5,1775
357,4,1428
358,2,716
359,2,718
360,1,360
361,1,361
362,3,1086
363,4,1452
364,4,1456
366,2,732
367,5,1835
369,1,369
371,1,371
373,2,746
375,3,1125
377,2,754
378,2,756
379,2,758
380,1,380
381,1,381
382,2,764
383,1,383
384,1,384
385,2,770
386,1,386
391,2,782
392,1,392
393,1,393
394,1,394
399,1,399
401,1,401
402,1,402
404,2,808
405,2,810
406,1,406
407,1,407
408,1,408
410,1,410
411,3,1233
412,1,412
413,2,826
414,1,414
416,2,832
418,1,418
419,1,419
420,3,1260
421,1,421
422,2,844
425,1,425
426,2,852
427,2,854
428,1,428
430,2,860
431,3,1293
432,2,864
433,3,1299
436,1,436
438,1,438
440,1,440
442,1,442
443,2,886
444,5,2220
445,4,1780
446,1,446
447,3,1341
448,1,448
449,2,898
450,2,900
451,1,451
452,1,452
453,1,453
458,2,916
461,2,922
462,1,462
463,2,926
465,1,465
466,1,466
469,4,1876
470,3,1410
471,1,471
472,2,944
474,1,474
476,1,476
479,4,1916
481,1,481
482,1,482
483,1,483
484,2,968
486,2,972
488,2,976
489,1,489
490,1,490
495,2,990
496,1,496
497,1,497
499,1,499
502,3,1506
503,1,503
504,1,504
505,2,1010
506,1,506
511,1,511
518,1,518
521,1,521
522,5,2610
523,1,523
525,1,525
526,1,526
527,1,527
528,1,528
529,1,529
531,1,531
533,1,533
538,1,538
539,1,539
540,2,1080
542,1,542
547,1,547
548,1,548
550,3,1650
551,1,551
552,1,552
556,3,1668
557,1,557
558,2,1116
560,1,560
562,1,562
566,1,566
567,2,1134
570,1,570
571,1,571
573,1,573
576,2,1152
580,2,1160
581,3,1743
582,3,1746
585,2,1170
586,1,586
589,2,1178
595,1,595
596,1,596
599,1,599
601,1,601
603,1,603
604,1,604
609,1,609
611,1,611
615,1,615
616,2,1232
618,1,618
619,1,619
620,1,620
622,1,622
624,2,1248
628,1,628
629,1,629
640,1,640
644,1,644
645,1,645
646,2,1292
649,1,649
650,4,2600
651,2,1302
654,2,1308
656,1,656
657,1,657
659,1,659
660,1,660
661,1,661
662,1,662
664,1,664
665,1,665
668,1,668
674,1,674
677,1,677
683,1,683
687,1,687
691,1,691
696,1,696
700,1,700
704,2,1408
