arm,n_rows,n_bet01,n_members,sum_stake,sum_validbet,sum_rebate16,sum_game_pnl,sum_ggr,roi_on_stake,hold_on_validbet,win_rate_order,rebate_rate,avg_stake
CANON_rn1,922878,922878,21225,4841189657.0000,4440417609.0000,161446.0710,-447490275.0500,447490275.0500,-0.09243395,0.10077662,0.35298710,0.00003636,5245.7526
RAW_未去重,1845756,922878,21225,9682379314.0000,8880835218.0000,322892.1420,-894980550.1000,894980550.1000,-0.09243395,0.10077662,0.35298710,0.00003636,5245.7526
