d_v1,h_v1,n_pairs,lag_min,lag_p50,lag_p95,lag_max,le_60s_n,le_1h_n,gt_1d_n
2026-05-19,12,42475,0,0.0,0.0,0,42475,42475,0
2026-05-19,13,45374,0,0.0,0.0,0,45374,45374,0
2026-05-19,14,46340,0,0.0,0.0,0,46340,46340,0
2026-05-19,15,44293,0,0.0,0.0,0,44293,44293,0
2026-05-19,16,41328,0,0.0,0.0,0,41328,41328,0
2026-05-19,17,40814,0,0.0,0.0,0,40814,40814,0
2026-05-19,18,39813,0,0.0,0.0,0,39813,39813,0
2026-05-19,19,37874,0,0.0,0.0,0,37874,37874,0
2026-05-19,20,45065,0,0.0,0.0,0,45065,45065,0
2026-05-19,21,51398,0,0.0,0.0,0,51398,51398,0
2026-05-19,22,55373,0,0.0,0.0,0,55373,55373,0
2026-05-19,23,52804,0,0.0,0.0,0,52804,52804,0
2026-05-20,0,43805,0,0.0,0.0,0,43805,43805,0
2026-05-20,1,36063,0,0.0,0.0,0,36063,36063,0
2026-05-20,2,27184,0,0.0,0.0,0,27184,27184,0
2026-05-20,3,21538,0,0.0,0.0,0,21538,21538,0
2026-05-20,4,18577,0,0.0,0.0,0,18577,18577,0
2026-05-20,5,16385,0,0.0,0.0,0,16385,16385,0
2026-05-20,6,16753,0,0.0,0.0,0,16753,16753,0
2026-05-20,7,19164,0,0.0,0.0,0,19164,19164,0
2026-05-20,8,48261,0,0.0,0.0,0,48261,48261,0
2026-05-20,9,45840,0,0.0,0.0,0,45840,45840,0
2026-05-20,10,43529,0,0.0,0.0,0,43529,43529,0
2026-05-20,11,42438,0,0.0,0.0,0,42438,42438,0
2026-05-20,12,390,0,0.0,0.0,0,390,390,0
