ym,bet09,commission,bet10,n,d_eq_zero_n,d_eq_zero_pct,d_ne_zero_n,avg_d,max_abs_d,avg_b41,avg_vb,avg_b16,rebate_rate_p50
2026-03-01,AnyPair,0,1,815,815,100.000000,0,0E-10,0.0000,14.2785276074,14.2785276074,0E-10,0.0
2026-03-01,AnyPair,0,13,3263,3263,100.000000,0,0E-10,0.0000,41.5991418940,41.5991418940,0.0169279804,0.0
2026-03-01,AnyPair,0,14,120,120,100.000000,0,0E-10,0.0000,4.5333333333,4.5333333333,0E-10,0.0
2026-03-01,AnyPair,0,16,74,74,100.000000,0,0E-10,0.0000,7.0540540541,7.0540540541,0.0091891892,0.0
2026-03-01,AnyPair,0,17,4,4,100.000000,0,0E-10,0.0000,42500.0000000000,42500.0000000000,0E-10,0.0
2026-03-01,AnyPair,0,18,67,67,100.000000,0,0E-10,0.0000,3643.2835820896,3643.2835820896,0E-10,0.0
2026-03-01,AnyPair,0,19,75,75,100.000000,0,0E-10,0.0000,2.3466666667,2.3466666667,0E-10,0.0
2026-03-01,AnyPair,0,23,781,781,100.000000,0,0E-10,0.0000,34783.0985915493,34783.0985915493,0E-10,0.0
2026-03-01,AnyPair,0,24,4500,4500,100.000000,0,0E-10,0.0000,41.5880000000,41.5880000000,0E-10,0.0
2026-03-01,AnyPair,0,27,2,2,100.000000,0,0E-10,0.0000,125.0000000000,125.0000000000,0E-10,0.0
2026-03-01,AnyPair,0,28,208,208,100.000000,0,0E-10,0.0000,51.2019230769,51.2019230769,0E-10,0.0
2026-03-01,AnyPair,0,4,81,81,100.000000,0,0E-10,0.0000,5.1111111111,5.1111111111,0E-10,0.0
2026-03-01,AnyPair,0,8,375,375,100.000000,0,0E-10,0.0000,57.9733333333,57.9733333333,0E-10,0.0
2026-03-01,AnyPair,1,1,34,34,100.000000,0,0E-10,0.0000,10.8823529412,10.8823529412,0E-10,0.0
2026-03-01,AnyPair,1,13,1025,1025,100.000000,0,0E-10,0.0000,31.5463414634,31.5463414634,0.0025951220,0.0
2026-03-01,AnyPair,1,14,22,22,100.000000,0,0E-10,0.0000,171.3636363636,171.3636363636,0E-10,0.0
2026-03-01,AnyPair,1,17,21,21,100.000000,0,0E-10,0.0000,50000.0000000000,50000.0000000000,0E-10,0.0
2026-03-01,AnyPair,1,19,1,1,100.000000,0,0E-10,0.0000,10.0000000000,10.0000000000,0E-10,0.0
2026-03-01,AnyPair,1,24,187,187,100.000000,0,0E-10,0.0000,29.7379679144,29.7379679144,0E-10,0.0
2026-03-01,AnyPair,1,27,3,3,100.000000,0,0E-10,0.0000,6.3333333333,6.3333333333,0E-10,0.0
2026-03-01,AnyPair,1,4,30,30,100.000000,0,0E-10,0.0000,1.4666666667,1.4666666667,0E-10,0.0
