源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天,"",_1,_2,_3,来源库,来源表,ODS表名,同步时间
c4ca4238a0b923820dcc509a6f75849b,2016-11-22,1,小费,0,2016-11-22 15:48:12,a168,tip,ods_a168_tip,2026-05-19T18:53:30Z
8f14e45fceea167a5a36dedd4bea2543,2026-05-19,7,跑车,100,__STARROCKS_NULL__,a168,tip,ods_a168_tip,2026-05-19T18:53:30Z
a87ff679a2f3e71d9181a67b7542122c,2026-05-19,4,鸡尾酒,10,__STARROCKS_NULL__,a168,tip,ods_a168_tip,2026-05-19T18:53:30Z
285e19f20beded7d215102b49d5c09a0,2026-05-19,503,骷髅,5,__STARROCKS_NULL__,a168,tip,ods_a168_tip,2026-05-19T18:53:30Z
e4da3b7fbbce2345d7772b0674a318d5,2026-05-19,5,黄金,20,__STARROCKS_NULL__,a168,tip,ods_a168_tip,2026-05-19T18:53:30Z
eccbc87e4b5ce2fe28308fd9f2a7baf3,2026-05-19,3,爱心,5,__STARROCKS_NULL__,a168,tip,ods_a168_tip,2026-05-19T18:53:30Z
ff4d5fbbafdf976cfdc032e3bde78de5,2026-05-20,506,柠檬,50,__STARROCKS_NULL__,a168,tip,ods_a168_tip,2026-05-20T07:15:04Z
285e19f20beded7d215102b49d5c09a0,2026-05-20,503,骷髅,5,__STARROCKS_NULL__,a168,tip,ods_a168_tip,2026-05-20T07:15:04Z
2d6cc4b2d139a53512fb8cbb3086ae2e,2026-05-19,507,雪人,100,__STARROCKS_NULL__,a168,tip,ods_a168_tip,2026-05-19T18:53:30Z
b337e84de8752b27eda3a12363109e80,2026-05-19,504,死神,10,__STARROCKS_NULL__,a168,tip,ods_a168_tip,2026-05-19T18:53:30Z
b5b41fac0361d157d9673ecb926af5ae,2026-05-19,502,炸弹,1,__STARROCKS_NULL__,a168,tip,ods_a168_tip,2026-05-19T18:53:30Z
1679091c5a880faf6fb5e6087eb1b2dc,2026-05-19,6,钻戒,50,__STARROCKS_NULL__,a168,tip,ods_a168_tip,2026-05-19T18:53:30Z
2d6cc4b2d139a53512fb8cbb3086ae2e,2026-05-20,507,雪人,100,__STARROCKS_NULL__,a168,tip,ods_a168_tip,2026-05-20T07:15:04Z
b337e84de8752b27eda3a12363109e80,2026-05-20,504,死神,10,__STARROCKS_NULL__,a168,tip,ods_a168_tip,2026-05-20T07:15:04Z
b5b41fac0361d157d9673ecb926af5ae,2026-05-20,502,炸弹,1,__STARROCKS_NULL__,a168,tip,ods_a168_tip,2026-05-20T07:15:04Z
e8c0653fea13f91bf3c48159f7c24f78,2026-05-19,505,香蕉,20,__STARROCKS_NULL__,a168,tip,ods_a168_tip,2026-05-19T18:53:30Z
c81e728d9d4c2f636f067f89cc14862c,2026-05-19,2,玫瑰,1,__STARROCKS_NULL__,a168,tip,ods_a168_tip,2026-05-19T18:53:30Z
e8c0653fea13f91bf3c48159f7c24f78,2026-05-20,505,香蕉,20,__STARROCKS_NULL__,a168,tip,ods_a168_tip,2026-05-20T07:15:04Z
ff4d5fbbafdf976cfdc032e3bde78de5,2026-05-19,506,柠檬,50,__STARROCKS_NULL__,a168,tip,ods_a168_tip,2026-05-19T18:53:30Z
