源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天,sn,time,member,money,op_code,op_lv,op_aid,memo,site,subtotal,来源库,来源表,ODS表名,同步时间
4135585105,2026-03-30,4135585105,2026-03-30T00:00:01Z,114335809,2010.96,121,5,43049,639103824011720006u53u4202251,0,2010.96,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585111,2026-03-30,4135585111,2026-03-30T00:00:01Z,139859508,78.4,501,7,139859508,108_114592472_117,0,1908.52,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585126,2026-03-30,4135585126,2026-03-30T00:00:01Z,140013555,54.88,501,7,140013555,108_114592472_117,0,54.88,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585132,2026-03-30,4135585132,2026-03-30T00:00:01Z,119135552,980,501,7,119135552,108_114592472_117,0,1978.2,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585139,2026-03-30,4135585139,2026-03-30T00:00:01Z,147947939,19.6,501,7,147947939,108_114592472_117,0,206.6,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585147,2026-03-30,4135585147,2026-03-30T00:00:01Z,142639392,2940,501,7,142639392,108_114592472_117,0,4947.16,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585153,2026-03-30,4135585153,2026-03-30T00:00:01Z,146479618,-100,502,7,146479618,101_114592554_18,0,2680.95,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585158,2026-03-30,4135585158,2026-03-30T00:00:02Z,93873456,-20,502,7,93873456,101_114592549_30,0,90,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585164,2026-03-30,4135585164,2026-03-30T00:00:03Z,147948334,-50,502,7,147948334,101_114592555_12,0,50.57,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585170,2026-03-30,4135585170,2026-03-30T00:00:04Z,82920297,-100,502,7,82920297,101_114592550_30,0,399.45,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585185,2026-03-30,4135585185,2026-03-30T00:00:05Z,145613563,-20,502,7,145613563,101_124825_15,0,96.77,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585191,2026-03-30,4135585191,2026-03-30T00:00:05Z,147268492,-20,502,7,147268492,101_114592549_30,0,40.75,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585201,2026-03-30,4135585201,2026-03-30T00:00:05Z,146877699,686,501,7,146877699,108_114592560_1,0,2951.27,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585215,2026-03-30,4135585215,2026-03-30T00:00:06Z,144059733,-90,502,7,144059733,107_114592474_68,0,190.245,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585222,2026-03-30,4135585222,2026-03-30T00:00:06Z,139618373,-2247,122,5,25270,2026033000600021,0,0,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585229,2026-03-30,4135585229,2026-03-30T00:00:06Z,139954326,-10,502,7,139954326,101_114592554_18,0,844.86,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585236,2026-03-30,4135585236,2026-03-30T00:00:06Z,123097214,-700,502,7,123097214,108_114592478_117,0,1288.84,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585243,2026-03-30,4135585243,2026-03-30T00:00:07Z,93282155,-500,502,7,93282155,101_114592555_12,0,11005.08,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585248,2026-03-30,4135585248,2026-03-30T00:00:07Z,5802057,-10,502,7,5802057,108_114592478_117,0,290.31,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585257,2026-03-30,4135585257,2026-03-30T00:00:08Z,81445964,19.5,501,7,81445964,101_114592538_42,0,697.5,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585260,2026-03-30,4135585260,2026-03-30T00:00:08Z,143729381,78,501,7,143729381,101_114592538_42,0,1126.65,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585274,2026-03-30,4135585274,2026-03-30T00:00:08Z,133412424,-50,502,7,133412424,101_114592549_30,0,1319.6,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585281,2026-03-30,4135585281,2026-03-30T00:00:08Z,147454849,-15,502,7,147454849,101_114592549_30,0,375.72,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585295,2026-03-30,4135585295,2026-03-30T00:00:08Z,147537136,-100,502,7,147537136,101_114592543_51,0,16511.76,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
