源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天,"",日期,會員編號,遊戲編號,桌號,LV1ID,来源库,来源表,ODS表名,同步时间
346527489,2026-03-27,346527489,2026-03-27,5950467,101,6,21047,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346527496,2026-03-27,346527496,2026-03-27,5950467,101,908,21047,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346527507,2026-03-27,346527507,2026-03-27,5973753,101,31,12402,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346527513,2026-03-27,346527513,2026-03-27,6013005,101,1,12402,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346527518,2026-03-27,346527518,2026-03-27,6013005,101,113,12402,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346527524,2026-03-27,346527524,2026-03-27,6054792,101,7,21047,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346527530,2026-03-27,346527530,2026-03-27,6054792,101,37,21047,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346527545,2026-03-27,346527545,2026-03-27,6162055,101,112,21047,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346527551,2026-03-27,346527551,2026-03-27,6178136,101,116,21047,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346527566,2026-03-27,346527566,2026-03-27,6255961,101,7,4298,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346527572,2026-03-27,346527572,2026-03-27,6255961,101,36,4298,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346527579,2026-03-27,346527579,2026-03-27,6255961,101,902,4298,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346527587,2026-03-27,346527587,2026-03-27,6255961,101,911,4298,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346527593,2026-03-27,346527593,2026-03-27,6270374,101,35,21047,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346527598,2026-03-27,346527598,2026-03-27,6270374,101,912,21047,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346527603,2026-03-27,346527603,2026-03-27,6325957,101,7,21047,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346527608,2026-03-27,346527608,2026-03-27,6325957,101,36,21047,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346527617,2026-03-27,346527617,2026-03-27,6374933,101,35,1647,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346527620,2026-03-27,346527620,2026-03-27,6374933,101,115,1647,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346527634,2026-03-27,346527634,2026-03-27,6378967,101,113,21047,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346527641,2026-03-27,346527641,2026-03-27,6378967,101,911,21047,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346527655,2026-03-27,346527655,2026-03-27,6555603,101,113,21047,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346527662,2026-03-27,346527662,2026-03-27,6637260,101,1,12402,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346527669,2026-03-27,346527669,2026-03-27,6804988,101,5,12402,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346527676,2026-03-27,346527676,2026-03-27,7027840,101,3,21047,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346527683,2026-03-27,346527683,2026-03-27,7027840,101,33,21047,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346527688,2026-03-27,346527688,2026-03-27,7027840,101,113,21047,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346527697,2026-03-27,346527697,2026-03-27,7027840,101,908,21047,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346527706,2026-03-27,346527706,2026-03-27,7048632,101,3,21041,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346527712,2026-03-27,346527712,2026-03-27,7072768,101,116,12402,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346527719,2026-03-27,346527719,2026-03-27,7076927,101,8,21047,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346527725,2026-03-27,346527725,2026-03-27,7076927,101,37,21047,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346527731,2026-03-27,346527731,2026-03-27,7076927,101,902,21047,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346527744,2026-03-27,346527744,2026-03-27,7079277,101,36,21047,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346527750,2026-03-27,346527750,2026-03-27,7079277,101,901,21047,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346527767,2026-03-27,346527767,2026-03-27,7085710,101,907,21047,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346527773,2026-03-27,346527773,2026-03-27,7107627,101,7,21047,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346527778,2026-03-27,346527778,2026-03-27,7107627,101,35,21047,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346527786,2026-03-27,346527786,2026-03-27,7126278,101,115,21047,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346527792,2026-03-27,346527792,2026-03-27,7150205,101,7,21047,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346527799,2026-03-27,346527799,2026-03-27,7207783,101,116,21047,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346527800,2026-03-27,346527800,2026-03-27,7255192,101,5,21047,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346527814,2026-03-27,346527814,2026-03-27,7297592,101,113,21047,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346527823,2026-03-27,346527823,2026-03-27,7361877,101,7,21047,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346527828,2026-03-27,346527828,2026-03-27,7361877,101,37,21047,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346527837,2026-03-27,346527837,2026-03-27,7361877,101,908,21047,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346527842,2026-03-27,346527842,2026-03-27,7401728,101,113,12402,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346527849,2026-03-27,346527849,2026-03-27,7462908,101,2,21047,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346527856,2026-03-27,346527856,2026-03-27,7462908,101,32,21047,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346527861,2026-03-27,346527861,2026-03-27,7462908,101,112,21047,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346527875,2026-03-27,346527875,2026-03-27,7593527,101,1,21047,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346527880,2026-03-27,346527880,2026-03-27,7593527,101,911,21047,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346527894,2026-03-27,346527894,2026-03-27,7697855,101,35,4298,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346527905,2026-03-27,346527905,2026-03-27,7697855,101,906,4298,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346527911,2026-03-27,346527911,2026-03-27,7697855,101,912,4298,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
