同步任务名,来源库,来源表,目标表,同步模式,时间增量断点,ID/复合键断点,更新时间,断点字段1,断点字段2,断点字段3,断点字段4,断点字段5
agent,a168,agent,ods_a168_agent,id_increment,1970-01-01T00:00:00Z,56976,2026-07-22T23:08:31Z,,,,,
agent_bak20250610,a168,agent_bak20250610,ods_a168_agent_bak20250610,id_increment,1970-01-01T00:00:00Z,53949,2026-05-19T10:38:18Z,,,,,
agent_dtl,a168,agent_dtl,ods_a168_agent_dtl,composite_increment,1970-01-01T00:00:00Z,56976|999,2026-07-22T21:00:36Z,,,,,
agent_permissionrole,a168,agent_permissionrole,ods_a168_agent_permissionrole,id_increment,1970-01-01T00:00:00Z,32,2026-05-19T23:14:31Z,,,,,
alarmMessage,a168,alarmMessage,ods_a168_alarmMessage,id_increment,1970-01-01T00:00:00Z,1201232,2026-07-23T06:03:10Z,,,,,
control_login,a168,control_login,ods_a168_control_login,id_increment,1970-01-01T00:00:00Z,1055,2026-05-21T05:37:36Z,,,,,
employee,a168,employee,ods_a168_employee,id_increment,1970-01-01T00:00:00Z,2290,2026-07-04T23:07:44Z,,,,,
log_age_cash_change,a168,log_age_cash_change,ods_a168_log_age_cash_change,id_increment,1970-01-01T00:00:00Z,312549939,2026-07-23T05:54:55Z,,,,,
log_mem_change,a168,log_mem_change,ods_a168_log_mem_change,id_increment,1970-01-01T00:00:00Z,782944,2026-07-22T23:01:14Z,,,,,
member_url,a168,member_url,ods_a168_member_url,id_increment,1970-01-01T00:00:00Z,151263327,2026-06-13T23:14:45Z,,,,,
partner_gamelist,a168,partner_gamelist,ods_a168_partner_gamelist,id_increment,1970-01-01T00:00:00Z,501,2026-05-19T10:53:23Z,,,,,
partner_transation,a168,partner_transation,ods_a168_partner_transation,id_increment,1970-01-01T00:00:00Z,3099601,2026-07-22T15:21:27Z,,,,,
permissionrole,a168,permissionrole,ods_a168_permissionrole,time_increment,,fe3bc333283dd77f34f851842f47c595,2026-07-22T22:02:27Z,,,,,
realtimelog,a168,realtimelog,ods_a168_realtimelog,id_increment,1970-01-01T00:00:00Z,65882,2026-07-22T23:07:55Z,,,,,
risklist,a168,risklist,ods_a168_risklist,full_sweep_no_index,2026-07-23T06:03:36Z,full_sweep_20260723060316,2026-07-23T06:03:36Z,,,,,
wallet_feedbackerr,a168,wallet_feedbackerr,ods_a168_wallet_feedbackerr,id_increment,1970-01-01T00:00:00Z,26602965,2026-07-22T23:01:52Z,,,,,
member_dtl_pk_sweep,a168,member_dtl,ods_a168_member_dtl,primary_key_sweep_no_new_index,1970-01-01T00:00:00Z,91787228|104,2026-07-23T08:27:07Z,,,,,
aggregate_token,a168,aggregate_token,ods_a168_aggregate_token,time_increment,2026-03-05T18:09:56Z,98fd6f256f245c7b0df74f4198748568,2026-05-19T10:41:09Z,,,,,
bet01,a168,bet01,ods_a168_bet01,id_increment,1970-01-01T00:00:00Z,5513540342,2026-07-23T05:55:42Z,,,,,
betchange_log,a168,betchange_log,ods_a168_betchange_log,id_increment,1970-01-01T00:00:00Z,424551,2026-07-16T23:02:28Z,,,,,
change_log,a168,change_log,ods_a168_change_log,id_increment,1970-01-01T00:00:00Z,131694,2026-07-22T23:06:41Z,,,,,
conversion,a168,conversion,ods_a168_conversion,id_increment,1970-01-01T00:00:00Z,1792,2026-05-19T23:09:39Z,,,,,
dailyreport_member,a168,dailyreport_member,ods_a168_dailyreport_member,id_increment,1970-01-01T00:00:00Z,393749315,2026-07-23T06:02:01Z,,,,,
func_counter,a168,func_counter,ods_a168_func_counter,time_increment,2026-01-25T00:00:00Z,7c872fc976ce9db2e7e351f4edea7e2a,2026-05-19T10:40:55Z,,,,,
game_No,a168,game_No,ods_a168_game_No,id_increment,1970-01-01T00:00:00Z,4718848,2026-07-22T23:07:18Z,,,,,
game_log,a168,game_log,ods_a168_game_log,id_increment,1970-01-01T00:00:00Z,401507699,2026-07-23T05:59:22Z,,,,,
iphistory,a168,iphistory,ods_a168_iphistory,id_increment,1970-01-01T00:00:00Z,58733246,2026-07-22T23:02:48Z,,,,,
jackpot,a168,jackpot,ods_a168_jackpot,id_increment,1970-01-01T00:00:00Z,1,2026-05-19T10:57:14Z,,,,,
keyserver_command,a168,keyserver_command,ods_a168_keyserver_command,id_increment,1970-01-01T00:00:00Z,19048,2026-06-01T23:15:30Z,,,,,
mem_login,a168,mem_login,ods_a168_mem_login,id_increment,1970-01-01T00:00:00Z,153357426,2026-07-23T05:58:19Z,,,,,
member,a168,member,ods_a168_member,id_increment,1970-01-01T00:00:00Z,153357420,2026-07-23T05:57:52Z,,,,,
member_click_counter,a168,member_click_counter,ods_a168_member_click_counter,time_increment,2022-08-09T00:00:00Z,0f6c40c8962eab69f54acf1202ca18d5,2026-05-19T10:33:20Z,,,,,
news,a168,news,ods_a168_news,id_increment,1970-01-01T00:00:00Z,218,2026-05-19T10:53:17Z,,,,,
partner_transation_log,a168,partner_transation_log,ods_a168_partner_transation_log,id_increment,1970-01-01T00:00:00Z,3099601,2026-07-22T15:22:20Z,,,,,
realtimelobby,a168,realtimelobby,ods_a168_realtimelobby,id_increment,1970-01-01T00:00:00Z,153348072,2026-07-22T23:18:16Z,,,,,
subagent_permissionrole,a168,subagent_permissionrole,ods_a168_subagent_permissionrole,id_increment,1970-01-01T00:00:00Z,26,2026-05-19T23:14:37Z,,,,,
tablelimit,a168,tablelimit,ods_a168_tablelimit,id_increment,1970-01-01T00:00:00Z,160,2026-05-19T23:13:34Z,,,,,
tablelimit_third,a168,tablelimit_third,ods_a168_tablelimit_third,id_increment,1970-01-01T00:00:00Z,43,2026-05-19T23:14:11Z,,,,,
tip,a168,tip,ods_a168_tip,id_increment,1970-01-01T00:00:00Z,507,2026-05-19T23:15:04Z,,,,,
white_list,a168,white_list,ods_a168_white_list,id_increment,1970-01-01T00:00:00Z,5537,2026-07-21T23:15:04Z,,,,,
SMR_log,a168,SMR_log,ods_a168_SMR_log,id_increment,1970-01-01T00:00:00Z,1182280,2026-07-05T23:06:05Z,,,,,
age_login,a168,age_login,ods_a168_age_login,id_increment,1970-01-01T00:00:00Z,56967,2026-07-22T23:09:14Z,,,,,
age_sub_login,a168,age_sub_login,ods_a168_age_sub_login,id_increment,1970-01-01T00:00:00Z,12957,2026-07-21T23:14:27Z,,,,,
agent_sub,a168,agent_sub,ods_a168_agent_sub,id_increment,1970-01-01T00:00:00Z,12957,2026-07-21T23:10:34Z,,,,,
aggregate_transaction,a168,aggregate_transaction,ods_a168_aggregate_transaction,id_increment,1970-01-01T00:00:00Z,17,2026-06-23T23:25:03Z,,,,,
bet02,a168,bet02,ods_a168_bet02,id_increment,1970-01-01T00:00:00Z,5513540981,2026-07-23T05:56:29Z,,,,,
bet_partner,a168,bet_partner,ods_a168_bet_partner,id_increment,1970-01-01T00:00:00Z,5512780932,2026-07-22T15:26:29Z,,,,,
dailyreport_table,a168,dailyreport_table,ods_a168_dailyreport_table,id_increment,1970-01-01T00:00:00Z,20319594,2026-07-22T23:00:37Z,,,,,
dailyreport_usercount,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,id_increment,1970-01-01T00:00:00Z,518223818,2026-07-23T05:59:49Z,,,,,
in_out_m_chip,a168,in_out_m_chip,ods_a168_in_out_m_chip,id_increment,1970-01-01T00:00:00Z,233965,2026-05-19T10:22:07Z,,,,,
ipblacklist,a168,ipblacklist,ods_a168_ipblacklist,id_increment,1970-01-01T00:00:00Z,606,2026-05-19T23:13:11Z,,,,,
member_partner_account,a168,member_partner_account,ods_a168_member_partner_account,time_increment,,784e42f32c649e28b43189b90e3890e8,2026-07-22T22:01:48Z,,,,,
opengame_log,a168,opengame_log,ods_a168_opengame_log,id_increment,1970-01-01T00:00:00Z,10159,2026-05-19T10:58:00Z,,,,,
orderslist,a168,orderslist,ods_a168_orderslist,time_increment,,250e453fc29de641176f508edacd3933,2026-07-22T22:03:05Z,,,,,
wallet_dtl,a168,wallet_dtl,ods_a168_wallet_dtl,id_increment,1970-01-01T00:00:00Z,2703893649,2026-07-23T05:58:46Z,,,,,
wallet_reporter,a168,wallet_reporter,ods_a168_wallet_reporter,id_increment,1970-01-01T00:00:00Z,3526949,2026-07-23T06:01:08Z,,,,,
wallet_reporter_copy,a168,wallet_reporter_copy,ods_a168_wallet_reporter_copy,id_increment,1970-01-01T00:00:00Z,384439,2026-05-19T10:25:46Z,,,,,
RedPacketSetup,a168,RedPacketSetup,ods_a168_RedPacketSetup,id_increment,1970-01-01T00:00:00Z,1,2026-05-19T11:04:42Z,,,,,
agent_test,a168,agent_test,ods_a168_agent_test,id_increment,1970-01-01T00:00:00Z,22,2026-05-19T23:14:44Z,,,,,
agents_LoginPass,a168,agents_LoginPass,ods_a168_agents_LoginPass,id_increment,1970-01-01T00:00:00Z,17068,2026-07-22T23:09:58Z,,,,,
alertMessage,a168,alertMessage,ods_a168_alertMessage,id_increment,1970-01-01T00:00:00Z,174,2026-06-13T23:13:43Z,,,,,
bet_No,a168,bet_No,ods_a168_bet_No,id_range_increment,1970-01-01T00:00:00Z,483350000,2026-05-20T05:40:29Z,,,,,
control,a168,control,ods_a168_control,id_increment,1970-01-01T00:00:00Z,323,2026-06-05T23:10:06Z,,,,,
currency,a168,currency,ods_a168_currency,id_increment,1970-01-01T00:00:00Z,47,2026-05-19T23:14:17Z,,,,,
emp_login,a168,emp_login,ods_a168_emp_login,time_increment,2020-07-07T11:09:44Z,8f14e45fceea167a5a36dedd4bea2543,2026-05-19T10:41:02Z,,,,,
game_callwebapi,a168,game_callwebapi,ods_a168_game_callwebapi,id_increment,1970-01-01T00:00:00Z,186395918,2026-07-22T23:17:26Z,,,,,
game_info,a168,game_info,ods_a168_game_info,composite_increment,1970-01-01T00:00:00Z,114719173|5,2026-07-23T06:00:25Z,,,,,
game_info_verify,a168,game_info_verify,ods_a168_game_info_verify,id_increment,1970-01-01T00:00:00Z,136,2026-06-23T23:20:00Z,,,,,
game_statistics,a168,game_statistics,ods_a168_game_statistics,id_increment,1970-01-01T00:00:00Z,1450592,2026-07-23T06:02:43Z,,,,,
in_out_m,a168,in_out_m,ods_a168_in_out_m,id_increment,1970-01-01T00:00:00Z,4273463155,2026-07-23T05:57:26Z,,,,,
log_realtimebet,a168,log_realtimebet,ods_a168_log_realtimebet,time_increment,,bbdce5764ebdd30b4bae20c6752b959e,2026-07-22T22:00:51Z,,,,,
