源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天,id,t_permission id,0:禁用;1啟用,"",_1,_2,_3,_4,最後修改時間,来源库,来源表,ODS表名,同步时间
70efdf2ec9b086079795c442636b55fb,2019-08-19,17,50,1,\\0,\\0,\\0,\\0,\\0,2019-08-19T14:10:06Z,a168,agent_permissionrole,ods_a168_agent_permissionrole,2026-05-20T07:14:30Z
c9f0f895fb98ab9159f51fd0297e236d,2018-10-05,8,12,1,\\0,\\0,\\0,\\0,\\0,2018-10-05T17:00:52Z,a168,agent_permissionrole,ods_a168_agent_permissionrole,2026-05-19T18:52:56Z
e4da3b7fbbce2345d7772b0674a318d5,2018-10-05,5,20,1,\\0,\\0,\\0,\\0,\\0,2018-10-05T17:00:52Z,a168,agent_permissionrole,ods_a168_agent_permissionrole,2026-05-19T18:52:56Z
98f13708210194c475687be6106a3b84,2021-01-15,20,70,1,\\0,\\0,\\0,\\0,\\0,2021-01-15T16:53:57Z,a168,agent_permissionrole,ods_a168_agent_permissionrole,2026-05-20T07:14:30Z
34173cb38f07f89ddbebc2ac9128303f,2025-03-24,30,135,1,\\0,\\0,\\0,\\0,\\0,2025-03-24T11:12:20Z,a168,agent_permissionrole,ods_a168_agent_permissionrole,2026-05-20T07:14:30Z
6ea9ab1baa0efb9e19094440c317e21b,2025-03-24,29,134,1,\\0,\\0,\\0,\\0,\\0,2025-03-24T11:12:20Z,a168,agent_permissionrole,ods_a168_agent_permissionrole,2026-05-20T07:14:30Z
6364d3f0f495b6ab9dcf8d3b5c6e0b01,2025-04-07,32,137,1,\\0,\\0,\\0,\\0,,2025-04-07T17:25:45Z,a168,agent_permissionrole,ods_a168_agent_permissionrole,2026-05-20T07:14:30Z
8f14e45fceea167a5a36dedd4bea2543,2019-07-02,7,11,1,\\0,\\0,\\0,\\0,\\0,2019-07-02T23:54:40Z,a168,agent_permissionrole,ods_a168_agent_permissionrole,2026-05-19T18:52:56Z
4e732ced3463d06de0ca9a15b6153677,2024-11-20,26,133,0,\\0,\\0,\\0,\\0,\\0,2024-11-20T09:55:30Z,a168,agent_permissionrole,ods_a168_agent_permissionrole,2026-05-20T07:14:30Z
3c59dc048e8850243be8079a5c74d079,2019-07-15,21,78,0,\\0,\\0,\\0,\\0,\\0,2019-07-15T14:45:27Z,a168,agent_permissionrole,ods_a168_agent_permissionrole,2026-05-20T07:14:30Z
