源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天,注單編號,操作者(管理員),操作時間,来源库,来源表,ODS表名,同步时间
eabdae18741095761d6971158a20e83b,2025-12-29,5209248529,273,2025-12-29T12:56:32Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
f071024dd64393c08ae19b41ad35ad9d,2025-12-29,5209839394,273,2025-12-29T12:44:46Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
f98e8b8d3ccfea7cfb8c088ec3403f3b,2025-12-29,5209134281,273,2025-12-29T12:57:37Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
fa713e9136a281b010dd55475e730e76,2025-12-29,5207097763,273,2025-12-29T13:03:34Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
0041e4df5979af046a5841f8fa32b0b9,2025-12-29,5209133351,273,2025-12-29T12:57:37Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
04f39839234484b3a5dd2fff0f796fc1,2025-12-29,5208467629,273,2025-12-29T12:46:28Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
0ca99f50c82ecdff7aff5ad465b4928a,2025-12-29,5207336106,273,2025-12-29T13:09:44Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
0e6365df7196010f822d2b5a51c2147d,2025-12-29,5207328836,273,2025-12-29T13:09:44Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
292c869895dd2e2a751017d71955f0e0,2025-12-29,5205945973,273,2025-12-29T13:04:43Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
300cb709bd71bc4d60f191b7abd33d6c,2025-12-29,5205952761,273,2025-12-29T13:04:43Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
340e962c69d86732cb5f867cca65bd3c,2025-12-29,5208996153,273,2025-12-29T13:08:25Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
4bf2812ea8766aabab2f3038fd934ceb,2025-12-29,5208278332,273,2025-12-29T12:41:28Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
574d8e530354f7028931209402f7a1bb,2025-12-29,5204864293,273,2025-12-29T13:09:44Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
5a54cf1f306d7cb7fd00743384ad283e,2025-12-29,5208895669,273,2025-12-29T13:08:25Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
6385578a8cc63b3f5feb6a4a96bd221c,2025-12-29,5208464199,273,2025-12-29T12:46:28Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
6c8929a75ebbcd0bab9c9fd5d3cd882c,2025-12-29,5207340479,273,2025-12-29T13:09:44Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
6ea35b937e751d5110cb987952fccf17,2025-12-29,5208461693,273,2025-12-29T12:46:28Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
776fd73613074f718c0df4a035e6c1f1,2025-12-29,5209860941,273,2025-12-29T12:44:46Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
8d3962842a04e9e004e3ea84d7b9be9b,2025-12-29,5209740609,273,2025-12-29T12:44:46Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
8fb107d3006b1ef582d25ebb6f7a3594,2025-12-29,5207074567,273,2025-12-29T13:03:34Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
ab8f13e0beb89ec4caecae9eca3b3880,2025-12-29,5209745419,273,2025-12-29T12:44:46Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
b778283bbf43e85cc7717bc8c7227d05,2025-12-29,5209744056,273,2025-12-29T12:44:46Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
d33c60ad60c8ff2b903a9eb5a56caca2,2025-12-29,5209862529,273,2025-12-29T12:44:46Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
d42a93426a91e23f2c88af8e87120ce0,2025-12-29,5211507710,273,2025-12-29T12:40:22Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
d53354cfc86efc646be6fca758c6df82,2025-12-29,5208463084,273,2025-12-29T12:46:28Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
efe5df61da0d399590fc07be9f653598,2025-12-29,5207198601,273,2025-12-29T13:09:44Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
f5c96d308cd1a3de8e78d5e4899f8019,2025-12-29,5210358175,273,2025-12-29T13:08:25Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
02f53aaf5b596ca18a460fe6d7f61e40,2025-12-29,5209129820,273,2025-12-29T12:57:37Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
113f9269c4768a4323a5ce69c2c75605,2025-12-29,5211516171,273,2025-12-29T12:40:22Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
1eeef371b3300c9ac232ccaeee342e04,2025-12-29,5208451398,273,2025-12-29T12:46:28Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
25f8c69cb6805a5bdabf3b7a47a83494,2025-12-29,5207101785,273,2025-12-29T13:03:34Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
2b5d7071b33061b9e105947a331a9971,2025-12-29,5208893585,273,2025-12-29T13:08:25Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
2df2b17476ac3969971052a7439a3283,2025-12-29,5210027458,273,2025-12-29T12:43:00Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
413723140f3d6e587e546d3bf0727aed,2025-12-29,5207338318,273,2025-12-29T13:09:44Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
4f3982928478532d077ca49e38704faf,2025-12-29,5209702491,273,2025-12-29T12:44:46Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
636d410ccab76e900f557883a008f0e6,2025-12-29,5209859541,273,2025-12-29T12:44:46Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
99e54efcede72ff6669ebf308dbf540e,2025-12-29,5209841027,273,2025-12-29T12:44:46Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
9ce855caa548ed94b6145e73345042d8,2025-12-29,5208272737,273,2025-12-29T12:41:28Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
a1e57c2808f89ac432aa19688bae2383,2025-12-29,5210025408,273,2025-12-29T12:43:00Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
aa05bb8ff61b488ae7c8419faedd302c,2025-12-29,5207811572,273,2025-12-29T13:09:44Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
b334e508db150c1e83f9811e27483579,2025-12-29,5205951450,273,2025-12-29T13:04:43Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
b8507b5a994df920cd996e6695616cee,2025-12-29,5207073072,273,2025-12-29T13:03:34Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
cb610fe1144d0e9d4108e9d1fa3293a3,2025-12-29,5208453095,273,2025-12-29T12:46:28Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
cc9ca6f8ca95778db5cfe4d90a3afb73,2025-12-29,5208468149,273,2025-12-29T12:46:28Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
