源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天,"",_1,_2,_3,_4,来源库,来源表,ODS表名,同步时间
9033,2021-04-19,9033,101,5,39,2021-04-19T16:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
9038,2021-04-19,9038,101,32,35,2021-04-19T16:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
9046,2021-04-19,9046,101,106,17,2021-04-19T16:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
9052,2021-04-19,9052,101,343,56,2021-04-19T16:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
9059,2021-04-19,9059,102,3,46,2021-04-19T16:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
9065,2021-04-19,9065,108,1,131,2021-04-19T16:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
9071,2021-04-19,9071,101,2,85,2021-04-19T17:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
9084,2021-04-19,9084,101,103,28,2021-04-19T17:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
9090,2021-04-19,9090,101,342,16,2021-04-19T17:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
9101,2021-04-19,9101,105,31,9,2021-04-19T17:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
9115,2021-04-19,9115,101,31,4,2021-04-19T18:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
9122,2021-04-19,9122,101,103,4,2021-04-19T18:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
9129,2021-04-19,9129,101,342,29,2021-04-19T18:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
9136,2021-04-19,9136,102,1,39,2021-04-19T18:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
9143,2021-04-19,9143,108,1,108,2021-04-19T18:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
9148,2021-04-19,9148,101,1,89,2021-04-19T19:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
9157,2021-04-19,9157,101,33,7,2021-04-19T19:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
9160,2021-04-19,9160,101,37,24,2021-04-19T19:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
9174,2021-04-19,9174,101,503,6,2021-04-19T19:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
9181,2021-04-19,9181,104,1,115,2021-04-19T19:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
9195,2021-04-19,9195,101,8,52,2021-04-19T20:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
9205,2021-04-19,9205,101,105,27,2021-04-19T20:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
9211,2021-04-19,9211,101,342,26,2021-04-19T20:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
9226,2021-04-19,9226,108,2,107,2021-04-19T20:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
9232,2021-04-19,9232,101,3,41,2021-04-19T21:59:02Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
9239,2021-04-19,9239,101,33,31,2021-04-19T21:59:02Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
9247,2021-04-19,9247,101,106,17,2021-04-19T21:59:02Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
9253,2021-04-19,9253,101,343,43,2021-04-19T21:59:02Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
9258,2021-04-19,9258,101,506,12,2021-04-19T21:59:02Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
9264,2021-04-19,9264,105,31,5,2021-04-19T21:59:02Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
9270,2021-04-19,9270,128,1,4,2021-04-19T21:59:02Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
9285,2021-04-19,9285,101,102,19,2021-04-19T22:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
9291,2021-04-19,9291,101,115,145,2021-04-19T22:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
9300,2021-04-19,9300,102,1,107,2021-04-19T22:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
9314,2021-04-19,9314,101,3,6,2021-04-19T23:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
9323,2021-04-19,9323,101,36,11,2021-04-19T23:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
9328,2021-04-19,9328,101,105,4,2021-04-19T23:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
9337,2021-04-19,9337,101,505,11,2021-04-19T23:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
9342,2021-04-19,9342,104,1,125,2021-04-19T23:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
9349,2021-04-19,9349,128,1,4,2021-04-19T23:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
32650,2021-05-16,32650,101,1,103,2021-05-16T00:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
32667,2021-05-16,32667,101,106,15,2021-05-16T00:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
32673,2021-05-16,32673,101,502,28,2021-05-16T00:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
32678,2021-05-16,32678,102,31,35,2021-05-16T00:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
32686,2021-05-16,32686,111,1,14,2021-05-16T00:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
32692,2021-05-16,32692,101,6,7,2021-05-16T01:59:02Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
32699,2021-05-16,32699,101,36,25,2021-05-16T01:59:02Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
32703,2021-05-16,32703,101,103,2,2021-05-16T01:59:02Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
32708,2021-05-16,32708,101,343,47,2021-05-16T01:59:02Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
32717,2021-05-16,32717,104,1,82,2021-05-16T01:59:02Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
32720,2021-05-16,32720,108,1,60,2021-05-16T01:59:02Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
32734,2021-05-16,32734,101,33,11,2021-05-16T02:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
32741,2021-05-16,32741,101,105,5,2021-05-16T02:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
32755,2021-05-16,32755,104,1,67,2021-05-16T02:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
32762,2021-05-16,32762,128,1,1,2021-05-16T02:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
32769,2021-05-16,32769,101,8,30,2021-05-16T03:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
32776,2021-05-16,32776,101,102,5,2021-05-16T03:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
32783,2021-05-16,32783,101,343,17,2021-05-16T03:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
32788,2021-05-16,32788,101,506,6,2021-05-16T03:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
32797,2021-05-16,32797,111,1,4,2021-05-16T03:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
32805,2021-05-16,32805,101,8,28,2021-05-16T04:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
32811,2021-05-16,32811,101,37,15,2021-05-16T04:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
32826,2021-05-16,32826,102,31,9,2021-05-16T04:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
32832,2021-05-16,32832,108,2,27,2021-05-16T04:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
32839,2021-05-16,32839,101,5,29,2021-05-16T05:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
32847,2021-05-16,32847,101,36,11,2021-05-16T05:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
32853,2021-05-16,32853,101,106,1,2021-05-16T05:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
32858,2021-05-16,32858,101,501,13,2021-05-16T05:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
32864,2021-05-16,32864,102,31,12,2021-05-16T05:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
32870,2021-05-16,32870,108,2,15,2021-05-16T05:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
32885,2021-05-16,32885,101,37,18,2021-05-16T06:59:02Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
32891,2021-05-16,32891,101,108,9,2021-05-16T06:59:02Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
32900,2021-05-16,32900,102,1,28,2021-05-16T06:59:02Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
32914,2021-05-16,32914,101,6,26,2021-05-16T07:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
32923,2021-05-16,32923,101,101,14,2021-05-16T07:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
32928,2021-05-16,32928,101,108,3,2021-05-16T07:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
32937,2021-05-16,32937,102,1,29,2021-05-16T07:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
32942,2021-05-16,32942,107,1,20,2021-05-16T07:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
32949,2021-05-16,32949,101,2,75,2021-05-16T08:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
32956,2021-05-16,32956,101,32,35,2021-05-16T08:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
32961,2021-05-16,32961,101,101,6,2021-05-16T08:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
32975,2021-05-16,32975,102,1,47,2021-05-16T08:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
32980,2021-05-16,32980,107,1,20,2021-05-16T08:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
32994,2021-05-16,32994,101,32,23,2021-05-16T09:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
33003,2021-05-16,33003,101,106,21,2021-05-16T09:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
33008,2021-05-16,33008,101,501,77,2021-05-16T09:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
33017,2021-05-16,33017,105,31,5,2021-05-16T09:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
33020,2021-05-16,33020,108,2,69,2021-05-16T09:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
33034,2021-05-16,33034,101,35,18,2021-05-16T10:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
33041,2021-05-16,33041,101,108,15,2021-05-16T10:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
33055,2021-05-16,33055,107,1,27,2021-05-16T10:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
33062,2021-05-16,33062,101,2,89,2021-05-16T11:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
33069,2021-05-16,33069,101,32,13,2021-05-16T11:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
33076,2021-05-16,33076,101,103,2,2021-05-16T11:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
33083,2021-05-16,33083,101,501,11,2021-05-16T11:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
33088,2021-05-16,33088,102,1,41,2021-05-16T11:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
33097,2021-05-16,33097,111,1,7,2021-05-16T11:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
33106,2021-05-16,33106,101,31,28,2021-05-16T12:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
33112,2021-05-16,33112,101,101,35,2021-05-16T12:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
33119,2021-05-16,33119,101,342,41,2021-05-16T12:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
33125,2021-05-16,33125,101,506,10,2021-05-16T12:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
33131,2021-05-16,33131,107,1,38,2021-05-16T12:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
33144,2021-05-16,33144,101,31,39,2021-05-16T13:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
33150,2021-05-16,33150,101,101,33,2021-05-16T13:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
33167,2021-05-16,33167,104,1,138,2021-05-16T13:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
33173,2021-05-16,33173,111,1,9,2021-05-16T13:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
33178,2021-05-16,33178,101,5,3,2021-05-16T14:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
33186,2021-05-16,33186,101,36,56,2021-05-16T14:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
33192,2021-05-16,33192,101,106,12,2021-05-16T14:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
33199,2021-05-16,33199,101,503,23,2021-05-16T14:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
33202,2021-05-16,33202,102,1,19,2021-05-16T14:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
33209,2021-05-16,33209,108,2,126,2021-05-16T14:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
33216,2021-05-16,33216,101,5,199,2021-05-16T15:59:02Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
33221,2021-05-16,33221,101,32,18,2021-05-16T15:59:02Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
33235,2021-05-16,33235,101,501,35,2021-05-16T15:59:02Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
33240,2021-05-16,33240,102,1,55,2021-05-16T15:59:02Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
33254,2021-05-16,33254,101,3,1,2021-05-16T16:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
33263,2021-05-16,33263,101,36,30,2021-05-16T16:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
33268,2021-05-16,33268,101,105,6,2021-05-16T16:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
33277,2021-05-16,33277,101,502,24,2021-05-16T16:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
33282,2021-05-16,33282,102,3,7,2021-05-16T16:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
33289,2021-05-16,33289,108,2,94,2021-05-16T16:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
33296,2021-05-16,33296,101,5,56,2021-05-16T17:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
33307,2021-05-16,33307,101,102,17,2021-05-16T17:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
33313,2021-05-16,33313,101,115,204,2021-05-16T17:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
33318,2021-05-16,33318,101,502,23,2021-05-16T17:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
33324,2021-05-16,33324,102,31,24,2021-05-16T17:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
33330,2021-05-16,33330,108,2,73,2021-05-16T17:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
33345,2021-05-16,33345,101,36,26,2021-05-16T18:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
33351,2021-05-16,33351,101,106,12,2021-05-16T18:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
33366,2021-05-16,33366,103,1,47,2021-05-16T18:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
33372,2021-05-16,33372,110,1,30,2021-05-16T18:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
33379,2021-05-16,33379,101,6,55,2021-05-16T19:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
33387,2021-05-16,33387,101,37,41,2021-05-16T19:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
33393,2021-05-16,33393,101,108,22,2021-05-16T19:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
33398,2021-05-16,33398,101,343,86,2021-05-16T19:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
33401,2021-05-16,33401,101,503,20,2021-05-16T19:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
