源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天,"",_1,_2,_3,_4,来源库,来源表,ODS表名,同步时间
8547,2021-04-19,8547,101,6,25,2021-04-19T00:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
8553,2021-04-19,8553,101,35,14,2021-04-19T00:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
8558,2021-04-19,8558,101,103,19,2021-04-19T00:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
8564,2021-04-19,8564,101,501,13,2021-04-19T00:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
8570,2021-04-19,8570,102,31,31,2021-04-19T00:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
8585,2021-04-19,8585,101,7,25,2021-04-19T01:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
8591,2021-04-19,8591,101,36,14,2021-04-19T01:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
8601,2021-04-19,8601,101,343,25,2021-04-19T01:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
8615,2021-04-19,8615,110,1,19,2021-04-19T01:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
8622,2021-04-19,8622,101,6,23,2021-04-19T02:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
8629,2021-04-19,8629,101,36,20,2021-04-19T02:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
8636,2021-04-19,8636,101,108,1,2021-04-19T02:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
8643,2021-04-19,8643,101,505,10,2021-04-19T02:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
8648,2021-04-19,8648,104,1,55,2021-04-19T02:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
8657,2021-04-19,8657,101,2,6,2021-04-19T03:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
8660,2021-04-19,8660,101,6,11,2021-04-19T03:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
8674,2021-04-19,8674,101,108,4,2021-04-19T03:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
8681,2021-04-19,8681,101,505,5,2021-04-19T03:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
8695,2021-04-19,8695,101,3,17,2021-04-19T04:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
8704,2021-04-19,8704,101,37,9,2021-04-19T04:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
8710,2021-04-19,8710,101,108,5,2021-04-19T04:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
8727,2021-04-19,8727,110,1,3,2021-04-19T04:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
8733,2021-04-19,8733,101,6,12,2021-04-19T05:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
8738,2021-04-19,8738,101,35,24,2021-04-19T05:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
8746,2021-04-19,8746,101,108,8,2021-04-19T05:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
8752,2021-04-19,8752,101,503,10,2021-04-19T05:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
8759,2021-04-19,8759,107,1,13,2021-04-19T05:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
8765,2021-04-19,8765,101,2,20,2021-04-19T06:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
8771,2021-04-19,8771,101,31,7,2021-04-19T06:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
8784,2021-04-19,8784,101,342,16,2021-04-19T06:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
8790,2021-04-19,8790,101,506,4,2021-04-19T06:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
8802,2021-04-19,8802,101,1,10,2021-04-19T07:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
8809,2021-04-19,8809,101,31,13,2021-04-19T07:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
8816,2021-04-19,8816,101,102,16,2021-04-19T07:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
8821,2021-04-19,8821,101,341,20,2021-04-19T07:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
8835,2021-04-19,8835,108,1,43,2021-04-19T07:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
8840,2021-04-19,8840,101,1,69,2021-04-19T08:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
8854,2021-04-19,8854,101,102,9,2021-04-19T08:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
8863,2021-04-19,8863,101,502,20,2021-04-19T08:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
8868,2021-04-19,8868,102,31,42,2021-04-19T08:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
8877,2021-04-19,8877,128,1,1,2021-04-19T08:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
8882,2021-04-19,8882,101,6,21,2021-04-19T09:59:02Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
8889,2021-04-19,8889,101,36,15,2021-04-19T09:59:02Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
8896,2021-04-19,8896,101,108,20,2021-04-19T09:59:02Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
8907,2021-04-19,8907,103,1,37,2021-04-19T09:59:02Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
8913,2021-04-19,8913,110,1,16,2021-04-19T09:59:02Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
8918,2021-04-19,8918,101,3,24,2021-04-19T10:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
8924,2021-04-19,8924,101,32,32,2021-04-19T10:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
8930,2021-04-19,8930,101,102,28,2021-04-19T10:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
8945,2021-04-19,8945,103,1,50,2021-04-19T10:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
8951,2021-04-19,8951,110,1,20,2021-04-19T10:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
8966,2021-04-19,8966,101,101,40,2021-04-19T14:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
8972,2021-04-19,8972,101,341,38,2021-04-19T14:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
8979,2021-04-19,8979,101,506,4,2021-04-19T14:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
8987,2021-04-19,8987,108,2,96,2021-04-19T14:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
8993,2021-04-19,8993,101,3,34,2021-04-19T15:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
8998,2021-04-19,8998,101,31,16,2021-04-19T15:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
9004,2021-04-19,9004,101,102,29,2021-04-19T15:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
9010,2021-04-19,9010,101,115,6,2021-04-19T15:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
9027,2021-04-19,9027,110,1,26,2021-04-19T15:59:01Z,a168,game_statistics,ods_a168_game_statistics,2026-05-22T16:11:39Z
