源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天,"",_1,_2,_3,_4,_5,_6,来源库,来源表,ODS表名,同步时间
02e74f10e0327ad868d138f2b4fdd6f0,2021-06-23,27,105,1,30,3,92,2021-06-23T15:04:12Z,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23T04:16:04Z
3c59dc048e8850243be8079a5c74d079,2021-06-23,21,101,6,0,0,,2021-06-23T14:30:56Z,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23T04:16:04Z
735b90b4568125ed6c3f678819b6e058,2021-06-23,67,101,503,0,0,,2021-06-23T14:30:56Z,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23T04:16:04Z
a5bfc9e07964f8dddeb95fc584cd965d,2021-06-23,37,101,35,0,0,,2021-06-23T14:30:56Z,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23T04:16:04Z
b6d767d2f8ed5d21a44b0e5886680cb9,2021-06-23,22,101,7,0,0,,2021-06-23T14:30:56Z,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23T04:16:04Z
182be0c5cdcd5072bb1864cdee4d3d6e,2023-10-13,33,108,1,15,0,249,2023-10-13T02:57:06Z,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23T04:16:04Z
2838023a778dfaecdc212708f721b788,2021-06-23,51,101,105,0,0,,2021-06-23T14:30:56Z,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23T04:16:04Z
3295c76acbf4caaed33c36b1b5fc2cb1,2021-06-23,66,101,502,0,0,,2021-06-23T14:30:56Z,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23T04:16:04Z
32bb90e8976aab5298d5da10fe66f21d,2021-06-23,72,101,112,0,0,,2021-06-23T14:30:56Z,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23T04:16:04Z
72b32a1f754ba1c09b3695e0cb6cde7f,2021-06-23,57,101,201,0,0,,2021-06-23T14:30:56Z,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23T04:16:04Z
9a1158154dfa42caddbd0694a4e9bdc8,2021-06-23,52,101,106,0,0,,2021-06-23T14:30:56Z,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23T04:16:04Z
a3f390d88e4c41f2747bfa2f1b5f87db,2021-06-23,68,101,505,0,0,,2021-06-23T14:30:56Z,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23T04:16:04Z
d82c8d1619ad8176d665453cfb2e55f0,2021-06-23,53,101,51,0,0,,2021-06-23T14:30:56Z,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23T04:16:04Z
072b030ba126b2f4b2374f342be9ed44,2021-06-23,60,101,205,0,0,,2021-06-23T14:30:56Z,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23T04:16:04Z
44f683a84163b3523afe57c2e008bc8c,2021-06-23,62,101,342,0,0,,2021-06-23T14:30:56Z,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23T04:16:04Z
642e92efb79421734881b53e1e1b18b6,2021-06-23,48,113,1,30,3,92,2021-06-23T15:07:35Z,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23T04:16:04Z
