源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天,"",_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,来源库,来源表,ODS表名,同步时间
bd5af1f610a12434c9128e4a399cef8a,2026-07-23,bank,网银转帐,網銀轉帳,BANK PAY,BANK PAY,BANK PAY,BANK PAY,BANK PAY,BANK PAY,BANK PAY,BANK PAY,a168,payment_type,ods_a168_payment_type,2026-07-23T04:30:55Z
855a3b1b5f04a16bb093201a1e8c4910,2026-07-23,wechat,微信支付,微信支付,WECHAT PAY,WECHAT PAY,WECHAT PAY,WECHAT PAY,WECHAT PAY,WECHAT PAY,WECHAT PAY,WECHAT PAY,a168,payment_type,ods_a168_payment_type,2026-07-23T04:30:55Z
1df3746a4728276afdc24f828186f73a,2026-07-23,quick,快捷支付,快捷支付,QUICK PAY,QUICK PAY,QUICK PAY,QUICK PAY,QUICK PAY,QUICK PAY,QUICK PAY,QUICK PAY,a168,payment_type,ods_a168_payment_type,2026-07-23T04:30:55Z
aa252f7bcbb4b8379004aa0c7cf76c10,2026-07-23,union,银联支付,銀聯支付,UNION Pay,UNION Pay,UNION Pay,UNION Pay,UNION Pay,UNION Pay,UNION Pay,UNION Pay,a168,payment_type,ods_a168_payment_type,2026-07-23T04:30:55Z
fa42b816950b79e3c969c637657845ad,2026-07-23,alipay,支付宝支付,支付寶支付,ALIPAY,ALIPAY,ALIPAY,ALIPAY,ALIPAY,ALIPAY,ALIPAY,ALIPAY,a168,payment_type,ods_a168_payment_type,2026-07-23T04:30:55Z
099b3b060154898840f0ebdfb46ec78f,2026-07-23,qq,QQ,QQ,QQ PAY,QQ PAY,QQ PAY,QQ PAY,QQ PAY,QQ PAY,QQ PAY,QQ PAY,a168,payment_type,ods_a168_payment_type,2026-07-23T04:30:55Z
c03e47ed985f03328e4313171bb0c95a,2026-07-23,jindong,京东支付,京東支付,JINDONG PAY,JINDONG PAY,JINDONG PAY,JINDONG PAY,JINDONG PAY,JINDONG PAY,JINDONG PAY,JINDONG PAY,a168,payment_type,ods_a168_payment_type,2026-07-23T04:30:55Z
