源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天,"",遊戲編號,wm桌號,第三方桌台號/名稱,廠商,第三方桌號,第三方狀態,是否已開桌,串流網址,荷官名字,荷官圖片,建立時間,更新時間,来源库,来源表,ODS表名,同步时间
4e732ced3463d06de0ca9a15b6153677,2025-11-20,26,101,576,"",winto,9TQPFG,0,0,https://streaming.wintocasinos.com/live/5f513d20eec4d6cefed2f17a3399a32e.flv,Lily1,https://oss.wintocasinos.com/backend/a550379cbd544f7d9b07a01ee4ab323b.png,2025-08-18T11:41:27Z,2025-11-20T01:10:33Z,a168,tablelimit_third,ods_a168_tablelimit_third,2026-05-20T07:14:10Z
1ff1de774005f8da13f42943881c655f,2026-01-15,24,103,558,RL01,winto,ZKGVN3,1,1,https://streaming.wintocasinos.com/live/23895c54abfc658b64f5ed0b0e642031.flv,Em,https://oss.wintocasinos.com/backend/fee11ce1693a40adaedeed6086239266.png,2025-08-18T11:41:27Z,2026-01-15T23:56:33Z,a168,tablelimit_third,ods_a168_tablelimit_third,2026-05-20T07:14:10Z
aab3238922bcc25a6f606eb525ffdc56,2026-01-15,14,101,567,SB01,winto,H8B8M2,1,1,https://streaming.wintocasinos.com/live/60b701742423a8396e4c00667b747e0e.flv,Yali,https://oss.wintocasinos.com/backend/992cd7efa8fd4c309c6fc31c538da87f.png,2025-08-18T11:41:27Z,2026-01-15T23:56:51Z,a168,tablelimit_third,ods_a168_tablelimit_third,2026-05-20T07:14:10Z
c20ad4d76fe97759aa27a0c99bff6710,2026-01-15,12,101,564,SB02,winto,ADT4TV,1,1,https://streaming.wintocasinos.com/live/8d4ba730cd82424f74dd7cbe9eba0443.flv,Pansy,https://oss.wintocasinos.com/backend/565420bbbdb9416d9bf15a3561c3f0ef.png,2025-08-18T11:41:27Z,2026-01-15T23:57:14Z,a168,tablelimit_third,ods_a168_tablelimit_third,2026-05-20T07:14:10Z
a5bfc9e07964f8dddeb95fc584cd965d,2026-04-06,37,101,907,WM07,BY,WM07,0,0,"","","",2026-04-06T12:03:59Z,2026-04-06T12:03:59Z,a168,tablelimit_third,ods_a168_tablelimit_third,2026-05-20T07:14:10Z
1679091c5a880faf6fb5e6087eb1b2dc,2026-01-15,6,105,558,NN01,winto,KA6WRW,1,1,https://streaming.wintocasinos.com/live/d0c4727023da14d6c31437538dd6be83.flv,KoLab,https://oss.wintocasinos.com/backend/648f28fc99b54396a7f6bde91995a519.png,2025-08-18T11:41:27Z,2026-01-15T23:56:42Z,a168,tablelimit_third,ods_a168_tablelimit_third,2026-05-19T18:52:36Z
98f13708210194c475687be6106a3b84,2026-01-15,20,111,558,DP02,winto,73F9BQ,1,1,https://streaming.wintocasinos.com/live/ddac91e3666d7f375cacb9b10f015d58.flv,PeeMey,https://oss.wintocasinos.com/backend/ea09a933e8314aea802b8424a54adef5.png,2025-08-18T11:41:27Z,2026-01-15T23:57:04Z,a168,tablelimit_third,ods_a168_tablelimit_third,2026-05-20T07:14:10Z
9bf31c7ff062936a96d3c8bd1f8f2ff3,2026-01-05,15,101,565,"",winto,SGQ8C7,0,0,https://streaming.wintocasinos.com/live/478bf7351d8eb687961f232c6013c748.flv,Lily1,https://oss.wintocasinos.com/backend/a550379cbd544f7d9b07a01ee4ab323b.png,2025-08-18T11:41:27Z,2026-01-05T17:25:33Z,a168,tablelimit_third,ods_a168_tablelimit_third,2026-05-20T07:14:10Z
c81e728d9d4c2f636f067f89cc14862c,2025-11-09,2,101,563,"",winto,N6E4C8,0,0,https://streaming.wintocasinos.com/live/838bb354ae84ea6731ccf3b0c661d8a2.flv,Zuna,https://oss.wintocasinos.com/backend/7cb2b3b46c3b47dca11c6acc6a9080a8.png,2025-08-18T11:41:27Z,2025-11-09T23:55:38Z,a168,tablelimit_third,ods_a168_tablelimit_third,2026-05-19T18:52:36Z
8f14e45fceea167a5a36dedd4bea2543,2025-11-09,7,101,561,"",winto,AZQBZC,0,0,https://streaming.wintocasinos.com/live/ace7742c79ff9005d761f1dad8c17324.flv,Eliza,https://oss.wintocasinos.com/backend/3fada2e762e74eb1a263da1232915722.png,2025-08-18T11:41:27Z,2025-11-09T23:50:21Z,a168,tablelimit_third,ods_a168_tablelimit_third,2026-05-19T18:52:36Z
1c383cd30b7c298ab50293adfecb7b18,2026-04-06,35,101,905,WM05,BY,WM05,0,0,"","","",2026-04-06T12:03:59Z,2026-04-06T12:03:59Z,a168,tablelimit_third,ods_a168_tablelimit_third,2026-05-20T07:14:10Z
6364d3f0f495b6ab9dcf8d3b5c6e0b01,2026-04-06,32,101,902,WM02,BY,WM02,0,0,"","","",2026-04-06T12:03:59Z,2026-04-06T12:03:59Z,a168,tablelimit_third,ods_a168_tablelimit_third,2026-05-20T07:14:10Z
6f4922f45568161a8cdf4ad2299f6d23,2026-01-15,18,108,557,XD01,winto,YV6AJN,1,1,https://streaming.wintocasinos.com/live/d658a0a10a93ef88bf92b0aa8f6e8398.flv,Moon,https://oss.wintocasinos.com/backend/dd88b35d3d664bf4b3214dd91d5cbfa0.png,2025-08-18T11:41:27Z,2026-01-15T23:57:54Z,a168,tablelimit_third,ods_a168_tablelimit_third,2026-05-20T07:14:10Z
1f0e3dad99908345f7439f8ffabdffc4,2026-01-05,19,101,572,"",winto,E4VKRV,0,0,https://streaming.wintocasinos.com/live/80a4f61e4fd7c43c43cea091849da0df.flv,Lily1,https://oss.wintocasinos.com/backend/a550379cbd544f7d9b07a01ee4ab323b.png,2025-08-18T11:41:27Z,2026-01-05T17:25:56Z,a168,tablelimit_third,ods_a168_tablelimit_third,2026-05-20T07:14:10Z
70efdf2ec9b086079795c442636b55fb,2025-11-07,17,101,568,"",winto,EM3KD6,0,0,https://streaming.wintocasinos.com/live/b0d2cd5b6929c3c6ae269dfc8d6fe79e.flv,Nety,https://oss.wintocasinos.com/backend/7ae1c70e9b4e43a9a26b4cf49a97b0c6.png,2025-08-18T11:41:27Z,2025-11-07T17:10:49Z,a168,tablelimit_third,ods_a168_tablelimit_third,2026-05-20T07:14:10Z
3416a75f4cea9109507cacd8e2f2aefc,2026-04-06,41,101,911,WM11,BY,WM11,0,0,"","","",2026-04-06T12:03:59Z,2026-04-06T12:03:59Z,a168,tablelimit_third,ods_a168_tablelimit_third,2026-05-20T07:14:10Z
a1d0c6e83f027327d8461063f4ac58a6,2026-04-06,42,101,912,WM12,BY,WM12,0,0,"","","",2026-04-06T12:03:59Z,2026-04-06T12:03:59Z,a168,tablelimit_third,ods_a168_tablelimit_third,2026-05-20T07:14:10Z
d67d8ab4f4c10bf22aa353e27879133c,2026-04-06,39,101,909,WM09,BY,WM09,0,0,"","","",2026-04-06T12:03:59Z,2026-04-06T12:03:59Z,a168,tablelimit_third,ods_a168_tablelimit_third,2026-05-20T07:14:10Z
e369853df766fa44e1ed0ff613f563bd,2026-04-06,34,101,904,WM04,BY,WM04,0,0,"","","",2026-04-06T12:03:59Z,2026-04-06T12:03:59Z,a168,tablelimit_third,ods_a168_tablelimit_third,2026-05-20T07:14:10Z
17e62166fc8586dfa4d1bc0e1742c08b,2026-04-06,43,101,913,WM13,BY,WM13,0,0,"","","",2026-04-06T12:03:59Z,2026-04-06T12:03:59Z,a168,tablelimit_third,ods_a168_tablelimit_third,2026-05-20T07:14:10Z
19ca14e7ea6328a42e0eb13d585e4c22,2026-04-06,36,101,906,WM06,BY,WM06,0,0,"","","",2026-04-06T12:03:59Z,2026-04-06T12:03:59Z,a168,tablelimit_third,ods_a168_tablelimit_third,2026-05-20T07:14:10Z
8e296a067a37563370ded05f5a3bf3ec,2025-11-09,25,101,575,"",winto,DXS933,0,0,https://streaming.wintocasinos.com/live/42b400abb334e3c4f4c8b89bb32b640a.flv,Crocus,https://oss.wintocasinos.com/backend/d1ce1c04aeae44f18ce7f8f0e2397c5a.png,2025-08-18T11:41:27Z,2025-11-09T23:55:10Z,a168,tablelimit_third,ods_a168_tablelimit_third,2026-05-20T07:14:10Z
d3d9446802a44259755d38e6d163e820,2026-01-05,10,101,566,"",winto,A77DYF,0,0,https://streaming.wintocasinos.com/live/b7b9fddb9a906d388a6480fa1b68a356.flv,Lily1,https://oss.wintocasinos.com/backend/a550379cbd544f7d9b07a01ee4ab323b.png,2025-08-18T11:41:27Z,2026-01-05T17:26:36Z,a168,tablelimit_third,ods_a168_tablelimit_third,2026-05-20T07:14:10Z
37693cfc748049e45d87b8c7d8b9aacd,2025-12-23,23,101,577,DB03,winto,6TPG5J,0,0,https://streaming.wintocasinos.com/live/481f517ecb38b347addb03d54fbe5abd.flv,Woori,https://oss.wintocasinos.com/backend/a65790ab353c465e8bd2dc9eb044da34.png,2025-08-18T11:41:27Z,2025-12-23T23:49:51Z,a168,tablelimit_third,ods_a168_tablelimit_third,2026-05-20T07:14:10Z
c74d97b01eae257e44aa9d5bade97baf,2026-01-05,16,101,569,BA03,winto,Y2JJ4A,0,0,https://streaming.wintocasinos.com/live/65d4dda160e277023c410935678ee7d2.flv,Lily1,https://oss.wintocasinos.com/backend/a550379cbd544f7d9b07a01ee4ab323b.png,2025-08-18T11:41:27Z,2026-01-05T17:24:30Z,a168,tablelimit_third,ods_a168_tablelimit_third,2026-05-20T07:14:10Z
c9f0f895fb98ab9159f51fd0297e236d,2026-01-05,8,101,562,"",winto,7WRJ82,0,0,https://streaming.wintocasinos.com/live/a7dee42926ccef70e9af026a62a84272.flv,Lily1,https://oss.wintocasinos.com/backend/a550379cbd544f7d9b07a01ee4ab323b.png,2025-08-18T11:41:27Z,2026-01-05T17:26:19Z,a168,tablelimit_third,ods_a168_tablelimit_third,2026-05-19T18:52:36Z
6ea9ab1baa0efb9e19094440c317e21b,2026-01-15,29,101,579,DB01,winto,Q6CY5X,1,1,https://streaming.wintocasinos.com/live/6f8a5fb3377ed617b9bb1e575cf1832b.flv,Ceri,https://oss.wintocasinos.com/backend/5883a3834c874802820b0512d6d473b6.png,2025-09-10T11:52:41Z,2026-01-15T23:57:41Z,a168,tablelimit_third,ods_a168_tablelimit_third,2026-05-20T07:14:10Z
