源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天,"",_1,_2,_3,_4,_5,来源库,来源表,ODS表名,同步时间
0174fed8fc48079f74c5b2877e6dc627,2025-05-19,121125993,101,114143414,20,2025-05-19T01:12:29Z,25000,a168,log_realtimebet,ods_a168_log_realtimebet,2026-07-23T06:00:14Z
136d931b3db547fcd779ba52d6d22ee4,2025-05-19,121125993,101,114143505,11,2025-05-19T02:55:20Z,17000,a168,log_realtimebet,ods_a168_log_realtimebet,2026-07-23T06:00:14Z
169d48538d6c92fafdc3c4909109026b,2025-05-19,121125993,101,114143519,10,2025-05-19T03:15:02Z,5000,a168,log_realtimebet,ods_a168_log_realtimebet,2026-07-23T06:00:14Z
270307ddd1383de3c0ff82bb67cf4b94,2025-05-19,121125993,101,114143506,25,2025-05-19T02:58:15Z,10000,a168,log_realtimebet,ods_a168_log_realtimebet,2026-07-23T06:00:14Z
27bc68c5bde5a25ad6f334618d11705f,2025-05-19,130562849,101,114143507,18,2025-05-19T02:53:42Z,5e+05,a168,log_realtimebet,ods_a168_log_realtimebet,2026-07-23T06:00:14Z
2807cfd7650515b194aa08a74e4eb24e,2025-05-19,121125993,101,114143627,25,2025-05-19T05:34:53Z,10000,a168,log_realtimebet,ods_a168_log_realtimebet,2026-07-23T06:00:14Z
33e7b8fab1de63091c063b566a926389,2025-05-19,121125993,101,114143694,18,2025-05-19T06:40:11Z,2000,a168,log_realtimebet,ods_a168_log_realtimebet,2026-07-23T06:00:14Z
362f540e1c54e083c37d96648b8c0b24,2025-05-19,121125993,101,114143742,15,2025-05-19T07:46:56Z,10000,a168,log_realtimebet,ods_a168_log_realtimebet,2026-07-23T06:00:14Z
3758aac54b358bd760e815e993f11bbd,2025-05-19,121125993,101,114143693,39,2025-05-19T06:59:57Z,1000,a168,log_realtimebet,ods_a168_log_realtimebet,2026-07-23T06:00:14Z
38a5b30e844ad0a2c60e474383dd1cd5,2025-05-19,121125993,101,114143684,15,2025-05-19T06:31:07Z,1500,a168,log_realtimebet,ods_a168_log_realtimebet,2026-07-23T06:00:14Z
3b8b1e03332edb163e81afe64ab301ec,2025-05-19,130611071,101,114143349,36,2025-05-19T00:14:18Z,600,a168,log_realtimebet,ods_a168_log_realtimebet,2026-07-23T06:00:14Z
4eb42f9b643a2af19899891a0565fa67,2025-05-19,121125993,101,114143738,9,2025-05-19T07:31:27Z,8000,a168,log_realtimebet,ods_a168_log_realtimebet,2026-07-23T06:00:14Z
4fcf5c364904bd76c3d6812f7d137b7b,2025-05-19,121125993,101,114143542,28,2025-05-19T03:53:12Z,8000,a168,log_realtimebet,ods_a168_log_realtimebet,2026-07-23T06:00:14Z
53ae432cdc9e7dae163d599786d62c66,2025-05-19,130562849,101,114143506,31,2025-05-19T03:02:11Z,350000,a168,log_realtimebet,ods_a168_log_realtimebet,2026-07-23T06:00:14Z
62e46b168d405656a13d9169b3dd437d,2025-05-19,121125993,101,114143531,26,2025-05-19T03:36:53Z,10000,a168,log_realtimebet,ods_a168_log_realtimebet,2026-07-23T06:00:14Z
70e4c62ce37526fe92bd9ea2202bd58e,2025-05-19,121125993,101,114143587,14,2025-05-19T04:29:13Z,20000,a168,log_realtimebet,ods_a168_log_realtimebet,2026-07-23T06:00:14Z
72b83c403e1a120971a3a300d370307b,2025-05-19,121125993,101,114143662,9,2025-05-19T06:03:08Z,10000,a168,log_realtimebet,ods_a168_log_realtimebet,2026-07-23T06:00:14Z
74bcd3d7b97a1aad99974536fb9062aa,2025-05-19,121125993,101,114143694,11,2025-05-19T06:34:54Z,7000,a168,log_realtimebet,ods_a168_log_realtimebet,2026-07-23T06:00:14Z
8b93113e263fffd82ae12a6998aa6d54,2025-05-19,121125993,101,114143549,8,2025-05-19T03:45:57Z,2000,a168,log_realtimebet,ods_a168_log_realtimebet,2026-07-23T06:00:14Z
92df8b9cc0e9625cfece80c717eea1e8,2025-05-19,130562849,101,114143418,16,2025-05-19T01:19:23Z,429808,a168,log_realtimebet,ods_a168_log_realtimebet,2026-07-23T06:00:14Z
944155a939a72b61ad9b29f7615bc003,2025-05-19,121125993,101,114143693,38,2025-05-19T06:59:14Z,7000,a168,log_realtimebet,ods_a168_log_realtimebet,2026-07-23T06:00:14Z
954aa3045e244d9842c9db46fe137465,2025-05-19,130562849,101,114143412,42,2025-05-19T01:15:07Z,1e+05,a168,log_realtimebet,ods_a168_log_realtimebet,2026-07-23T06:00:14Z
9d9c75641f120408f8be28343015856a,2025-05-19,121125993,101,114143414,15,2025-05-19T01:08:27Z,3000,a168,log_realtimebet,ods_a168_log_realtimebet,2026-07-23T06:00:14Z
ac2c7178d0d22527a795e8b698a83c6f,2025-05-19,121125993,101,114143730,18,2025-05-19T07:26:54Z,2000,a168,log_realtimebet,ods_a168_log_realtimebet,2026-07-23T06:00:14Z
