player_a,player_b,same_round_count,贝叶斯显著,Autoencoder前1percent,XGB残差前1percent,命中方法数
2497654,151227977,3,FALSE,TRUE,FALSE,1
2497654,151228156,3,FALSE,TRUE,FALSE,1
2497654,151228189,3,FALSE,TRUE,FALSE,1
2497654,151228851,3,FALSE,TRUE,FALSE,1
2497654,151614595,3,FALSE,TRUE,FALSE,1
2497654,152242807,4,FALSE,TRUE,FALSE,1
2497654,152272145,5,FALSE,TRUE,FALSE,1
2497654,152290086,4,FALSE,TRUE,FALSE,1
2497654,152710991,4,FALSE,TRUE,FALSE,1
2497654,152856901,5,FALSE,TRUE,FALSE,1
2497654,152993306,4,FALSE,TRUE,FALSE,1
2497654,153012069,3,FALSE,TRUE,FALSE,1
2497654,153012837,5,FALSE,TRUE,FALSE,1
2497654,153013784,5,FALSE,TRUE,FALSE,1
2497654,153013849,5,FALSE,TRUE,FALSE,1
2497654,153013968,5,FALSE,TRUE,FALSE,1
2497654,153013972,4,FALSE,TRUE,FALSE,1
2497654,153014166,4,FALSE,TRUE,FALSE,1
2497654,153014421,4,FALSE,TRUE,FALSE,1
4110309,4956894,12,FALSE,TRUE,FALSE,1
4110309,142150236,18,FALSE,TRUE,FALSE,1
4215750,105595582,10,FALSE,FALSE,TRUE,1
4223871,105761693,3,FALSE,TRUE,FALSE,1
4223871,113334440,3,FALSE,TRUE,FALSE,1
4223871,115960712,3,FALSE,TRUE,FALSE,1
4223871,148450676,3,FALSE,TRUE,FALSE,1
4223871,149359053,3,FALSE,TRUE,FALSE,1
4223871,151959058,3,FALSE,TRUE,FALSE,1
4250451,150203721,89,FALSE,FALSE,TRUE,1
4591646,82845780,15,FALSE,TRUE,FALSE,1
4591646,92623090,14,FALSE,TRUE,FALSE,1
4591646,96983789,15,FALSE,TRUE,FALSE,1
4591646,104867430,15,FALSE,TRUE,FALSE,1
4591646,107587651,14,FALSE,TRUE,FALSE,1
4591646,112564592,13,FALSE,TRUE,FALSE,1
4591646,122313879,14,FALSE,TRUE,FALSE,1
4591646,123146294,15,FALSE,TRUE,FALSE,1
4591646,134602074,15,FALSE,TRUE,FALSE,1
4591646,134796268,15,FALSE,TRUE,FALSE,1
4591646,143498124,15,FALSE,TRUE,FALSE,1
4591646,145743776,14,FALSE,TRUE,FALSE,1
4591646,148660709,15,FALSE,TRUE,FALSE,1
4591646,149592717,15,FALSE,TRUE,FALSE,1
4591646,150416564,14,FALSE,TRUE,FALSE,1
4591646,150453335,16,FALSE,TRUE,FALSE,1
4591646,150835059,14,FALSE,TRUE,FALSE,1
4591646,151174104,16,FALSE,TRUE,FALSE,1
4591646,151520921,15,FALSE,TRUE,FALSE,1
4752382,39791888,119,FALSE,FALSE,TRUE,1
4752382,49633020,140,FALSE,FALSE,TRUE,1
4752382,55385214,98,FALSE,FALSE,TRUE,1
4752382,65658118,260,FALSE,FALSE,TRUE,1
4752382,66538367,226,FALSE,FALSE,TRUE,1
4752382,80385852,430,FALSE,FALSE,TRUE,1
4752382,87981786,282,FALSE,FALSE,TRUE,1
4752382,107266757,93,FALSE,FALSE,TRUE,1
4752382,108544750,260,FALSE,FALSE,TRUE,1
4752382,115298703,105,FALSE,FALSE,TRUE,1
4752382,123657273,340,FALSE,FALSE,TRUE,1
4752382,123900024,237,FALSE,FALSE,TRUE,1
4752382,125566836,187,FALSE,FALSE,TRUE,1
4752382,128888068,138,FALSE,FALSE,TRUE,1
4752382,130850377,458,FALSE,FALSE,TRUE,1
4752382,131529212,146,FALSE,FALSE,TRUE,1
4752382,139969795,116,FALSE,FALSE,TRUE,1
4752382,142078611,544,FALSE,FALSE,TRUE,1
4752382,142543674,97,FALSE,FALSE,TRUE,1
4752382,142668385,358,FALSE,FALSE,TRUE,1
4752382,143313106,373,FALSE,FALSE,TRUE,1
4752382,144325315,109,FALSE,FALSE,TRUE,1
4752382,145244009,380,FALSE,FALSE,TRUE,1
4752382,145623860,111,FALSE,FALSE,TRUE,1
4752382,146698944,87,FALSE,FALSE,TRUE,1
4752382,146808869,111,FALSE,FALSE,TRUE,1
4752382,147095398,223,FALSE,FALSE,TRUE,1
4752382,147447896,94,FALSE,FALSE,TRUE,1
4752382,147547833,183,FALSE,FALSE,TRUE,1
14841119,122595710,1728,FALSE,FALSE,TRUE,1
14841119,122596276,1070,FALSE,FALSE,TRUE,1
14841119,122606168,40,FALSE,FALSE,TRUE,1
14841119,122765307,120,FALSE,TRUE,FALSE,1
14841119,122964401,435,FALSE,FALSE,TRUE,1
14841119,123015786,395,FALSE,FALSE,TRUE,1
14841119,123019788,3044,TRUE,FALSE,FALSE,1
14841119,123035961,2564,TRUE,FALSE,FALSE,1
14841119,123076168,243,FALSE,FALSE,TRUE,1
14841119,123080736,369,FALSE,FALSE,TRUE,1
14841119,123173149,195,FALSE,FALSE,TRUE,1
14841119,123247317,880,FALSE,FALSE,TRUE,1
14841119,123336815,3630,TRUE,FALSE,FALSE,1
14841119,123445277,607,FALSE,FALSE,TRUE,1
14841119,123810432,15,FALSE,FALSE,TRUE,1
14841119,123963073,686,FALSE,FALSE,TRUE,1
14841119,124002268,450,FALSE,FALSE,TRUE,1
14841119,124013673,262,FALSE,FALSE,TRUE,1
14841119,124075465,208,FALSE,FALSE,TRUE,1
14841119,124787692,879,FALSE,FALSE,TRUE,1
14841119,124943374,671,FALSE,FALSE,TRUE,1
14841119,125084025,482,FALSE,FALSE,TRUE,1
14841119,125244886,983,FALSE,FALSE,TRUE,1
14841119,125532027,137,FALSE,FALSE,TRUE,1
14841119,125559664,284,FALSE,FALSE,TRUE,1
14841119,125571592,423,FALSE,FALSE,TRUE,1
14841119,125581080,3198,TRUE,FALSE,FALSE,1
14841119,125596988,387,FALSE,FALSE,TRUE,1
14841119,125611649,394,FALSE,FALSE,TRUE,1
14841119,125617936,815,FALSE,FALSE,TRUE,1
14841119,125716447,368,FALSE,FALSE,TRUE,1
14841119,125787679,776,FALSE,FALSE,TRUE,1
14841119,125968474,846,FALSE,FALSE,TRUE,1
14841119,125982986,389,FALSE,FALSE,TRUE,1
14841119,125991444,138,FALSE,FALSE,TRUE,1
14841119,125994757,321,FALSE,FALSE,TRUE,1
14841119,126328102,804,FALSE,FALSE,TRUE,1
14841119,126339284,608,FALSE,FALSE,TRUE,1
14841119,126339556,191,FALSE,FALSE,TRUE,1
14841119,126435383,290,FALSE,FALSE,TRUE,1
14841119,126447722,670,FALSE,FALSE,TRUE,1
14841119,126594890,89,FALSE,TRUE,FALSE,1
14841119,126716139,1314,FALSE,FALSE,TRUE,1
14841119,126804252,144,FALSE,FALSE,TRUE,1
14841119,127304635,316,FALSE,FALSE,TRUE,1
14841119,127552144,387,FALSE,FALSE,TRUE,1
14841119,127633071,730,FALSE,FALSE,TRUE,1
14841119,127684170,4701,TRUE,FALSE,FALSE,1
14841119,128002626,516,FALSE,FALSE,TRUE,1
14841119,128437310,73,FALSE,TRUE,FALSE,1
14841119,128734586,1277,FALSE,FALSE,TRUE,1
14841119,128786014,807,FALSE,FALSE,TRUE,1
14841119,128867019,82,FALSE,TRUE,FALSE,1
14841119,128946166,624,FALSE,FALSE,TRUE,1
14841119,128994250,102,FALSE,FALSE,TRUE,1
14841119,129077234,278,FALSE,FALSE,TRUE,1
14841119,129409836,130,FALSE,FALSE,TRUE,1
14841119,129482863,392,FALSE,FALSE,TRUE,1
14841119,129492096,141,FALSE,FALSE,TRUE,1
14841119,129511236,683,FALSE,FALSE,TRUE,1
14841119,129522786,539,FALSE,FALSE,TRUE,1
14841119,129551917,265,FALSE,FALSE,TRUE,1
14841119,129865072,704,FALSE,FALSE,TRUE,1
14841119,130022441,134,FALSE,FALSE,TRUE,1
14841119,130235868,1729,FALSE,FALSE,TRUE,1
14841119,130244908,155,FALSE,FALSE,TRUE,1
14841119,130279542,718,FALSE,FALSE,TRUE,1
14841119,130461705,1080,FALSE,FALSE,TRUE,1
14841119,130625365,75,FALSE,TRUE,FALSE,1
14841119,130661490,154,FALSE,FALSE,TRUE,1
14841119,130706484,199,FALSE,FALSE,TRUE,1
14841119,130748093,685,FALSE,FALSE,TRUE,1
14841119,131367235,95,FALSE,FALSE,TRUE,1
14841119,131966895,551,FALSE,FALSE,TRUE,1
14841119,131981560,497,FALSE,FALSE,TRUE,1
14841119,132133020,1617,FALSE,FALSE,TRUE,1
14841119,132371791,694,FALSE,FALSE,TRUE,1
14841119,132379841,4440,TRUE,FALSE,FALSE,1
14841119,132800371,440,FALSE,FALSE,TRUE,1
14841119,133141351,426,FALSE,FALSE,TRUE,1
14841119,133204719,113,FALSE,TRUE,FALSE,1
14841119,133683895,136,FALSE,FALSE,TRUE,1
14841119,133984391,18,FALSE,FALSE,TRUE,1
14841119,134118234,229,FALSE,FALSE,TRUE,1
14841119,134406791,864,FALSE,FALSE,TRUE,1
14841119,134674941,265,FALSE,FALSE,TRUE,1
14841119,134830279,240,FALSE,FALSE,TRUE,1
14841119,135106630,348,FALSE,FALSE,TRUE,1
14841119,135337023,4261,TRUE,FALSE,FALSE,1
14841119,135668035,249,FALSE,FALSE,TRUE,1
14841119,135793646,1218,FALSE,FALSE,TRUE,1
14841119,135959080,128,FALSE,TRUE,FALSE,1
14841119,136117012,265,FALSE,FALSE,TRUE,1
14841119,136563297,151,FALSE,TRUE,FALSE,1
14841119,136636892,117,FALSE,FALSE,TRUE,1
14841119,137100986,74,FALSE,TRUE,FALSE,1
14841119,137429439,448,FALSE,FALSE,TRUE,1
14841119,137483859,490,FALSE,FALSE,TRUE,1
14841119,137669099,458,FALSE,FALSE,TRUE,1
14841119,137752329,81,FALSE,TRUE,FALSE,1
14841119,137812177,220,FALSE,FALSE,TRUE,1
14841119,137854487,1692,TRUE,FALSE,FALSE,1
14841119,137976543,723,FALSE,FALSE,TRUE,1
14841119,138776469,65,FALSE,TRUE,FALSE,1
14841119,139029772,76,FALSE,TRUE,FALSE,1
14841119,139343579,605,FALSE,FALSE,TRUE,1
14841119,139395974,393,FALSE,FALSE,TRUE,1
14841119,139483630,341,FALSE,FALSE,TRUE,1
14841119,139554464,1947,FALSE,FALSE,TRUE,1
14841119,139554510,2732,FALSE,FALSE,TRUE,1
14841119,139621952,437,FALSE,FALSE,TRUE,1
14841119,139663204,814,FALSE,FALSE,TRUE,1
14841119,139743988,152,FALSE,FALSE,TRUE,1
14841119,139761750,191,FALSE,FALSE,TRUE,1
14841119,139820892,249,FALSE,FALSE,TRUE,1
14841119,140116362,189,FALSE,FALSE,TRUE,1
14841119,140120910,942,FALSE,FALSE,TRUE,1
14841119,140174591,687,FALSE,FALSE,TRUE,1
14841119,140419117,204,FALSE,FALSE,TRUE,1
14841119,141082211,387,FALSE,FALSE,TRUE,1
14841119,141434901,295,FALSE,FALSE,TRUE,1
14841119,141594198,136,FALSE,FALSE,TRUE,1
14841119,141689674,401,FALSE,FALSE,TRUE,1
14841119,142006858,2119,FALSE,FALSE,TRUE,1
14841119,142007615,4251,TRUE,FALSE,FALSE,1
14841119,142008887,960,FALSE,FALSE,TRUE,1
14841119,142009276,108,FALSE,FALSE,TRUE,1
14841119,142009365,483,FALSE,FALSE,TRUE,1
14841119,142009583,1157,FALSE,FALSE,TRUE,1
14841119,142010143,760,FALSE,FALSE,TRUE,1
14841119,142011092,565,FALSE,FALSE,TRUE,1
14841119,142011102,537,FALSE,FALSE,TRUE,1
14841119,142012996,1661,FALSE,FALSE,TRUE,1
14841119,142013011,251,FALSE,FALSE,TRUE,1
14841119,142016143,283,FALSE,FALSE,TRUE,1
14841119,142017195,437,FALSE,FALSE,TRUE,1
14841119,142026705,126,FALSE,FALSE,TRUE,1
14841119,142027992,764,FALSE,FALSE,TRUE,1
14841119,142029819,167,FALSE,FALSE,TRUE,1
14841119,142031931,1053,FALSE,FALSE,TRUE,1
14841119,142033050,537,FALSE,FALSE,TRUE,1
14841119,142058190,125,FALSE,TRUE,FALSE,1
14841119,142072076,2429,TRUE,FALSE,FALSE,1
14841119,142075903,281,FALSE,FALSE,TRUE,1
14841119,142076023,441,FALSE,FALSE,TRUE,1
14841119,142111786,92,FALSE,TRUE,FALSE,1
14841119,142122689,718,FALSE,FALSE,TRUE,1
14841119,142128714,422,FALSE,FALSE,TRUE,1
14841119,142177543,572,FALSE,FALSE,TRUE,1
14841119,142184817,102,FALSE,TRUE,FALSE,1
14841119,142194958,722,FALSE,FALSE,TRUE,1
14841119,142241224,794,FALSE,FALSE,TRUE,1
14841119,142255348,854,FALSE,FALSE,TRUE,1
14841119,142279884,398,FALSE,FALSE,TRUE,1
14841119,142282770,574,FALSE,FALSE,TRUE,1
14841119,142311724,355,FALSE,FALSE,TRUE,1
14841119,142317279,826,FALSE,FALSE,TRUE,1
14841119,142392025,525,FALSE,FALSE,TRUE,1
14841119,142395421,626,FALSE,FALSE,TRUE,1
14841119,142568332,549,FALSE,FALSE,TRUE,1
14841119,142644836,85,FALSE,TRUE,FALSE,1
14841119,142665184,343,FALSE,FALSE,TRUE,1
14841119,142710508,105,FALSE,TRUE,FALSE,1
14841119,142712644,163,FALSE,TRUE,FALSE,1
14841119,142719474,88,FALSE,TRUE,FALSE,1
14841119,142778651,78,FALSE,TRUE,FALSE,1
14841119,142815516,75,FALSE,TRUE,FALSE,1
14841119,142888928,1664,FALSE,FALSE,TRUE,1
